leaves_opposite,sessile,erect,petals_purple,floral_tube_cylindrical,rounded_at_the_base,alternate_distally,inflorescence_raceme,base_attenuate,stamens_12,inflorescence_spikelike,with_flowers_in_whorled_clusters,becoming_alternate_distally,calyx_with_alternate_long_and_small_teeth,stamens_6,subsessile,leaves_alternate,stamens_5_8,base_obtuse_to_truncate,sprawling_or_ascending
26492,22088,21567,13731,13914,10788,10788,7342,9516,6793,8245,7940,8824,6793,6133,175,0,2460,0,0
22088,22215,19842,12522,13914,10791,10788,5974,9516,6793,6994,7940,8814,6821,6015,0,55,0,0,0
21567,19842,22007,12597,12785,9767,9764,6591,8389,6233,6233,7290,8046,6233,5535,0,22,1093,0,0
13731,12522,12597,17215,13991,6793,6793,9567,5729,9544,7648,7648,5729,7648,6343,1679,1679,1328,1679,1528
13914,13914,12785,13991,15532,6793,6793,6611,5974,7648,7648,8921,5729,7648,6611,0,0,0,0,0
10788,10791,9767,6793,6793,10791,10788,0,0,6793,6793,6793,0,6793,0,0,3,0,0,0
10788,10788,9764,6793,6793,10788,10788,0,0,6793,6793,6793,0,6793,0,0,0,0,0,0
7342,5974,6591,9567,6611,0,0,10122,6060,1896,0,0,5733,0,6898,1679,1679,1328,1679,1528
9516,9516,8389,5729,5974,0,0,6060,9644,0,201,0,8814,0,6060,0,0,0,0,0
6793,6793,6233,9544,7648,6793,6793,1896,0,9544,7648,7648,0,7648,0,1679,1679,0,1679,1528
8245,6994,6233,7648,7648,6793,6793,0,201,7648,9263,7648,0,7648,0,0,0,1404,0,0
7940,7940,7290,7648,8921,6793,6793,0,0,7648,7648,8921,0,7648,0,0,0,0,0,0
8824,8814,8046,5729,5729,0,0,5733,8814,0,0,0,8824,0,5733,0,0,0,0,0
6793,6821,6233,7648,7648,6793,6793,0,0,7648,7648,7648,0,7762,0,0,28,0,0,0
6133,6015,5535,6343,6611,0,0,6898,6060,0,0,0,5733,0,6943,0,0,0,0,0
175,0,0,1679,0,0,0,1679,0,1679,0,0,0,0,0,2868,2693,0,2693,2420
0,55,22,1679,0,3,0,1679,0,1679,0,0,0,28,0,2693,2765,0,2693,2420
2460,0,1093,1328,0,0,0,1328,0,0,1404,0,0,0,0,0,0,2732,0,0
0,0,0,1679,0,0,0,1679,0,1679,0,0,0,0,0,2693,2693,0,2693,2420
0,0,0,1528,0,0,0,1528,0,1528,0,0,0,0,0,2420,2420,0,2420,2455
