species,n_images,accuracy,tp_rate,tn_rate,fp_rate,fn_rate,avg_regions,avg_trait_diversity,invasive_ratio
lythrum salicaria,12544,0.6121651785714286,0.6121651785714286,0.0,0.0,0.38783482142857145,3.73844068877551,1.8843607241002684,0.0
lythrum alatum,10138,0.8492799368711778,0.0,0.8492799368711778,0.15072006312882225,0.0,4.018149536397711,1.7718407315565603,1.0
lythrum junceum,3151,0.9723897175499842,0.0,0.9723897175499842,0.027610282450015868,0.0,3.6635988575055536,1.748316283133396,1.0
lythrum portula,2313,0.9818417639429312,0.0,0.9818417639429312,0.018158236057068743,0.0,3.8158236057068744,1.4443877875743063,1.0
lythrum californicum,2090,0.9598086124401913,0.0,0.9598086124401913,0.04019138755980861,0.0,3.955980861244019,1.5686932738369737,1.0
lythrum virgatum,2058,0.543245869776482,0.543245869776482,0.0,0.0,0.45675413022351796,3.8498542274052476,1.705896573942893,0.0
lythrum lineare,432,0.9675925925925926,0.0,0.9675925925925926,0.032407407407407406,0.0,4.162037037037037,1.7409675568213598,1.0
lythrum tribracteatum,349,0.9656160458452722,0.0,0.9656160458452722,0.034383954154727794,0.0,3.9111747851002865,1.7158441082097893,1.0
lythrum flagellare,315,1.0,0.0,1.0,0.0,0.0,3.311111111111111,1.6743973217124366,1.0
lythrum maritimum,217,0.9815668202764977,0.0,0.9815668202764977,0.018433179723502304,0.0,3.585253456221198,1.1682016303709835,1.0
lythrum ovalifolium,155,0.9870967741935484,0.0,0.9870967741935484,0.012903225806451613,0.0,3.7161290322580647,1.6083782045350001,1.0
lythrum thymifolia,141,1.0,0.0,1.0,0.0,0.0,3.7092198581560285,1.0921707778079324,1.0
lythrum gracile,117,0.9829059829059829,0.0,0.9829059829059829,0.017094017094017096,0.0,3.2735042735042734,1.1467508376563298,1.0
lythrum borysthenicum,84,0.9761904761904762,0.0,0.9761904761904762,0.023809523809523808,0.0,3.4047619047619047,1.6084481183287127,1.0
lythrum volgense,81,0.9506172839506173,0.0,0.9506172839506173,0.04938271604938271,0.0,5.493827160493828,1.0402924953490362,1.0
lythrum flexuosum,50,0.96,0.0,0.96,0.04,0.0,3.62,1.413004823491784,1.0
lythrum intermedium,32,0.0,0.0,0.0,1.0,0.0,3.78125,1.9449816511718607,1.0
lythrum acutangulum,21,1.0,0.0,1.0,0.0,0.0,3.0952380952380953,0.0,1.0
lythrum vulneraria,21,1.0,0.0,1.0,0.0,0.0,3.857142857142857,1.1815599298659334,1.0
lythrum album,18,1.0,0.0,1.0,0.0,0.0,3.8333333333333335,0.7886225027842756,1.0
lythrum curtissii,15,0.8666666666666667,0.0,0.8666666666666667,0.13333333333333333,0.0,3.066666666666667,1.4538403509803328,1.0
lythrum bryantii,14,1.0,0.0,1.0,0.0,0.0,3.7857142857142856,0.0,1.0
lythrum rotundifolium,13,1.0,0.0,1.0,0.0,0.0,4.0,1.059306160644798,1.0
lythrum paradoxum,8,1.0,0.0,1.0,0.0,0.0,3.75,1.4983539468796372,1.0
lythrum wilsonii,4,1.0,0.0,1.0,0.0,0.0,2.75,1.1260294670547357,1.0
lythrum baeticum,3,1.0,0.0,1.0,0.0,0.0,3.6666666666666665,0.0,1.0
lythrum silenoides,2,1.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0
lythrum netofa,2,1.0,0.0,1.0,0.0,0.0,2.5,2.0257871055311085,1.0
lythrum thesioides,1,1.0,0.0,1.0,0.0,0.0,4.0,1.0821955300387671,1.0
