trait,n_images,acc_with,acc_without,impact,p_value,error_dist,stratified,p_value_adj,significant
getting_narrower_at_the_base,1784,0.5414798206278026,0.7913203496396258,-0.2498405290118232,8.457174213721754e-135,"error_type                                  False Negative  False Positive  \
trait_getting_narrower_at_the_base_present                                   
0                                                 0.152952        0.055728   
1                                                 0.458520        0.000000   

error_type                                  True Negative  True Positive  
trait_getting_narrower_at_the_base_present                                
0                                                0.551142       0.240178  
1                                                0.000000       0.541480  ","{0: {'with': 0.5414798206278026, 'without': 0.6109377437977843, 'impact': -0.06945792316998167}, 1: {'with': nan, 'without': 0.9081720321423157, 'impact': nan}}",4.115824784011254e-134,Yes
alternate_distally,10788,0.6084538375973304,0.8560230498707682,-0.24756921227343776,0.0,"error_type                        False Negative  False Positive  \
trait_alternate_distally_present                                   
0                                       0.068133        0.075844   
1                                       0.389043        0.002503   

error_type                        True Negative  True Positive  
trait_alternate_distally_present                                
0                                      0.761408       0.094615  
1                                      0.000000       0.608454  ","{0: {'with': 0.6099804850850292, 'without': 0.5813590210882583, 'impact': 0.0286214639967709}, 1: {'with': 0.0, 'without': 0.9094129554655871, 'impact': -0.9094129554655871}}",0.0,Yes
rounded_at_the_base,10791,0.6085626911314985,0.8560047461649293,-0.24744205503343075,0.0,"error_type                         False Negative  False Positive  \
trait_rounded_at_the_base_present                                   
0                                        0.068141        0.075854   
1                                        0.388935        0.002502   

error_type                         True Negative  True Positive  
trait_rounded_at_the_base_present                                
0                                       0.761378       0.094627  
1                                       0.000278       0.608285  ","{0: {'with': 0.6099804850850292, 'without': 0.5813590210882583, 'impact': 0.0286214639967709}, 1: {'with': 0.1, 'without': 0.9093992002834439, 'impact': -0.8093992002834439}}",0.0,Yes
stamens_10_14,1273,0.5404556166535742,0.7875045295325522,-0.247048912878978,5.228662222186223e-96,"error_type                   False Negative  False Positive  True Negative  \
trait_stamens_10_14_present                                                  
0                                  0.157628        0.054868       0.542638   
1                                  0.459544        0.000000       0.000000   

error_type                   True Positive  
trait_stamens_10_14_present                 
0                                 0.244867  
1                                 0.540456  ","{0: {'with': 0.5404556166535742, 'without': 0.6083727211343687, 'impact': -0.06791710448079447}, 1: {'with': nan, 'without': 0.9081720321423157, 'impact': nan}}",1.526769368878377e-95,Yes
petals_rose_to_purple,1273,0.5404556166535742,0.7875045295325522,-0.247048912878978,5.228662222186223e-96,"error_type                           False Negative  False Positive  \
trait_petals_rose_to_purple_present                                   
0                                          0.157628        0.054868   
1                                          0.459544        0.000000   

error_type                           True Negative  True Positive  
trait_petals_rose_to_purple_present                                
0                                         0.542638       0.244867  
1                                         0.000000       0.540456  ","{0: {'with': 0.5404556166535742, 'without': 0.6083727211343687, 'impact': -0.06791710448079447}, 1: {'with': nan, 'without': 0.9081720321423157, 'impact': nan}}",1.526769368878377e-95,Yes
inflorescence_spikelike_to_raceme,1273,0.5404556166535742,0.7875045295325522,-0.247048912878978,5.228662222186223e-96,"error_type                                       False Negative  \
trait_inflorescence_spikelike_to_raceme_present                   
0                                                      0.157628   
1                                                      0.459544   

error_type                                       False Positive  \
trait_inflorescence_spikelike_to_raceme_present                   
0                                                      0.054868   
1                                                      0.000000   

error_type                                       True Negative  True Positive  
trait_inflorescence_spikelike_to_raceme_present                                
0                                                     0.542638       0.244867  
1                                                     0.000000       0.540456  ","{0: {'with': 0.5404556166535742, 'without': 0.6083727211343687, 'impact': -0.06791710448079447}, 1: {'with': nan, 'without': 0.9081720321423157, 'impact': nan}}",1.526769368878377e-95,Yes
with_flowers_in_whorled_clusters,8921,0.6017262638717632,0.8402308779645045,-0.23850461409274126,0.0,"error_type                                      False Negative  \
trait_with_flowers_in_whorled_clusters_present                   
0                                                     0.089328   
1                                                     0.395696   

error_type                                      False Positive  True Negative  \
trait_with_flowers_in_whorled_clusters_present                                  
0                                                     0.070441       0.705591   
1                                                     0.002578       0.000000   

error_type                                      True Positive  
trait_with_flowers_in_whorled_clusters_present                 
0                                                    0.134640  
1                                                    0.601726  ","{0: {'with': 0.6032816363227692, 'without': 0.6011570827489481, 'impact': 0.0021245535738211307}, 1: {'with': 0.0, 'without': 0.9092289010321797, 'impact': -0.9092289010321797}}",0.0,Yes
base_rounded,264,1.0,0.7766446886446886,0.2233553113553114,6.164897279730766e-18,"error_type                  False Negative  False Positive  True Negative  \
trait_base_rounded_present                                                  
0                                  0.17011        0.053245       0.518857   
1                                  0.00000        0.000000       1.000000   

error_type                  True Positive  
trait_base_rounded_present                 
0                                0.257788  
1                                0.000000  ","{0: {'with': nan, 'without': 0.6024517189426106, 'impact': nan}, 1: {'with': 1.0, 'without': 0.9069302873533781, 'impact': 0.0930697126466219}}",1.323639710059841e-17,Yes
a_discernible_gap_between_the_stem_and_the_base_of_the_blade,256,1.0,0.7766970380570123,0.2233029619429877,1.989438870147413e-17,"error_type                                          False Negative  \
trait_a_discernible_gap_between_the_stem_and_th...                   
0                                                          0.17007   
1                                                          0.00000   

error_type                                          False Positive  \
trait_a_discernible_gap_between_the_stem_and_th...                   
0                                                         0.053233   
1                                                         0.000000   

error_type                                          True Negative  \
trait_a_discernible_gap_between_the_stem_and_th...                  
0                                                         0.51897   
1                                                         1.00000   

error_type                                          True Positive  
trait_a_discernible_gap_between_the_stem_and_th...                 
0                                                        0.257727  
1                                                        0.000000  ","{0: {'with': nan, 'without': 0.6024517189426106, 'impact': nan}, 1: {'with': 1.0, 'without': 0.9069684091956377, 'impact': 0.0930315908043623}}",4.0341399311322544e-17,Yes
petiolated,256,1.0,0.7766970380570123,0.2233029619429877,1.989438870147413e-17,"error_type                False Negative  False Positive  True Negative  \
trait_petiolated_present                                                  
0                                0.17007        0.053233        0.51897   
1                                0.00000        0.000000        1.00000   

error_type                True Positive  
trait_petiolated_present                 
0                              0.257727  
1                              0.000000  ","{0: {'with': nan, 'without': 0.6024517189426106, 'impact': nan}, 1: {'with': 1.0, 'without': 0.9069684091956377, 'impact': 0.0930315908043623}}",4.0341399311322544e-17,Yes
creeping_to_weakly_erect,236,1.0,0.7768278042924487,0.2231721957075513,3.7208727137513745e-16,"error_type                              False Negative  False Positive  \
trait_creeping_to_weakly_erect_present                                   
0                                              0.16997        0.053202   
1                                              0.00000        0.000000   

error_type                              True Negative  True Positive  
trait_creeping_to_weakly_erect_present                                
0                                            0.519252       0.257576  
1                                            1.000000       0.000000  ","{0: {'with': nan, 'without': 0.6024517189426106, 'impact': nan}, 1: {'with': 1.0, 'without': 0.9070635773106235, 'impact': 0.09293642268937652}}",7.341181300104063e-16,Yes
