trait1,trait2,n_both,acc_both,acc_trait1_only,acc_trait2_only,synergy_score,interaction_type
alternate_distally,rounded_at_the_base,10788,0.6084538375973304,,1.0,-0.3915461624026696,Antagonistic
calyx_with_alternate_long_and_small_teeth,stamens_2_3,82,1.0,0.61328125,,0.38671875,Synergistic
calyx_with_alternate_long_and_small_teeth,one_or_few_flowers_in_the_axil_of_leaves,82,1.0,0.61328125,,0.38671875,Synergistic
inflorescence_spikelike,calyx_with_alternate_long_and_small_teeth,7648,0.6119246861924686,0.9777089783281734,0.9824561403508771,-0.3681578731470566,Antagonistic
calyx_with_alternate_long_and_small_teeth,stamens_12,7648,0.6119246861924686,0.9824561403508771,0.9715189873417721,-0.3650628776538559,Antagonistic
inflorescence_spikelike,stamens_12,7648,0.6119246861924686,0.9777089783281734,0.9715189873417721,-0.36268929664250404,Antagonistic
stamens_12,red_dotted,1896,0.9715189873417721,0.6119246861924686,,0.35959430114930346,Synergistic
stamens_12,solitary_in_leaf_axils,1896,0.9715189873417721,0.6119246861924686,,0.35959430114930346,Synergistic
inflorescence_spikelike,petals_white_to_pink,1404,0.9786324786324786,0.6215803537345719,,0.3570521248979067,Synergistic
calyx_with_alternate_long_and_small_teeth,petals_purple,7648,0.6119246861924686,0.9824561403508771,0.889934148635936,-0.3242704583009379,Antagonistic
inflorescence_spikelike,petals_purple,7648,0.6119246861924686,0.9777089783281734,0.889934148635936,-0.32189687728958605,Antagonistic
calyx_with_alternate_long_and_small_teeth,purple,32,0.9375,0.6160413971539457,,0.3214586028460543,Synergistic
leaves_opposite,rounded_at_the_base,10788,0.6084538375973304,0.8541136016301579,1.0,-0.3186029632177486,Antagonistic
inflorescence_spikelike,petals_lavender,211,0.9715639810426541,0.6688024745912505,,0.30276150645140354,Synergistic
inflorescence_spikelike,stamens_4_6,211,0.9715639810426541,0.6688024745912505,,0.30276150645140354,Synergistic
inflorescence_spikelike,flower_tube_narrowly_cylindrical_without_red_dots,211,0.9715639810426541,0.6688024745912505,,0.30276150645140354,Synergistic
inflorescence_spikelike,calyx_with_teeth_of_the_same_length,211,0.9715639810426541,0.6688024745912505,,0.30276150645140354,Synergistic
calyx_with_alternate_long_and_small_teeth,floral_tube_cylindrical,7648,0.6119246861924686,0.9824561403508771,0.8039066463723998,-0.28125670716916984,Antagonistic
inflorescence_spikelike,floral_tube_cylindrical,7648,0.6119246861924686,0.9777089783281734,0.8039066463723998,-0.27888312615781796,Antagonistic
floral_tube_cylindrical,stamens_12,7648,0.6119246861924686,0.8039066463723998,0.9715189873417721,-0.2757881306646174,Antagonistic
erect,sometimes_alternate_distally,20,1.0,0.7300222858962114,,0.26997771410378857,Synergistic
floral_tube_cylindrical,petals_pale_purple_or_whitish,268,0.9664179104477612,0.7048611111111112,,0.26155679933665,Synergistic
sessile,leaves_opposite_but_sometimes_alternate,72,0.9722222222222222,0.710969606647699,,0.2612526155745232,Synergistic
sessile,obovate,72,0.9722222222222222,0.710969606647699,,0.2612526155745232,Synergistic
leaves_opposite,sessile,22088,0.7103404563563926,0.973433242506812,0.968503937007874,-0.26062813340095037,Antagonistic
with_flowers_in_whorled_clusters,floral_tube_cylindrical,8921,0.6017262638717632,,0.8546362123733172,-0.252909948501554,Antagonistic
stamens_12,floral_tube_obconic,1896,0.9715189873417721,0.6119246861924686,0.8333333333333334,0.2488899775788711,Synergistic
leaves_opposite,petiolated,256,1.0,0.7516770849214819,,0.2483229150785181,Synergistic
leaves_opposite,a_discernible_gap_between_the_stem_and_the_base_of_the_blade,256,1.0,0.7516770849214819,,0.2483229150785181,Synergistic
leaves_opposite,sessile_base_narrowly_attenuate,1995,0.9824561403508771,0.7354778136098298,,0.24697832674104736,Synergistic
leaves_opposite,sometimes_alternate_distally,20,1.0,0.7538909035962527,,0.24610909640374734,Synergistic
leaves_opposite,alternate_distally,10788,0.6084538375973304,0.8541136016301579,,-0.24565976403282752,Antagonistic
erect,sometimes_creeping,66,0.9696969696969697,0.729547422633426,,0.24014954706354374,Synergistic
leaves_opposite,rounded_base,91,0.989010989010989,0.7532669217075111,,0.23574406730347797,Synergistic
petals_purple,solitary_in_leaf_axils,1896,0.9715189873417721,0.7410405378941184,,0.23047844944765372,Synergistic
petals_purple,red_dotted,1896,0.9715189873417721,0.7410405378941184,,0.23047844944765372,Synergistic
leaves_opposite,getting_narrower_at_the_base,1784,0.5414798206278026,0.7694269062651773,,-0.22794708563737465,Antagonistic
stamens_12,inflorescence_raceme,1896,0.9715189873417721,0.6119246861924686,0.8770970094821299,0.22700813950447285,Synergistic
stamens_12,leaves_opposite,6793,0.6104813778890034,0.8633224282079244,0.8035940910706127,-0.2229768817502652,Antagonistic
leaves_opposite,distally_alternate,1948,0.9604722792607803,0.7376955671447197,,0.22277671211606054,Synergistic
leaves_opposite,linear,1857,0.959073774905762,0.7386239090724579,,0.22044986583330406,Synergistic
calyx_with_alternate_long_and_small_teeth,needle_like_leaves,71,1.0,0.6138343518398127,0.96875,0.2087078240800937,Synergistic
inflorescence_spikelike,base_attenuate,201,0.9701492537313433,0.669167954094019,0.8568251614952875,0.20715269593669006,Synergistic
calyx_with_alternate_long_and_small_teeth,prostrate,65,1.0,0.614135377419774,0.973421926910299,0.2062213478349635,Synergistic
sessile,alternate_distally,10788,0.6084538375973304,0.809398792333946,,-0.20094495473661556,Antagonistic
sessile,rounded_at_the_base,10791,0.6085626911314985,0.8093487394957983,,-0.2007860483642998,Antagonistic
stamens_12,sessile,6793,0.6104813778890034,0.8633224282079244,0.7564518220723642,-0.1994057472511409,Antagonistic
floral_tube_cylindrical,usually_with_a_darker_midrib,268,0.9664179104477612,0.7048611111111112,0.8333333333333334,0.19732068822553883,Synergistic
calyx_with_alternate_long_and_small_teeth,creeping,26,1.0,0.6160806618407446,1.0,0.1919596690796277,Synergistic
petals_purple,stamens_12,9544,0.6833612740989103,0.8697692608525616,,-0.18640798675365122,Antagonistic
inflorescence_spikelike,stamens_5_8,1404,0.9786324786324786,0.6215803537345719,0.9646084337349398,0.18553808489772272,Synergistic
sessile,getting_narrower_at_the_base,1784,0.5414798206278026,0.7266898340756693,,-0.1852100134478667,Antagonistic
petals_purple,floral_tube_obconic,1896,0.9715189873417721,0.7410405378941184,0.8333333333333334,0.18433205172804623,Synergistic
floral_tube_cylindrical,stamens_10_14,1273,0.5404556166535742,0.7244547303457466,,-0.18399911369217237,Antagonistic
floral_tube_cylindrical,petals_rose_to_purple,1273,0.5404556166535742,0.7244547303457466,,-0.18399911369217237,Antagonistic
floral_tube_cylindrical,inflorescence_spikelike_to_raceme,1273,0.5404556166535742,0.7244547303457466,,-0.18399911369217237,Antagonistic
stamens_12,erect,6233,0.6133483073961175,0.8151615826034431,0.7764676049194877,-0.1824662863653479,Antagonistic
inflorescence_spikelike,sessile,6994,0.620817843866171,0.8448655795504627,0.7536298534918862,-0.17842987265500343,Antagonistic
inflorescence_spikelike,erect,6233,0.6133483073961175,0.803960396039604,0.7764676049194877,-0.17686569308342848,Antagonistic
stamens_12,leaves_alternate,1679,0.9720071471113758,0.6217418944691672,0.9732965009208103,0.17448794941638712,Synergistic
stamens_12,base_obtuse_to_truncate,1679,0.9720071471113758,0.6217418944691672,0.9733727810650887,0.17444980934424792,Synergistic
stamens_12,subsessile,1679,0.9720071471113758,0.6217418944691672,0.9739276703111859,0.17417236472119924,Synergistic
stamens_12,sprawling_or_ascending,1528,0.9705497382198953,0.6286177644710579,0.9741100323624595,0.16918583980313662,Synergistic
inflorescence_spikelike,sessile_base_narrowly_attenuate,1251,0.9776179056754596,0.6285571642536195,0.9905913978494624,0.16804362462391864,Synergistic
inflorescence_spikelike,floral_tube_campanulate,1404,0.9786324786324786,0.6215803537345719,1.0,0.16784230176519266,Synergistic
purple,creeping,26,1.0,0.6666666666666666,1.0,0.16666666666666674,Synergistic
inflorescence_spikelike,prostrate_and_spreading,1137,0.9762532981530343,0.6336450898350973,0.9926686217008798,0.16309644238504584,Synergistic
erect,usually_with_a_darker_midrib,227,0.973568281938326,0.7277318640955005,0.9148936170212766,0.15225554137993746,Synergistic
inflorescence_spikelike,prostrate_to_weakly_erect,180,0.9666666666666667,0.6699328415721678,0.9622641509433962,0.1505681704088847,Synergistic
with_flowers_in_whorled_clusters,calyx_with_alternate_long_and_small_teeth,7648,0.6119246861924686,0.5404556166535742,0.9824561403508771,-0.14953119230975698,Antagonistic
erect,leaves_alternate,22,1.0,0.7299977257220832,0.9722931097338681,0.14885458227202442,Synergistic
sessile,usually_with_a_darker_midrib,245,0.9673469387755103,0.7089667728720983,0.9310344827586207,0.14734631096015072,Synergistic
inflorescence_spikelike,with_flowers_in_whorled_clusters,7648,0.6119246861924686,0.9777089783281734,0.5404556166535742,-0.1471576112984051,Antagonistic
sessile,petals_minute,41,1.0,0.7112834851628033,1.0,0.14435825741859842,Synergistic
sessile,petals_reddish,41,1.0,0.7112834851628033,1.0,0.14435825741859842,Synergistic
sessile,creeping,41,1.0,0.7112834851628033,1.0,0.14435825741859842,Synergistic
with_flowers_in_whorled_clusters,stamens_12,7648,0.6119246861924686,0.5404556166535742,0.9715189873417721,-0.14406261580520452,Antagonistic
erect,petals_pale_purple_or_whitish,224,0.9732142857142857,0.727769361428637,0.9318181818181818,0.1434205140908763,Synergistic
petals_pale_purple_to_purple,stamens_6,181,1.0,,0.857438627624963,0.14256137237503697,Synergistic
floral_tube_narrowly_obconic_without_red_dots,stamens_6,181,1.0,,0.857438627624963,0.14256137237503697,Synergistic
leaves_opposite,becoming_alternate_distally,8824,0.8488213961922031,0.7067579805297713,,0.14206341566243175,Synergistic
stamens_6,petals_reddish,45,1.0,0.8602493476369962,,0.13975065236300377,Synergistic
stamens_6,petals_minute,45,1.0,0.8602493476369962,,0.13975065236300377,Synergistic
floral_tube_obconic,red_dotted,1896,0.9715189873417721,0.8333333333333334,,0.13818565400843874,Synergistic
