leaves_opposite,sessile,erect,petals_purple,floral_tube_cylindrical,rounded_at_the_base,alternate_distally,inflorescence_raceme,stamens_12,base_attenuate,inflorescence_spikelike,with_flowers_in_whorled_clusters,becoming_alternate_distally,calyx_with_alternate_long_and_small_teeth,stamens_6,subsessile,leaves_alternate,base_obtuse_to_truncate,stamens_5_8,sprawling_or_ascending
25805,21586,20799,12996,13178,10735,10735,6696,6683,9136,8008,7722,8481,6683,5598,161,0,0,2242,0
21586,21709,19202,11898,13178,10739,10735,5456,6683,9136,6864,7722,8473,6707,5493,0,53,0,0,0
20799,19202,21270,11750,11946,9663,9660,5902,6071,7924,6071,7022,7594,6071,4956,0,23,0,977,0
12996,11898,11750,16590,13499,6683,6683,9005,9449,5215,7585,7585,5215,7585,5914,1669,1669,1669,1227,1503
13178,13178,11946,13499,14954,6683,6683,6178,7585,5456,7585,8776,5215,7585,6178,0,0,0,0,0
10735,10739,9663,6683,6683,10739,10735,0,6683,0,6683,6683,0,6683,0,0,4,0,0,0
10735,10735,9660,6683,6683,10735,10735,0,6683,0,6683,6683,0,6683,0,0,0,0,0,0
6696,5456,5902,9005,6178,0,0,9525,1864,5529,0,0,5218,0,6434,1669,1669,1669,1227,1503
6683,6683,6071,9449,7585,6683,6683,1864,9449,0,7585,7585,0,7585,0,1669,1669,1669,0,1503
9136,9136,7924,5215,5456,0,0,5529,0,9258,181,0,8473,0,5529,0,0,0,0,0
8008,6864,6071,7585,7585,6683,6683,0,7585,181,9111,7585,0,7585,0,0,0,0,1323,0
7722,7722,7022,7585,8776,6683,6683,0,7585,0,7585,8776,0,7585,0,0,0,0,0,0
8481,8473,7594,5215,5215,0,0,5218,0,8473,0,0,8481,0,5218,0,0,0,0,0
6683,6707,6071,7585,7585,6683,6683,0,7585,0,7585,7585,0,7693,0,0,24,0,0,0
5598,5493,4956,5914,6178,0,0,6434,0,5529,0,0,5218,0,6478,0,0,0,0,0
161,0,0,1669,0,0,0,1669,1669,0,0,0,0,0,0,2847,2686,2686,0,2388
0,53,23,1669,0,4,0,1669,1669,0,0,0,0,24,0,2686,2755,2686,0,2388
0,0,0,1669,0,0,0,1669,1669,0,0,0,0,0,0,2686,2686,2686,0,2388
2242,0,977,1227,0,0,0,1227,0,0,1323,0,0,0,0,0,0,0,2550,0
0,0,0,1503,0,0,0,1503,1503,0,0,0,0,0,0,2388,2388,2388,0,2422
