species,n_images,accuracy,tp_rate,tn_rate,fp_rate,fn_rate,avg_regions,avg_trait_diversity,invasive_ratio
lythrum salicaria,12618,0.38746235536535106,0.38746235536535106,0.0,0.0,0.6125376446346489,3.771596132509114,1.8682859443741646,0.0
lythrum alatum,10046,0.15150308580529565,0.0,0.15150308580529565,0.8484969141947044,0.0,3.702667728449134,1.7184772059752396,1.0
lythrum junceum,3127,0.027182603133994242,0.0,0.027182603133994242,0.9728173968660058,0.0,3.6690118324272465,1.7446308993134256,1.0
lythrum portula,2292,0.017452006980802792,0.0,0.017452006980802792,0.9825479930191972,0.0,3.5475567190226878,1.4027558819876536,1.0
lythrum californicum,2077,0.04044294655753491,0.0,0.04044294655753491,0.9595570534424651,0.0,3.7467501203659124,1.503338235287113,1.0
lythrum virgatum,2055,0.46228710462287104,0.46228710462287104,0.0,0.0,0.537712895377129,3.7231143552311434,1.6443635853425627,0.0
lythrum lineare,430,0.03255813953488372,0.0,0.03255813953488372,0.9674418604651163,0.0,3.9,1.6667606637679373,1.0
lythrum tribracteatum,345,0.03188405797101449,0.0,0.03188405797101449,0.9681159420289855,0.0,3.9101449275362317,1.685321791678908,1.0
lythrum flagellare,309,0.0,0.0,0.0,1.0,0.0,3.220064724919094,1.623555617861216,1.0
lythrum maritimum,209,0.019138755980861243,0.0,0.019138755980861243,0.9808612440191388,0.0,3.3014354066985647,1.0949822514384724,1.0
lythrum ovalifolium,149,0.013422818791946308,0.0,0.013422818791946308,0.9865771812080537,0.0,3.5436241610738257,1.5490613602707892,1.0
lythrum thymifolia,137,0.0,0.0,0.0,1.0,0.0,3.7883211678832116,1.1053937186955631,1.0
lythrum gracile,115,0.017391304347826087,0.0,0.017391304347826087,0.9826086956521739,0.0,2.9478260869565216,1.1035339006809124,1.0
lythrum borysthenicum,83,0.024096385542168676,0.0,0.024096385542168676,0.9759036144578314,0.0,3.5180722891566263,1.5947855132275182,1.0
lythrum volgense,81,0.04938271604938271,0.0,0.04938271604938271,0.9506172839506173,0.0,5.197530864197531,0.985231982063564,1.0
lythrum flexuosum,49,0.04081632653061224,0.0,0.04081632653061224,0.9591836734693877,0.0,3.2244897959183674,1.300368908639024,1.0
lythrum intermedium,30,1.0,0.0,1.0,0.0,0.0,3.8,1.8259598745456238,1.0
lythrum acutangulum,23,0.0,0.0,0.0,1.0,0.0,3.130434782608696,0.0,1.0
lythrum vulneraria,22,0.0,0.0,0.0,1.0,0.0,3.9545454545454546,0.999236465468962,1.0
lythrum album,16,0.0,0.0,0.0,1.0,0.0,3.9375,0.7887344735334039,1.0
lythrum rotundifolium,13,0.0,0.0,0.0,1.0,0.0,3.769230769230769,1.0061820683019862,1.0
lythrum bryantii,13,0.0,0.0,0.0,1.0,0.0,3.230769230769231,0.0,1.0
lythrum curtissii,13,0.15384615384615385,0.0,0.15384615384615385,0.8461538461538461,0.0,3.0,1.5033756963370817,1.0
lythrum paradoxum,8,0.0,0.0,0.0,1.0,0.0,4.5,1.4598741441117193,1.0
lythrum wilsonii,4,0.0,0.0,0.0,1.0,0.0,4.0,1.4548198371549537,1.0
lythrum netofa,3,0.0,0.0,0.0,1.0,0.0,2.3333333333333335,1.4255553730053514,1.0
lythrum baeticum,2,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0
lythrum silenoides,2,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0
lythrum thesioides,1,0.0,0.0,0.0,1.0,0.0,6.0,1.3296613488547582,1.0
