trait,n_images,acc_with,acc_without,impact,p_value,error_dist,stratified,p_value_adj,significant
getting_narrower_at_the_base,1715,0.4618075801749271,0.21043093651134934,0.2513766436635778,6.556206430390686e-131,"error_type                                  False Negative  False Positive  \
trait_getting_narrower_at_the_base_present                                   
0                                                 0.242989         0.54658   
1                                                 0.538192         0.00000   

error_type                                  True Negative  True Positive  
trait_getting_narrower_at_the_base_present                                
0                                                0.055411       0.155020  
1                                                0.000000       0.461808  ","{0: {'with': 0.4618075801749271, 'without': 0.38948911869115604, 'impact': 0.07231846148377108}, 1: {'with': nan, 'without': 0.09204551252614929, 'impact': nan}}",3.324933261126705e-130,Yes
stamens_10_14,1191,0.4609571788413098,0.21444333605392824,0.2465138427873816,2.2864976473282636e-89,"error_type                   False Negative  False Positive  True Negative  \
trait_stamens_10_14_present                                                  
0                                  0.247635        0.537922       0.054533   
1                                  0.539043        0.000000       0.000000   

error_type                   True Positive  
trait_stamens_10_14_present                 
0                                 0.159911  
1                                 0.460957  ","{0: {'with': 0.4609571788413098, 'without': 0.39237501854324286, 'impact': 0.06858216029806696}, 1: {'with': nan, 'without': 0.09204551252614929, 'impact': nan}}",6.49365331841227e-89,Yes
petals_rose_to_purple,1191,0.4609571788413098,0.21444333605392824,0.2465138427873816,2.2864976473282636e-89,"error_type                           False Negative  False Positive  \
trait_petals_rose_to_purple_present                                   
0                                          0.247635        0.537922   
1                                          0.539043        0.000000   

error_type                           True Negative  True Positive  
trait_petals_rose_to_purple_present                                
0                                         0.054533       0.159911  
1                                         0.000000       0.460957  ","{0: {'with': 0.4609571788413098, 'without': 0.39237501854324286, 'impact': 0.06858216029806696}, 1: {'with': nan, 'without': 0.09204551252614929, 'impact': nan}}",6.49365331841227e-89,Yes
inflorescence_spikelike_to_raceme,1191,0.4609571788413098,0.21444333605392824,0.2465138427873816,2.2864976473282636e-89,"error_type                                       False Negative  \
trait_inflorescence_spikelike_to_raceme_present                   
0                                                      0.247635   
1                                                      0.539043   

error_type                                       False Positive  \
trait_inflorescence_spikelike_to_raceme_present                   
0                                                      0.537922   
1                                                      0.000000   

error_type                                       True Negative  True Positive  
trait_inflorescence_spikelike_to_raceme_present                                
0                                                     0.054533       0.159911  
1                                                     0.000000       0.460957  ","{0: {'with': 0.4609571788413098, 'without': 0.39237501854324286, 'impact': 0.06858216029806696}, 1: {'with': nan, 'without': 0.09204551252614929, 'impact': nan}}",6.49365331841227e-89,Yes
alternate_distally,10735,0.38667908709827664,0.1483621532055912,0.23831693389268543,0.0,"error_type                        False Negative  False Positive  \
trait_alternate_distally_present                                   
0                                       0.095594        0.756044   
1                                       0.613321        0.000000   

error_type                        True Negative  True Positive  
trait_alternate_distally_present                                
0                                      0.075541       0.072822  
1                                      0.002422       0.384257  ","{0: {'with': 0.38519002708002614, 'without': 0.43239152371342077, 'impact': -0.047201496633394624}, 1: {'with': 1.0, 'without': 0.0908394216522761, 'impact': 0.9091605783477239}}",0.0,Yes
rounded_at_the_base,10739,0.38653505913027286,0.1483873709259338,0.23814768820433907,0.0,"error_type                         False Negative  False Positive  \
trait_rounded_at_the_base_present                                   
0                                        0.095610        0.756002   
1                                        0.613092        0.000372   

error_type                         True Negative  True Positive  
trait_rounded_at_the_base_present                                
0                                       0.075553       0.072834  
1                                       0.002421       0.384114  ","{0: {'with': 0.38519002708002614, 'without': 0.43239152371342077, 'impact': -0.047201496633394624}, 1: {'with': 0.8666666666666667, 'without': 0.09085798967755122, 'impact': 0.7758086769891155}}",0.0,Yes
with_flowers_in_whorled_clusters,8776,0.3989288969917958,0.16245685597740822,0.23647204101438757,0.0,"error_type                                      False Negative  \
trait_with_flowers_in_whorled_clusters_present                   
0                                                     0.139591   
1                                                     0.601071   

error_type                                      False Positive  True Negative  \
trait_with_flowers_in_whorled_clusters_present                                  
0                                                     0.697953       0.070089   
1                                                     0.000000       0.001937   

error_type                                      True Positive  
trait_with_flowers_in_whorled_clusters_present                 
0                                                    0.092367  
1                                                    0.396992  ","{0: {'with': 0.39776230163260645, 'without': 0.3982076428812986, 'impact': -0.00044534124869216596}, 1: {'with': 1.0, 'without': 0.09125727709120621, 'impact': 0.9087427229087938}}",0.0,Yes
base_rounded,252,0.0,0.22466196355085244,-0.22466196355085244,2.6712056976037286e-17,"error_type                  False Negative  False Positive  True Negative  \
trait_base_rounded_present                                                  
0                                 0.259671        0.515667       0.053028   
1                                 0.000000        1.000000       0.000000   

error_type                  True Positive  
trait_base_rounded_present                 
0                                0.171634  
1                                0.000000  ","{0: {'with': nan, 'without': 0.397941797860015, 'impact': nan}, 1: {'with': 0.0, 'without': 0.09324443066108441, 'impact': -0.09324443066108441}}",5.578106015584258e-17,Yes
a_discernible_gap_between_the_stem_and_the_base_of_the_blade,245,0.0,0.22461574631909953,-0.22461574631909953,7.505731489902081e-17,"error_type                                          False Negative  \
trait_a_discernible_gap_between_the_stem_and_th...                   
0                                                         0.259617   
1                                                         0.000000   

error_type                                          False Positive  \
trait_a_discernible_gap_between_the_stem_and_th...                   
0                                                         0.515767   
1                                                         1.000000   

error_type                                          True Negative  \
trait_a_discernible_gap_between_the_stem_and_th...                  
0                                                        0.053017   
1                                                        0.000000   

error_type                                          True Positive  
trait_a_discernible_gap_between_the_stem_and_th...                 
0                                                        0.171599  
1                                                        0.000000  ","{0: {'with': nan, 'without': 0.397941797860015, 'impact': nan}, 1: {'with': 0.0, 'without': 0.09321070579725121, 'impact': -0.09321070579725121}}",1.4802970438417994e-16,Yes
petiolated,245,0.0,0.22461574631909953,-0.22461574631909953,7.505731489902081e-17,"error_type                False Negative  False Positive  True Negative  \
trait_petiolated_present                                                  
0                               0.259617        0.515767       0.053017   
1                               0.000000        1.000000       0.000000   

error_type                True Positive  
trait_petiolated_present                 
0                              0.171599  
1                              0.000000  ","{0: {'with': nan, 'without': 0.397941797860015, 'impact': nan}, 1: {'with': 0.0, 'without': 0.09321070579725121, 'impact': -0.09321070579725121}}",1.4802970438417994e-16,Yes
creeping_to_weakly_erect,225,0.0,0.22448380180338942,-0.22448380180338942,1.4365913205785809e-15,"error_type                              False Negative  False Positive  \
trait_creeping_to_weakly_erect_present                                   
0                                             0.259465        0.516051   
1                                             0.000000        1.000000   

error_type                              True Negative  True Positive  
trait_creeping_to_weakly_erect_present                                
0                                            0.052986       0.171498  
1                                            0.000000       0.000000  ","{0: {'with': nan, 'without': 0.397941797860015, 'impact': nan}, 1: {'with': 0.0, 'without': 0.09311448332817178, 'impact': -0.09311448332817178}}",2.7567022638129525e-15,Yes
floral_tube_narrowly_obconic_without_red_dots,165,0.0,0.22408889670742077,-0.22408889670742077,1.0132929106690427e-11,"error_type                                          False Negative  \
trait_floral_tube_narrowly_obconic_without_red_...                   
0                                                         0.259008   
1                                                         0.000000   

error_type                                          False Positive  \
trait_floral_tube_narrowly_obconic_without_red_...                   
0                                                         0.516903   
1                                                         1.000000   

error_type                                          True Negative  \
trait_floral_tube_narrowly_obconic_without_red_...                  
0                                                        0.052892   
1                                                        0.000000   

error_type                                          True Positive  
trait_floral_tube_narrowly_obconic_without_red_...                 
0                                                        0.171197  
1                                                        0.000000  ","{0: {'with': nan, 'without': 0.397941797860015, 'impact': nan}, 1: {'with': 0.0, 'without': 0.09282700421940929, 'impact': -0.09282700421940929}}",1.712947539464334e-11,Yes
