trait,n_images,logit_coef,p_value,low_quartile_acc,high_quartile_acc,quartile_effect,stratified
purple,28,2.0588680899477283,0.5397457689423804,0.0,0.14285714285714285,0.14285714285714285,"{1: {'low_quartile_acc': 0.0, 'high_quartile_acc': 0.14285714285714285, 'quartile_effect': 0.14285714285714285}}"
flowers_solitary,36,2.5631784241789055,0.4467270705698071,0.0,0.125,0.125,"{1: {'low_quartile_acc': 0.0, 'high_quartile_acc': 0.125, 'quartile_effect': 0.125}}"
minute,51,2.3285732402524655,0.32402515966277023,0.0,0.1111111111111111,0.1111111111111111,"{1: {'low_quartile_acc': 0.0, 'high_quartile_acc': 0.1111111111111111, 'quartile_effect': 0.1111111111111111}}"
petals_pink,63,2.5493912194872412,0.3022880479143365,0.0,0.08695652173913043,0.08695652173913043,"{1: {'low_quartile_acc': 0.0, 'high_quartile_acc': 0.08695652173913043, 'quartile_effect': 0.08695652173913043}}"
leaves_opposite_but_sometimes_alternate,70,-3.654184876026006,0.3822184432720954,0.05263157894736842,0.0,-0.05263157894736842,"{1: {'low_quartile_acc': 0.05263157894736842, 'high_quartile_acc': 0.0, 'quartile_effect': -0.05263157894736842}}"
obovate,70,-3.654184876026006,0.3822184432720954,0.05263157894736842,0.0,-0.05263157894736842,"{1: {'low_quartile_acc': 0.05263157894736842, 'high_quartile_acc': 0.0, 'quartile_effect': -0.05263157894736842}}"
creeping,36,-1018.6332253884478,0.9960575850018999,0.05,0.0,-0.05,"{1: {'low_quartile_acc': 0.05, 'high_quartile_acc': 0.0, 'quartile_effect': -0.05}}"
sometimes_creeping,60,-4.48476661846694,0.48829632566132364,0.047619047619047616,0.0,-0.047619047619047616,"{1: {'low_quartile_acc': 0.047619047619047616, 'high_quartile_acc': 0.0, 'quartile_effect': -0.047619047619047616}}"
prostrate_to_weakly_erect,271,1.919574159734856,0.10574340674045307,0.022988505747126436,0.06944444444444445,0.04645593869731801,"{1: {'low_quartile_acc': 0.022988505747126436, 'high_quartile_acc': 0.06944444444444445, 'quartile_effect': 0.04645593869731801}}"
petals_pale_purple_to_purple_sometimes_with_red_midribs,85,2.2363935871086444,0.42885484237916693,0.0,0.044444444444444446,0.044444444444444446,"{1: {'low_quartile_acc': 0.0, 'high_quartile_acc': 0.044444444444444446, 'quartile_effect': 0.044444444444444446}}"
floral_tube_obconic_without_red_dots,85,2.2363935871086444,0.42885484237916693,0.0,0.044444444444444446,0.044444444444444446,"{1: {'low_quartile_acc': 0.0, 'high_quartile_acc': 0.044444444444444446, 'quartile_effect': 0.044444444444444446}}"
stamens_4_6,203,1.1731126666921972,0.4803635725765253,0.0136986301369863,0.05194805194805195,0.03824942181106565,"{1: {'low_quartile_acc': 0.0136986301369863, 'high_quartile_acc': 0.05194805194805195, 'quartile_effect': 0.03824942181106565}}"
petals_lavender,203,1.1731126666921972,0.4803635725765253,0.0136986301369863,0.05194805194805195,0.03824942181106565,"{1: {'low_quartile_acc': 0.0136986301369863, 'high_quartile_acc': 0.05194805194805195, 'quartile_effect': 0.03824942181106565}}"
calyx_with_teeth_of_the_same_length,203,1.1731126666921972,0.4803635725765253,0.0136986301369863,0.05194805194805195,0.03824942181106565,"{1: {'low_quartile_acc': 0.0136986301369863, 'high_quartile_acc': 0.05194805194805195, 'quartile_effect': 0.03824942181106565}}"
flower_tube_narrowly_cylindrical_without_red_dots,203,1.1731126666921972,0.4803635725765253,0.0136986301369863,0.05194805194805195,0.03824942181106565,"{1: {'low_quartile_acc': 0.0136986301369863, 'high_quartile_acc': 0.05194805194805195, 'quartile_effect': 0.03824942181106565}}"
