trait1,trait2,n_both,acc_both,acc_trait1_only,acc_trait2_only,synergy_score,interaction_type
calyx_with_alternate_long_and_small_teeth,one_or_few_flowers_in_the_axil_of_leaves,80,0.0,0.38802049126494154,,-0.38802049126494154,Antagonistic
calyx_with_alternate_long_and_small_teeth,stamens_2_3,80,0.0,0.38802049126494154,,-0.38802049126494154,Antagonistic
alternate_distally,rounded_at_the_base,10735,0.38667908709827664,,0.0,0.38667908709827664,Synergistic
inflorescence_spikelike,calyx_with_alternate_long_and_small_teeth,7585,0.3891891891891892,0.020969855832241154,0.018518518518518517,0.36944500201380936,Synergistic
calyx_with_alternate_long_and_small_teeth,stamens_12,7585,0.3891891891891892,0.018518518518518517,0.028433476394849784,0.36571319173250505,Synergistic
inflorescence_spikelike,stamens_12,7585,0.3891891891891892,0.020969855832241154,0.028433476394849784,0.36448752307564375,Synergistic
stamens_12,red_dotted,1864,0.028433476394849784,0.3891891891891892,,-0.36075571279433943,Antagonistic
stamens_12,solitary_in_leaf_axils,1864,0.028433476394849784,0.3891891891891892,,-0.36075571279433943,Antagonistic
inflorescence_spikelike,petals_white_to_pink,1323,0.02040816326530612,0.37968669748330763,,-0.3592785342180015,Antagonistic
calyx_with_alternate_long_and_small_teeth,petals_purple,7585,0.3891891891891892,0.018518518518518517,0.11149361465852305,0.3241831226006684,Synergistic
inflorescence_spikelike,petals_purple,7585,0.3891891891891892,0.020969855832241154,0.11149361465852305,0.3229574539438071,Synergistic
calyx_with_alternate_long_and_small_teeth,purple,28,0.07142857142857142,0.38512720156555774,,-0.3136986301369863,Antagonistic
leaves_opposite,rounded_at_the_base,10735,0.38667908709827664,0.14638354346383545,0.0,0.31348731536635893,Synergistic
inflorescence_spikelike,flower_tube_narrowly_cylindrical_without_red_dots,203,0.024630541871921183,0.3344185002245173,,-0.3097879583525961,Antagonistic
inflorescence_spikelike,stamens_4_6,203,0.024630541871921183,0.3344185002245173,,-0.3097879583525961,Antagonistic
inflorescence_spikelike,petals_lavender,203,0.024630541871921183,0.3344185002245173,,-0.3097879583525961,Antagonistic
inflorescence_spikelike,calyx_with_teeth_of_the_same_length,203,0.024630541871921183,0.3344185002245173,,-0.3097879583525961,Antagonistic
calyx_with_alternate_long_and_small_teeth,floral_tube_cylindrical,7585,0.3891891891891892,0.018518518518518517,0.19744877188220925,0.28120554398882536,Synergistic
inflorescence_spikelike,floral_tube_cylindrical,7585,0.3891891891891892,0.020969855832241154,0.19744877188220925,0.279979875331964,Synergistic
floral_tube_cylindrical,stamens_12,7585,0.3891891891891892,0.19744877188220925,0.028433476394849784,0.2762480650506597,Synergistic
floral_tube_cylindrical,petals_pale_purple_or_whitish,264,0.03409090909090909,0.29938733832539144,,-0.2652964292344824,Antagonistic
leaves_opposite,sessile,21586,0.2891689057722598,0.027257643991467174,0.024390243902439025,0.2633449618253067,Synergistic
sessile,obovate,70,0.02857142857142857,0.28850686260917785,,-0.25993543403774927,Antagonistic
sessile,leaves_opposite_but_sometimes_alternate,70,0.02857142857142857,0.28850686260917785,,-0.25993543403774927,Antagonistic
erect,sometimes_creeping,60,0.016666666666666666,0.2712871287128713,,-0.25462046204620464,Antagonistic
with_flowers_in_whorled_clusters,floral_tube_cylindrical,8776,0.3989288969917958,,0.14664940110067984,0.252279495891116,Synergistic
stamens_12,floral_tube_obconic,1864,0.028433476394849784,0.3891891891891892,0.16666666666666666,-0.24949445153307814,Antagonistic
leaves_opposite,a_discernible_gap_between_the_stem_and_the_base_of_the_blade,245,0.0,0.24870892018779342,,-0.24870892018779342,Antagonistic
leaves_opposite,petiolated,245,0.0,0.24870892018779342,,-0.24870892018779342,Antagonistic
leaves_opposite,rounded_base,88,0.0,0.24719057432826536,,-0.24719057432826536,Antagonistic
leaves_opposite,sessile_base_narrowly_attenuate,1921,0.018740239458615304,0.26465416178194606,,-0.24591392232333076,Antagonistic
leaves_opposite,alternate_distally,10735,0.38667908709827664,0.14638354346383545,,0.2402955436344412,Synergistic
petals_purple,red_dotted,1864,0.028433476394849784,0.2650414233328806,,-0.23660794693803083,Antagonistic
petals_purple,solitary_in_leaf_axils,1864,0.028433476394849784,0.2650414233328806,,-0.23660794693803083,Antagonistic
sessile_or_subsessile,leaves_mostly_alternate,122,0.01639344262295082,0.25,,-0.2336065573770492,Antagonistic
leaves_opposite,getting_narrower_at_the_base,1715,0.4618075801749271,0.23100871731008718,,0.23079886286483994,Synergistic
stamens_12,inflorescence_raceme,1864,0.028433476394849784,0.3891891891891892,0.12570160553452553,-0.22901192096700757,Antagonistic
sessile,purple,24,0.041666666666666664,0.28794097302282684,0.25,-0.22730381984474676,Antagonistic
leaves_opposite,distally_alternate,1866,0.03965702036441586,0.26245874932119134,,-0.22280172895677547,Antagonistic
leaves_opposite,stamens_12,6683,0.3911417028280712,0.1957431231042778,0.1413593637020969,0.22259045942488387,Synergistic
leaves_opposite,linear,1778,0.04161979752530934,0.2614974819994173,,-0.21987768447410797,Antagonistic
