trait,n_images,tp_change,tn_change,fp_change,fn_change,asymmetry_score,pattern_type,p_value
alternate_distally,10735,0.31143558787293424,-0.07311865398024879,-0.7560436759145176,0.5177267420218321,1.6583246597895327,polarizing,0.0
rounded_at_the_base,10739,0.31128008426149595,-0.07313239605715692,-0.7556297355034212,0.5174820472990822,1.6575242631211562,polarizing,0.0
with_flowers_in_whorled_clusters,8776,0.30462436562161854,-0.068152324607231,-0.6979526200188265,0.46148057900443895,1.532209889252115,polarizing,0.0
calyx_with_alternate_long_and_small_teeth,7693,0.2722564740045137,-0.06468850513488024,-0.6517466548895509,0.4441786860199174,1.4328703200488622,polarizing,1.2914479373935744e-307
getting_narrower_at_the_base,1715,0.30678715446002713,-0.055410510796449305,-0.5465798445802746,0.29520320091669683,1.203980710753448,polarizing,5.283900882856642e-61
inflorescence_raceme,9525,-0.2359477916515133,0.07482442316240354,0.5180959308198974,-0.35697256233078756,1.1858407079646018,polarizing,0.0
inflorescence_spikelike_to_raceme,1191,0.30104665618480003,-0.05453281339741846,-0.5379220700704331,0.2914082272830516,1.1849097669357032,polarizing,2.4752908325581855e-41
petals_rose_to_purple,1191,0.30104665618480003,-0.05453281339741846,-0.5379220700704331,0.2914082272830516,1.1849097669357032,polarizing,2.4752908325581855e-41
stamens_10_14,1191,0.30104665618480003,-0.05453281339741846,-0.5379220700704331,0.2914082272830516,1.1849097669357032,polarizing,2.4752908325581855e-41
base_attenuate,9258,-0.23342927960342208,0.12041837258108887,0.4661731361740083,-0.35316222915167506,1.1731830175101945,polarizing,0.0
becoming_alternate_distally,8481,-0.22639680508704588,0.1301383819763003,0.4387810085087526,-0.34252258539800706,1.1378387809701058,polarizing,0.0
inflorescence_spikelike,9111,0.20672135850784434,-0.06437269044973026,-0.4838901223241194,0.3415414542660054,1.0965256255476994,polarizing,2.9438473719165496e-286
stamens_6,6478,-0.21008131251349213,0.10850058749389029,0.41941910740428917,-0.31783838238468737,1.055839389796359,polarizing,0.0
stamens_12,9449,0.1936266028803007,-0.06244637901513633,-0.4522584529647809,0.32107822909961653,1.0294096639598345,polarizing,7.816766628555597e-272
subsessile,2847,-0.1858074781225139,-0.029442506578544768,0.4963637476286641,-0.2811137629276054,0.9927274952573282,aligned,6.884104335877508e-53
leaves_alternate,2755,-0.18526509502808008,-0.029214873061045556,0.49477314320097,-0.28029317511184443,0.98954628640194,aligned,1.8887570356863617e-51
base_obtuse_to_truncate,2686,-0.1848603811815361,-0.028836682170517783,0.4933779346241364,-0.2796808712720826,0.986755869248273,aligned,9.888251458236841e-51
sessile_base_narrowly_attenuate,1921,-0.18048901115885135,-0.035910312301763045,0.4894666165891111,-0.2730672931284968,0.9789332331782223,aligned,2.3221094348849188e-26
sprawling_or_ascending,2422,-0.1833281004709576,-0.02820664059309807,0.48889737842669306,-0.2773626373626374,0.9777947568533862,aligned,2.0219531779421893e-46
prostrate_and_spreading,1738,-0.17947378127497388,-0.0348419070908416,0.48584700944530157,-0.2715313210794861,0.9716940188906031,aligned,6.259019290371347e-25
stamens_5_8,2550,-0.18406783935439128,-0.02255091103965702,0.48510056112477146,-0.27848181073072314,0.970201122249543,aligned,1.1980521600713988e-58
base_rounded,252,-0.17163433274544385,-0.053027630805408586,0.4843327454438565,-0.25967078189300413,0.968665490887713,aligned,1.0
a_discernible_gap_between_the_stem_and_the_base_of_the_blade,245,-0.171599024304229,-0.053016722014870545,0.48423310900167515,-0.2596173626825756,0.9684662180033503,aligned,1.0
petiolated,245,-0.171599024304229,-0.053016722014870545,0.48423310900167515,-0.2596173626825756,0.9684662180033503,aligned,1.0
creeping_to_weakly_erect,225,-0.1714982230446148,-0.05298557875877463,0.4839486592063912,-0.25946485740300174,0.9678973184127824,aligned,1.0
petals_pale_purple_to_purple,165,-0.17119652857184742,-0.05289236813557334,0.48309731140235146,-0.25900841469493063,0.9661946228047028,aligned,1.0
floral_tube_narrowly_obconic_without_red_dots,165,-0.17119652857184742,-0.05289236813557334,0.48309731140235146,-0.25900841469493063,0.9661946228047028,aligned,1.0
rounded_base,88,-0.17081090568687105,-0.052773227240814416,0.48200912707699506,-0.25842499414930964,0.9640182541539902,aligned,1.0
stamens_2_3,80,-0.1707709405708938,-0.0527608797379504,0.48189635002339726,-0.2583645297145531,0.9637927000467945,aligned,1.0
one_or_few_flowers_in_the_axil_of_leaves,80,-0.1707709405708938,-0.0527608797379504,0.48189635002339726,-0.2583645297145531,0.9637927000467945,aligned,1.0
petals_pinkish_to_white,58,-0.17066113286958556,-0.052726953878529256,0.48158648506459345,-0.2581983983164786,0.9631729701291869,aligned,1.0
floral_tube_campanulate,1324,-0.17721864756586136,-0.033540721679167065,0.4788788302138277,-0.2681194609687993,0.9577576604276554,aligned,6.370217953849754e-20
petals_white_to_pink,1323,-0.17721326899147166,-0.03352367078125068,0.4788482633333767,-0.26811132356065437,0.9576965266667534,aligned,6.370217953849754e-20
solitary_in_leaf_axils,1864,-0.18017156257714145,-0.025596392773256857,0.4783549709021139,-0.2725870155517156,0.9567099418042277,aligned,1.5709778236122487e-38
red_dotted,1864,-0.18017156257714145,-0.025596392773256857,0.4783549709021139,-0.2725870155517156,0.9567099418042277,aligned,1.5709778236122487e-38
