species,consistency_score,sample_size,accuracy
lythrum alatum,1.0,37197,0.15713632819851064
lythrum flagellare,1.0,995,0.0
lythrum portula,1.0,8131,0.02139958184725126
lythrum junceum,1.0,11473,0.02850169964263924
lythrum virgatum,1.0,7651,0.45392759116455367
lythrum salicaria,1.0,47590,0.38356797646564406
lythrum californicum,1.0,7782,0.03932151117964534
lythrum ovalifolium,1.0,528,0.00946969696969697
lythrum tribracteatum,1.0,1349,0.03187546330615271
lythrum lineare,1.0,1677,0.03995229576624926
lythrum borysthenicum,1.0,292,0.0273972602739726
lythrum intermedium,1.0,114,1.0
lythrum gracile,1.0,339,0.008849557522123894
lythrum maritimum,1.0,690,0.021739130434782608
lythrum thymifolia,1.0,519,0.0
lythrum volgense,1.0,421,0.04513064133016627
lythrum thesioides,1.0,6,0.0
lythrum paradoxum,1.0,36,0.0
lythrum album,1.0,63,0.0
lythrum bryantii,1.0,42,0.0
lythrum flexuosum,1.0,158,0.05063291139240506
lythrum curtissii,1.0,39,0.15384615384615385
lythrum rotundifolium,1.0,49,0.0
lythrum acutangulum,1.0,72,0.0
lythrum wilsonii,1.0,16,0.0
lythrum netofa,1.0,7,0.0
lythrum vulneraria,1.0,87,0.0
lythrum baeticum,1.0,6,0.0
lythrum silenoides,1.0,10,0.0
