trait,demographic_parity_diff,tpr_diff,fpr_diff,precision_with,precision_without,recall_with,recall_without,f1_with,f1_without,n_with
a discernible gap between the stem and the base of the blade,-0.3189699354238451,,-0.09694633028804515,0.0,0.251548516318757,,0.3933129378541301,,0.3068481929752708,512
alternate distally,0.36905351947295206,0.019045427094318113,0.9044195214035867,1.0,0.16361162456356543,0.3823654632152589,0.40141089030957705,0.5532045951522991,0.23247033933082248,23542
base attenuate,-0.204035805153094,,0.06905712144763157,0.0,0.31194096280024697,,0.3933129378541301,,0.3479326137783045,20180
base narrowly attenuate,0.015647006466137814,,0.23710505994904446,0.0,0.25008344939513577,,0.3933129378541301,,0.3057556994089502,9
base obtuse to truncate,-0.3034864432234072,,-0.0743281244371968,0.0,0.2671494792755352,,0.3933129378541301,,0.3181811525225159,5715
base rounded,-0.31901772758816477,,-0.09697206813196026,0.0,0.2516038631678903,,0.3933129378541301,,0.3068893675624139,531
becoming alternate distally,-0.18841022309616387,,0.08089388150145362,0.0,0.3044574919776355,,0.3933129378541301,,0.3432277021263152,18402
calyx with alternate long and small teeth,0.31739267990888753,0.007799930578408443,0.05361380678746015,0.9659965782720273,0.20934447566568137,0.3871603668466615,0.39496029742507,0.5527748883313957,0.2736458821939372,11854
calyx with teeth of the same length,-0.28053090184779833,,-0.058660901496872475,0.0,0.25094710094710093,,0.3933129378541301,,0.30640032153207214,317
creeping,-0.3035685943047516,,-0.08205182111718458,0.0,0.25026492812384815,,0.3933129378541301,,0.3058912971553672,70
creeping to weakly erect,-0.3186734412540864,,-0.09678679013723084,0.0,0.2512053277219595,,0.3933129378541301,,0.3065927242965597,394
distally alternate,-0.2849223079862495,,-0.057772332678141074,0.0,0.2615567968411422,,0.3933129378541301,,0.31418056670209454,3983
erect,0.10329671537900731,0.004230621345411967,0.04750002882629843,0.34278267842822774,0.21273710549681168,0.3907578389249474,0.3949884602703594,0.36520141825793495,0.27653502329290297,40747
