trait,accuracy_with,accuracy_without,impact,ci_low,ci_high,n_with_x,n_without,demographic_parity_diff,tpr_diff,fpr_diff,precision_with,precision_without,recall_with,recall_without,f1_with,f1_without,n_with_y,bias_severity,n_with_combined
inflorescence spikelike to raceme,0.46265328874024525,0.22172926042454896,0.2409240283156963,0.2147067308275051,0.26197192181886303,1794,125545,0.2227981430172919,-0.07166782650663062,,1.0,0.24283307187263958,0.46265328874024525,0.39098546223361463,0.6326219512195121,0.2995942710498774,1794,0.2227981430172919,1794
stamens 10-14,0.46265328874024525,0.22172926042454896,0.2409240283156963,0.21307201226953715,0.2592607841849669,1794,125545,0.2227981430172919,-0.07166782650663062,,1.0,0.24283307187263958,0.46265328874024525,0.39098546223361463,0.6326219512195121,0.2995942710498774,1794,0.2227981430172919,1794
petals rose to purple,0.46265328874024525,0.22172926042454896,0.2409240283156963,0.21950158834793568,0.26459140821603094,1794,125545,0.2227981430172919,-0.07166782650663062,,1.0,0.24283307187263958,0.46265328874024525,0.39098546223361463,0.6326219512195121,0.2995942710498774,1794,0.2227981430172919,1794
getting narrower at the base,0.45274959957287775,0.21822433309329817,0.23452526647957958,0.22434378891493523,0.24736016130938773,3746,123593,0.23652082836397953,-0.06376037731828987,,1.0,0.23513599173602226,0.45274959957287775,0.3889892222545878,0.6233002572583609,0.29309941178192034,3746,0.23652082836397953,3746
base rounded,0.0,0.2260661787899817,-0.2260661787899817,-0.22759447353479276,-0.22415186739007004,531,126808,-0.31901772758816477,,-0.09697206813196026,0.0,0.2516038631678903,,0.3933129378541301,,0.3068893675624139,531,0.31901772758816477,531
petiolated,0.0,0.22603231173172905,-0.22603231173172905,-0.22786196945445372,-0.2233479464151955,512,126827,-0.3189699354238451,,-0.09694633028804515,0.0,0.251548516318757,,0.3933129378541301,,0.3068481929752708,512,0.3189699354238451,512
a discernible gap between the stem and the base of the blade,0.0,0.22603231173172905,-0.22603231173172905,-0.2277693235667484,-0.22450483729805168,512,126827,-0.3189699354238451,,-0.09694633028804515,0.0,0.251548516318757,,0.3933129378541301,,0.3068481929752708,512,0.3189699354238451,512
creeping to weakly erect,0.0,0.22582220646736775,-0.22582220646736775,-0.22769191382094608,-0.22421442356926227,394,126945,-0.3186734412540864,,-0.09678679013723084,0.0,0.2512053277219595,,0.3933129378541301,,0.3065927242965597,394,0.3186734412540864,394
floral tube narrowly obconic without red dots,0.0,0.2255272950413418,-0.2255272950413418,-0.22711370377072007,-0.22327119604125528,228,127111,-0.3182572712039084,,-0.09656323918185612,0.0,0.2507241192286832,,0.3933129378541301,,0.3062340554482797,228,0.3182572712039084,228
petals pale purple to purple,0.0,0.2255272950413418,-0.2255272950413418,-0.22776490626302995,-0.22314276498493443,228,127111,-0.3182572712039084,,-0.09656323918185612,0.0,0.2507241192286832,,0.3933129378541301,,0.3062340554482797,228,0.3182572712039084,228
