trait,n_samples,tp_change,tn_change,fp_change,fn_change,asymmetry_score,pattern_type,p_value
alternate distally,23542,0.0,0.0,-0.6277445398229236,0.43310077769241073,1.0608453175153343,aligned,
rounded at the base,23548,0.0,0.0,-0.6274682215913915,0.4329331804683465,1.060401402059738,aligned,
with flowers in whorled clusters,13485,0.0,0.0,-0.5722943418764382,0.3786128660153515,0.9509072078917897,aligned,
calyx with alternate long and small teeth,11854,0.0,0.0,-0.5494218063578652,0.37488253685633965,0.9243043432142048,aligned,
getting narrower at the base,3746,0.0,0.0,-0.5271981422896119,0.29267287581003226,0.8198710180996442,aligned,
stamens 10-14,1794,0.0,0.0,-0.5190011549643554,0.27807712664865913,0.7970782816130145,aligned,
petals rose to purple,1794,0.0,0.0,-0.5190011549643554,0.27807712664865913,0.7970782816130145,aligned,
inflorescence spikelike to raceme,1794,0.0,0.0,-0.5190011549643554,0.27807712664865913,0.7970782816130145,aligned,
subsessile,6043,0.0,0.0,0.4836264264090031,-0.2762993008837884,0.7599257272927915,aligned,
leaves alternate,5854,0.0,0.0,0.483013139176408,-0.2758694489031568,0.7588825880795648,aligned,
base obtuse to truncate,5715,0.0,0.0,0.48212717202693284,-0.27555416694073537,0.7576813389676682,aligned,
base rounded,531,0.0,0.0,0.49035549807583123,-0.2642893192858495,0.7546448173616807,aligned,
petiolated,512,0.0,0.0,0.4902820377364442,-0.2642497260047151,0.7545317637411593,aligned,
a discernible gap between the stem and the base of the blade,512,0.0,0.0,0.4902820377364442,-0.2642497260047151,0.7545317637411593,aligned,
sessile base narrowly attenuate,4074,0.0,0.0,0.4826426041367783,-0.2718857745507646,0.754528378687543,aligned,
creeping to weakly erect,394,0.0,0.0,0.48982630272952854,-0.26400409626216076,0.7538303989916892,aligned,
floral tube narrowly obconic without red dots,228,0.0,0.0,0.48918661642186745,-0.26365932138052567,0.7528459378023931,aligned,
petals pale purple to purple,228,0.0,0.0,0.48918661642186745,-0.26365932138052567,0.7528459378023931,aligned,
rounded base,167,0.0,0.0,0.4889519705595571,-0.2635328531437738,0.7524848237033308,aligned,
stamens 2-3,123,0.0,0.0,0.48878285750220096,-0.2634417054458559,0.7522245629480568,aligned,
one or few flowers in the axil of leaves,123,0.0,0.0,0.48878285750220096,-0.2634417054458559,0.7522245629480568,aligned,
