sample_size,accuracy,actual_invasive_rate,num_traits
166,0.518,0.0,6
864,0.481,0.0,5
374,0.476,0.0,3
2608,0.456,0.0,4
481,0.439,0.0,8
1744,0.416,0.004,11
283,0.413,0.0,9
3225,0.391,0.001,10
5582,0.385,0.002,6
15984,0.38,0.002,5
2589,0.378,0.003,4
1140,0.357,0.004,7
46825,0.225,0.567,0
20,0.2,1.0,3
2011,0.171,1.0,4
2489,0.162,1.0,8
4244,0.162,1.0,4
1310,0.158,1.0,9
887,0.154,1.0,5
12583,0.153,1.0,5
8,0.125,1.0,2
35,0.114,1.0,3
29,0.103,1.0,3
39,0.077,1.0,2
15,0.067,1.0,8
167,0.06,1.0,4
85,0.059,1.0,8
52,0.058,1.0,9
505,0.055,1.0,6
75,0.053,1.0,2
20,0.05,1.0,6
122,0.049,1.0,8
64,0.047,1.0,9
576,0.045,1.0,4
460,0.043,1.0,4
2578,0.042,1.0,4
439,0.041,1.0,3
868,0.041,1.0,3
294,0.037,1.0,7
183,0.033,1.0,5
1303,0.032,1.0,6
809,0.03,1.0,9
623,0.029,1.0,3
445,0.029,1.0,2
3864,0.028,1.0,4
220,0.027,1.0,3
154,0.026,1.0,5
350,0.026,1.0,2
39,0.026,1.0,4
559,0.025,1.0,6
42,0.024,1.0,6
286,0.024,1.0,7
419,0.024,1.0,10
41,0.024,1.0,7
44,0.023,1.0,2
182,0.022,1.0,5
93,0.022,1.0,5
912,0.02,1.0,4
2796,0.019,1.0,3
166,0.018,1.0,3
274,0.018,1.0,7
60,0.017,1.0,3
61,0.016,1.0,4
180,0.006,1.0,4
52,0.0,1.0,1
10,0.0,1.0,3
15,0.0,1.0,3
25,0.0,1.0,5
19,0.0,1.0,2
20,0.0,1.0,3
13,0.0,1.0,1
47,0.0,1.0,1
15,0.0,1.0,4
15,0.0,1.0,5
93,0.0,1.0,4
8,0.0,1.0,2
333,0.0,1.0,5
74,0.0,1.0,8
70,0.0,1.0,4
26,0.0,1.0,3
10,0.0,1.0,4
10,0.0,1.0,5
18,0.0,1.0,5
26,0.0,1.0,4
17,0.0,1.0,4
62,0.0,1.0,3
26,0.0,1.0,6
26,0.0,1.0,5
9,0.0,1.0,5
112,0.0,1.0,4
20,0.0,1.0,4
26,0.0,1.0,3
35,0.0,1.0,9
22,0.0,1.0,2
11,0.0,1.0,8
23,0.0,1.0,3
10,0.0,1.0,5
9,0.0,1.0,1
