trait,accuracy_with,accuracy_without,impact,ci_low,ci_high,n_with,n_without
inflorescence spikelike to raceme,0.46265328874024525,0.22172926042454896,0.2409240283156963,0.2147067308275051,0.26197192181886303,1794,125545
stamens 10-14,0.46265328874024525,0.22172926042454896,0.2409240283156963,0.21307201226953715,0.2592607841849669,1794,125545
petals rose to purple,0.46265328874024525,0.22172926042454896,0.2409240283156963,0.21950158834793568,0.26459140821603094,1794,125545
getting narrower at the base,0.45274959957287775,0.21822433309329817,0.23452526647957958,0.22434378891493523,0.24736016130938773,3746,123593
base rounded,0.0,0.2260661787899817,-0.2260661787899817,-0.22759447353479276,-0.22415186739007004,531,126808
petiolated,0.0,0.22603231173172905,-0.22603231173172905,-0.22786196945445372,-0.2233479464151955,512,126827
a discernible gap between the stem and the base of the blade,0.0,0.22603231173172905,-0.22603231173172905,-0.2277693235667484,-0.22450483729805168,512,126827
creeping to weakly erect,0.0,0.22582220646736775,-0.22582220646736775,-0.22769191382094608,-0.22421442356926227,394,126945
floral tube narrowly obconic without red dots,0.0,0.2255272950413418,-0.2255272950413418,-0.22711370377072007,-0.22327119604125528,228,127111
petals pale purple to purple,0.0,0.2255272950413418,-0.2255272950413418,-0.22776490626302995,-0.22314276498493443,228,127111
rounded base,0.0,0.22541911741578335,-0.22541911741578335,-0.22795583933570285,-0.2232873588525776,167,127172
one or few flowers in the axil of leaves,0.0,0.2253411520563451,-0.2253411520563451,-0.22731063702678908,-0.22268189535907434,123,127216
stamens 2-3,0.0,0.2253411520563451,-0.2253411520563451,-0.22822227549993712,-0.22297431140737015,123,127216
petals pinkish to white,0.0,0.2252720914698833,-0.2252720914698833,-0.22772032533102826,-0.22312954304349536,84,127255
sometimes alternate distally,0.0,0.2251853830201722,-0.2251853830201722,-0.2271735373593917,-0.22372981210331175,35,127304
leaves with petiole,0.0,0.22516592703137886,-0.22516592703137886,-0.2271859168204846,-0.22325766798884655,24,127315
petals white,0.0,0.22515001099557036,-0.22515001099557036,-0.2273738651000597,-0.22243194527347554,15,127324
petals pink to purple,0.0,0.22515001099557036,-0.22515001099557036,-0.22822700354999842,-0.22272077534478968,15,127324
stamens 8,0.0,0.2251411697256713,-0.2251411697256713,-0.22751827941788594,-0.22261503663737248,10,127329
petals pink to purple with a darker midrib,0.0,0.2251411697256713,-0.2251411697256713,-0.22713560932701898,-0.22287891996324483,10,127329
stamens 10-12,0.0,0.2251411697256713,-0.2251411697256713,-0.22736179503490955,-0.22322349975260938,10,127329
erect or decumbent,0.009523809523809525,0.2254796309260672,-0.2159558214022577,-0.22731418480441126,-0.20164296932736864,210,127129
leaves mostly alternate,0.011450381679389313,0.22556402810894183,-0.21411364642955252,-0.22782151766251957,-0.20219150353452228,262,127077
