species,consistency_score,sample_size,accuracy
lythrum virgatum,1.0,7923,0.5461315158399596
lythrum salicaria,1.0,46895,0.60673845825781
lythrum alatum,1.0,40736,0.8556068342498037
lythrum gracile,1.0,383,0.9895561357702349
lythrum junceum,1.0,11544,0.9695079695079695
lythrum portula,1.0,8826,0.9805121232721504
lythrum californicum,1.0,8268,0.964078374455733
lythrum maritimum,1.0,778,0.9858611825192802
lythrum ovalifolium,1.0,576,0.9913194444444444
lythrum lineare,1.0,1798,0.9655172413793104
lythrum flexuosum,1.0,181,0.9668508287292817
lythrum flagellare,1.0,1043,1.0
lythrum tribracteatum,1.0,1365,0.9677655677655678
lythrum rotundifolium,1.0,52,1.0
lythrum thymifolia,1.0,523,1.0
lythrum album,1.0,69,1.0
lythrum intermedium,1.0,121,0.0
lythrum volgense,1.0,445,0.9550561797752809
lythrum vulneraria,1.0,81,1.0
lythrum bryantii,1.0,53,1.0
lythrum borysthenicum,1.0,286,0.9755244755244755
lythrum curtissii,1.0,46,0.9130434782608695
lythrum acutangulum,1.0,65,1.0
lythrum thesioides,1.0,4,1.0
lythrum baeticum,1.0,11,1.0
lythrum wilsonii,1.0,11,1.0
lythrum silenoides,1.0,10,1.0
lythrum paradoxum,1.0,30,1.0
lythrum netofa,1.0,5,1.0
