trait,demographic_parity_diff,tpr_diff,fpr_diff,precision_with,precision_without,recall_with,recall_without,f1_with,f1_without,n_with
a discernible gap between the stem and the base of the blade,0.302169370464648,0.09099196478570593,,1.0,0.7600339728652628,1.0,0.9090080352142941,1.0,0.8278724981467754,523
alternate distally,-0.37390171615403683,-0.910459741840262,-0.012864779576151342,0.0,0.8490449858740009,0.0,0.910459741840262,,0.878680536032237,24221
base attenuate,0.20347655194201708,-0.05996576971165424,,1.0,0.6963082392823184,0.8673590114368345,0.9273247811484887,0.9289686730024639,0.7953815640347563,22821
base narrowly attenuate,0.23433323493272173,0.023714341160489094,,1.0,0.7613566223050018,0.9333333333333333,0.9096189921728443,0.9655172413793104,0.8289102934414826,15
base obtuse to truncate,0.28237735141612674,0.06390260006847892,,1.0,0.7453402512162146,0.9685576443187489,0.90465504425027,0.9840277190906785,0.8173063520825149,6011
base rounded,0.3021969253683706,0.09100618690980133,,1.0,0.7600026136388387,1.0,0.9089938130901987,1.0,0.8278479961566064,535
becoming alternate distally,0.18871902498567183,-0.07098853609956568,,1.0,0.7038181891488704,0.8578527402169239,0.9288412763164896,0.9234884139598282,0.800822705446983,20929
calyx with alternate long and small teeth,-0.3258744208273057,-0.07965334000294644,-0.009317588398043919,0.03680468423253869,0.8009568503865082,0.8301886792452831,0.9098420192482295,0.07048458149779735,0.8519343927810199,11882
calyx with teeth of the same length,0.2712434756666824,0.06018653431245191,,1.0,0.7604851593831172,0.9695290858725761,0.9093425515601242,0.9845288326300984,0.8282788825757575,361
creeping,0.30115564037319764,0.09047002460183862,,1.0,0.7611859429351654,1.0,0.9095299753981614,1.0,0.8287721740771986,80
creeping to weakly erect,0.3019674546103438,0.09088780487804882,,1.0,0.7602636903596371,1.0,0.9091121951219512,1.0,0.828051966516786,435
distally alternate,0.2769681756109633,0.06047273767956496,,1.0,0.7496307741246506,0.9665849855201604,0.9061122478405954,0.9830086089714545,0.8204771112202582,4489
erect,-0.0956084678703163,-0.04178233636127704,0.004379175038195293,0.6725960851550221,0.8000155363940029,0.8794134130394171,0.9211957494006942,0.7622247409326425,0.8563398551507946,44067
erect or decumbent,0.2921917080522817,0.08134441936683356,,1.0,0.7608386599672263,0.9907407407407407,0.9093963213739071,0.9953488372093023,0.8285108218457703,216
floral tube campanulate,0.2821436242496982,0.06884152054298409,,1.0,0.7557818681501346,0.9765301426599171,0.907688622116933,0.9881257275902212,0.8247992453560371,2173
floral tube cylindrical,-0.12285191127430606,-0.06683249071981023,0.002756496004111375,0.6183711468174609,0.7880297970716671,0.8518905567167016,0.9187230474365118,0.7165860870260119,0.8483725560686928,24221
