trait,accuracy_with,accuracy_without,impact,ci_low,ci_high,n_with_x,n_without,demographic_parity_diff,tpr_diff,fpr_diff,precision_with,precision_without,recall_with,recall_without,f1_with,f1_without,n_with_y,bias_severity,n_with_combined
getting narrower at the base,0.5447316103379721,0.7877271591831637,-0.2429955488451916,-0.2552648179181949,-0.22788516977818338,4024,128104,-0.2514152423869324,0.05746549955689728,,1.0,0.8140518962075848,0.5447316103379721,0.6021971098948695,0.7052767052767052,0.6922789666059366,4024,0.2514152423869324,4024
petals rose to purple,0.5417283950617284,0.7840403372712389,-0.24231194220951047,-0.2643557453956471,-0.22515725830901495,2025,130103,-0.24450235108118984,0.05840798665554475,,1.0,0.8193173002327385,0.5417283950617284,0.6001363817172731,0.7027546444586804,0.6928047407148246,2025,0.24450235108118984,2025
inflorescence spikelike to raceme,0.5417283950617284,0.7840403372712389,-0.24231194220951047,-0.2590408697078848,-0.21951149502345865,2025,130103,-0.24450235108118984,0.05840798665554475,,1.0,0.8193173002327385,0.5417283950617284,0.6001363817172731,0.7027546444586804,0.6928047407148246,2025,0.24450235108118984,2025
stamens 10-14,0.5417283950617284,0.7840403372712389,-0.24231194220951047,-0.2635814223355607,-0.2203319716391847,2025,130103,-0.24450235108118984,0.05840798665554475,,1.0,0.8193173002327385,0.5417283950617284,0.6001363817172731,0.7027546444586804,0.6928047407148246,2025,0.24450235108118984,2025
base rounded,1.0,0.7794335564961662,0.2205664435038338,0.21812729400500025,0.22253843289536682,535,131593,0.3021969253683706,,0.09100618690980133,,0.8243015565670028,,0.5979787660987267,,0.6931331606491515,535,0.3021969253683706,535
petiolated,1.0,0.7794536681737017,0.22054633182629835,0.2187912693286729,0.22254739561566805,523,131605,0.302169370464648,,0.09099196478570593,,0.8243015565670028,,0.5979787660987267,,0.6931331606491515,523,0.302169370464648,523
a discernible gap between the stem and the base of the blade,1.0,0.7794536681737017,0.22054633182629835,0.21809524714106604,0.22287660043311425,523,131605,0.302169370464648,,0.09099196478570593,,0.8243015565670028,,0.5979787660987267,,0.6931331606491515,523,0.302169370464648,523
creeping to weakly erect,1.0,0.7796010418169531,0.2203989581830469,0.2183183616441269,0.22278348127842787,435,131693,0.3019674546103438,,0.09088780487804882,,0.8243015565670028,,0.5979787660987267,,0.6931331606491515,435,0.3019674546103438,435
floral tube narrowly obconic without red dots,1.0,0.7798901915580968,0.2201098084419032,0.21765883548450704,0.222397926683148,262,131866,0.30157129206922173,,0.09068372962309212,,0.8243015565670028,,0.5979787660987267,,0.6931331606491515,262,0.30157129206922173,262
petals pale purple to purple,1.0,0.7798901915580968,0.2201098084419032,0.21740137715559738,0.22172944504269482,262,131866,0.30157129206922173,,0.09068372962309212,,0.8243015565670028,,0.5979787660987267,,0.6931331606491515,262,0.30157129206922173,262
