trait,n_samples,tp_change,tn_change,fp_change,fn_change,asymmetry_score,pattern_type,p_value
getting narrower at the base,4024,0.0,0.0,0.29753717127696566,-0.054541622431774184,0.35207879370873985,aligned,
stamens 10-14,2025,0.0,0.0,0.29601554627705706,-0.053703604067546484,0.34971915034460355,aligned,
petals rose to purple,2025,0.0,0.0,0.29601554627705706,-0.053703604067546484,0.34971915034460355,aligned,
inflorescence spikelike to raceme,2025,0.0,0.0,0.29601554627705706,-0.053703604067546484,0.34971915034460355,aligned,
alternate distally,24221,0.0,0.0,0.2777983589106022,-0.06116088699409955,0.3389592459047018,aligned,
rounded at the base,24225,0.0,0.0,0.277729061916798,-0.06116374693331713,0.33889280885011513,aligned,
with flowers in whorled clusters,13729,0.0,0.0,0.26369528392291086,-0.05624864857340859,0.31994393249631947,aligned,
becoming alternate distally,20929,0.0,0.0,-0.19818523547873632,0.10606779863684276,0.3042530341155791,aligned,
base attenuate,22821,0.0,0.0,-0.201615633033566,0.0964127506644033,0.2980283836979693,aligned,
calyx with alternate long and small teeth,11882,0.0,0.0,0.24267569834529557,-0.054776703717654855,0.2974524020629504,aligned,
stamens 6,10979,0.0,0.0,-0.1819082287101008,0.09421391040008002,0.2761221391101808,aligned,
inflorescence raceme,15859,0.0,0.0,-0.1895432144423707,0.06021773010859595,0.24976094455096665,aligned,
inflorescence spikelike,14235,0.0,0.0,0.17570577615117658,-0.05170736655106799,0.22741314270224455,aligned,
base rounded,535,0.0,0.0,-0.16747091410637344,-0.05309552939746035,0.22056644350383378,aligned,
petiolated,523,0.0,0.0,-0.16745564378253106,-0.053090688043767334,0.2205463318262984,aligned,
a discernible gap between the stem and the base of the blade,523,0.0,0.0,-0.16745564378253106,-0.053090688043767334,0.2205463318262984,aligned,
creeping to weakly erect,435,0.0,0.0,-0.1673437464405853,-0.05305521174246163,0.22039895818304694,aligned,
floral tube narrowly obconic without red dots,262,0.0,0.0,-0.1671242018412631,-0.05298560660064004,0.22010980844190314,aligned,
petals pale purple to purple,262,0.0,0.0,-0.1671242018412631,-0.05298560660064004,0.22010980844190314,aligned,
stamens 2-3,126,0.0,0.0,-0.1669520158785473,-0.052931016196724294,0.2198830320752716,aligned,
one or few flowers in the axil of leaves,126,0.0,0.0,-0.1669520158785473,-0.052931016196724294,0.2198830320752716,aligned,
creeping,80,0.0,0.0,-0.16689385677935295,-0.05291257724463831,0.21980643402399125,aligned,
petals pinkish to white,79,0.0,0.0,-0.16689259290112005,-0.05291217654052662,0.21980476944164667,aligned,
petals reddish,69,0.0,0.0,-0.1668799551715521,-0.05290816983318063,0.21978812500473272,aligned,
petals minute,69,0.0,0.0,-0.1668799551715521,-0.05290816983318063,0.21978812500473272,aligned,
sometimes alternate distally,40,0.0,0.0,-0.16684331657682758,-0.05289655381260978,0.21973987038943735,aligned,
leaves with petiole,26,0.0,0.0,-0.1668256347367943,-0.05289094790389245,0.21971658264068675,aligned,
petals white,21,0.0,0.0,-0.1668193207021581,-0.05288894608158538,0.2197082667837435,aligned,
petals pink to purple,15,0.0,0.0,-0.16681174449145808,-0.05288654409482791,0.21969828858628598,aligned,
stamens 8,12,0.0,0.0,-0.1668079566441612,-0.05288534318326319,0.2196932998274244,aligned,
petals pink to purple with a darker midrib,12,0.0,0.0,-0.1668079566441612,-0.05288534318326319,0.2196932998274244,aligned,
stamens 12,14569,0.0,0.0,0.16786774118630826,-0.05056228169048243,0.2184300228767907,aligned,
rounded base,178,0.0,0.0,-0.16701780977643046,-0.04732631955413823,0.21434412933056868,aligned,
erect or decumbent,216,0.0,0.0,-0.1670659227363697,-0.043692708719393174,0.21075863145576287,aligned,
leaves mostly alternate,280,0.0,0.0,-0.16714701777804744,-0.042255801052293984,0.20940281883034143,aligned,
often with a darker midrib,178,0.0,0.0,-0.16701780977643046,-0.04170076339778006,0.20871857317421053,aligned,
petals pinkish,178,0.0,0.0,-0.16701780977643046,-0.04170076339778006,0.20871857317421053,aligned,
sessile base narrowly attenuate,4524,0.0,0.0,-0.17270618475909846,-0.034613890714229156,0.20732007547332762,aligned,
sessile or subsessile,295,0.0,0.0,-0.1671660358180425,-0.03940920633153372,0.20657524214957623,aligned,
prostrate and spreading,3606,0.0,0.0,-0.1714725883506326,-0.03497768127610275,0.20645026962673535,aligned,
prostrate,780,0.0,0.0,-0.16778329323628832,-0.03255993278376565,0.20034322602005397,aligned,
petals pale purple to purple sometimes with red midribs,149,0.0,0.0,-0.1669811106312368,-0.03278328141588114,0.19976439204711793,aligned,
floral tube obconic without red dots,149,0.0,0.0,-0.1669811106312368,-0.03278328141588114,0.19976439204711793,aligned,
floral tube campanulate,2173,0.0,0.0,-0.1695817783078758,-0.02990246384802074,0.19948424215589655,aligned,
petals white to pink,2170,0.0,0.0,-0.16957786361747643,-0.029868784973635223,0.19944664859111166,aligned,
subsessile,6414,0.0,0.0,-0.17530267114243442,-0.023789013940646673,0.1990916850830811,aligned,
leaves alternate,6164,0.0,0.0,-0.17495474897589788,-0.02296555028618644,0.19792029926208432,aligned,
stamens 5-8,4254,0.0,0.0,-0.17234152368737976,-0.025492555006048464,0.19783407869342823,aligned,
base obtuse to truncate,6011,0.0,0.0,-0.174742501010966,-0.02245997310868212,0.1972024741196481,aligned,
solitary in leaf axils,2865,0.0,0.0,-0.17048962193357728,-0.025153709716296168,0.19564333164987344,aligned,
red-dotted,2865,0.0,0.0,-0.17048962193357728,-0.025153709716296168,0.19564333164987344,aligned,
floral tube obconic,2872,0.0,0.0,-0.17049885498545522,-0.024869585748340237,0.19536844073379545,aligned,
sprawling or ascending,4802,0.0,0.0,-0.17308326657556194,-0.021811523915990817,0.19489479049155276,aligned,
leaves opposite but sometimes alternate,155,0.0,0.0,-0.16698870223454798,-0.027105886516865744,0.19409458875141372,aligned,
obovate,155,0.0,0.0,-0.16698870223454798,-0.027105886516865744,0.19409458875141372,aligned,
distally alternate,4489,0.0,0.0,-0.1726588268475936,-0.02015011843408169,0.19280894528167528,aligned,
linear,4311,0.0,0.0,-0.17241837940180102,-0.018935614475365715,0.19135399387716673,aligned,
flowers solitary,67,0.0,0.0,-0.1668774278553093,-0.023041477779321116,0.1899189056346304,aligned,
calyx with teeth of the same length,361,0.0,0.0,-0.16724976663352736,-0.02247102125852258,0.18972078789204994,aligned,
stamens 4-6,361,0.0,0.0,-0.16724976663352736,-0.02247102125852258,0.18972078789204994,aligned,
flower tube narrowly cylindrical without red dots,361,0.0,0.0,-0.16724976663352736,-0.02247102125852258,0.18972078789204994,aligned,
petals lavender,361,0.0,0.0,-0.16724976663352736,-0.02247102125852258,0.18972078789204994,aligned,
