sample_size,accuracy,actual_invasive_rate,num_traits
14,1.0,1.0,4
12,1.0,1.0,6
20,1.0,1.0,5
22,1.0,1.0,4
15,1.0,1.0,4
69,1.0,1.0,3
31,1.0,1.0,6
34,1.0,1.0,5
66,1.0,1.0,3
10,1.0,1.0,5
61,1.0,1.0,9
25,1.0,1.0,3
12,1.0,1.0,5
18,1.0,1.0,2
16,1.0,1.0,8
29,1.0,1.0,3
8,1.0,1.0,5
11,1.0,1.0,2
114,1.0,1.0,4
8,1.0,1.0,2
17,1.0,1.0,6
18,1.0,1.0,3
43,1.0,1.0,4
16,1.0,1.0,2
20,1.0,1.0,3
28,1.0,1.0,3
12,1.0,1.0,1
22,1.0,1.0,3
44,1.0,1.0,1
340,1.0,1.0,5
53,1.0,1.0,8
69,1.0,1.0,4
20,1.0,1.0,8
35,1.0,1.0,3
129,0.992,1.0,4
296,0.99,1.0,3
184,0.989,1.0,4
85,0.988,1.0,2
123,0.984,1.0,8
183,0.984,1.0,5
3038,0.982,1.0,3
612,0.982,1.0,6
654,0.979,1.0,3
385,0.977,1.0,7
41,0.976,1.0,7
1294,0.975,1.0,6
489,0.975,1.0,2
76,0.974,1.0,4
502,0.974,1.0,10
257,0.973,1.0,7
625,0.973,1.0,4
108,0.972,1.0,8
990,0.972,1.0,4
68,0.971,1.0,9
34,0.971,1.0,2
167,0.97,1.0,4
355,0.969,1.0,2
603,0.968,1.0,6
156,0.968,1.0,5
4043,0.967,1.0,4
430,0.967,1.0,3
360,0.967,1.0,7
30,0.967,1.0,5
150,0.967,1.0,3
59,0.966,1.0,1
954,0.965,1.0,3
2918,0.964,1.0,4
812,0.964,1.0,9
487,0.963,1.0,4
104,0.962,1.0,5
47,0.957,1.0,6
66,0.955,1.0,9
41,0.951,1.0,2
199,0.95,1.0,5
18,0.944,1.0,4
26,0.923,1.0,3
12,0.917,1.0,5
16,0.875,1.0,5
14154,0.861,1.0,5
2218,0.853,1.0,4
4606,0.853,1.0,4
2793,0.853,1.0,8
1749,0.842,1.0,9
907,0.839,1.0,5
46250,0.781,0.587,0
1082,0.616,0.001,7
2630,0.613,0.004,4
5329,0.608,0.002,6
16298,0.604,0.003,5
3208,0.603,0.003,10
2085,0.586,0.004,11
959,0.56,0.0,5
417,0.559,0.0,3
2713,0.546,0.0,4
356,0.537,0.0,9
538,0.533,0.0,8
172,0.477,0.0,6
