trait,accuracy_with,accuracy_without,impact,ci_low,ci_high,n_with,n_without
getting narrower at the base,0.5447316103379721,0.7877271591831637,-0.2429955488451916,-0.26040460889505906,-0.23116567797983223,4024,128104
petals rose to purple,0.5417283950617284,0.7840403372712389,-0.24231194220951047,-0.26533154244457596,-0.2271161983435157,2025,130103
inflorescence spikelike to raceme,0.5417283950617284,0.7840403372712389,-0.24231194220951047,-0.26030841100920704,-0.22122413827297138,2025,130103
stamens 10-14,0.5417283950617284,0.7840403372712389,-0.24231194220951047,-0.25924392041519234,-0.22293972145336322,2025,130103
base rounded,1.0,0.7794335564961662,0.2205664435038338,0.21796942086585155,0.22260720555044722,535,131593
petiolated,1.0,0.7794536681737017,0.22054633182629835,0.21791269328672924,0.222163861555412,523,131605
a discernible gap between the stem and the base of the blade,1.0,0.7794536681737017,0.22054633182629835,0.21753789749629573,0.22207419930853695,523,131605
creeping to weakly erect,1.0,0.7796010418169531,0.2203989581830469,0.2187800414600624,0.22259801204316101,435,131693
floral tube narrowly obconic without red dots,1.0,0.7798901915580968,0.2201098084419032,0.218176595938301,0.22181760271791062,262,131866
petals pale purple to purple,1.0,0.7798901915580968,0.2201098084419032,0.217865674245067,0.22272780701621342,262,131866
one or few flowers in the axil of leaves,1.0,0.7801169679247284,0.2198830320752716,0.21780598021242106,0.22156027938970624,126,132002
stamens 2-3,1.0,0.7801169679247284,0.2198830320752716,0.218322070877714,0.22175535219163345,126,132002
creeping,1.0,0.7801935659760088,0.21980643402399125,0.21866631830849392,0.22230590391372831,80,132048
petals pinkish to white,1.0,0.7801952305583534,0.21980476944164662,0.21720289438011647,0.22210580920718825,79,132049
petals minute,1.0,0.7802118749952672,0.21978812500473277,0.21794614528354755,0.22141088452888483,69,132059
petals reddish,1.0,0.7802118749952672,0.21978812500473277,0.2173664801338796,0.2219878993480187,69,132059
sometimes alternate distally,1.0,0.7802601296105627,0.21973987038943732,0.21770240294349225,0.2220165722851432,40,132088
leaves with petiole,1.0,0.7802834173593133,0.21971658264068672,0.2176880365172367,0.2218157181571816,26,132102
petals white,1.0,0.7802917332162566,0.21970826678374344,0.21738117586501854,0.2218998614759248,21,132107
petals pink to purple,1.0,0.7803017114137141,0.21969828858628593,0.2177225178445724,0.22103880768735856,15,132113
petals pink to purple with a darker midrib,1.0,0.7803067001725756,0.21969329982742436,0.21747347028369005,0.22188058221562865,12,132116
stamens 8,1.0,0.7803067001725756,0.21969329982742436,0.21799138635744347,0.22164575070392686,12,132116
stamens 10-12,1.0,0.7803133514986376,0.21968664850136244,0.21729223433242503,0.2216399863760218,8,132120
alternate distally,0.6034020065232649,0.8200394784397675,-0.21663747191650262,-0.22269977429851023,-0.21145708351409198,24221,107907
rounded at the base,0.6034674922600619,0.8200328072435428,-0.21656531498348086,-0.22363835770129017,-0.21014132953968798,24225,107903
rounded base,0.9943820224719101,0.7800378931413414,0.21434412933056868,0.2080963677933844,0.22152823039029937,178,131950
erect or decumbent,0.9907407407407407,0.7799821092849779,0.2107586314557628,0.19714081974964232,0.22183633786160467,216,131912
leaves mostly alternate,0.9892857142857143,0.7798828954553728,0.2094028188303415,0.1991094723794499,0.218186391039032,280,131848
often with a darker midrib,0.9887640449438202,0.7800454717696097,0.2087185731742105,0.19289154472029335,0.2205714285714286,178,131950
petals pinkish,0.9887640449438202,0.7800454717696097,0.2087185731742105,0.1913549778388988,0.2192798408488064,178,131950
with flowers in whorled clusters,0.5944351373006046,0.8018817726501068,-0.20744663534950225,-0.21514662619434927,-0.20120485709346447,13729,118399
sessile base narrowly attenuate,0.9805481874447391,0.7732281119714115,0.20732007547332765,0.2029144552980012,0.21062194607731904,4524,127604
sessile or subsessile,0.9864406779661017,0.7798654358165255,0.20657524214957623,0.19634545155806393,0.21837501592602976,295,131833
prostrate and spreading,0.9811425402107599,0.7746922705840246,0.2064502696267353,0.20252304803613777,0.21054925654902754,3606,128522
prostrate,0.9794871794871794,0.7791439534671255,0.20034322602005394,0.19245806403501994,0.21000898376831018,780,131348
floral tube obconic without red dots,0.9798657718120806,0.7801013797649626,0.19976439204711793,0.17966653328160653,0.21318986277611482,149,131979
petals pale purple to purple sometimes with red midribs,0.9798657718120806,0.7801013797649626,0.19976439204711793,0.16630014125188003,0.2190202607990665,149,131979
floral tube campanulate,0.9765301426599171,0.7770459005040207,0.19948424215589644,0.19229114000185882,0.20564489578793804,2173,129955
