Original name,Entire name,OSM Tags,Nominatim URL,lat,lon,bbox,area
Afghanistan,Islamic Republic of Afghanistan,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Afghanistan&format=json&limit=1,33.7680065,66.2385139,"[29.3772926, 38.4910682, 60.5176034, 74.889862]",130.98553974557012
Alabama,State of Alabama (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Alabama&format=json&limit=1,33.2588817,-86.8295337,"[30.143376, 35.0081121, -88.4731014, -84.8882885]",17.439168726375698
Alaska,State of Alaska (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Alaska&format=json&limit=1,64.4459613,-149.680909,"[51.0070029, 71.5889534, -180.0, 180.0]",7409.502179999997
Albania,Republic of Albania,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Albania&format=json&limit=1,41.000028,19.9999619,"[39.640394, 42.6610848, 19.0009866, 21.0574335]",6.211890231518506
Alberta,Province of Alberta (Canada),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=Canada&state=Alberta&format=json&limit=1,55.001251,-115.002136,"[48.9966667, 60.0004699, -120.0013835, -110.0047639]",110.00083474366275
Algeria,People's Democratic Republic of Algeria,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Algeria&format=json&limit=1,28.0000272,2.9999825,"[18.968147, 37.2962055, -8.668908, 11.997337]",378.77214733533253
Altay,Altai Republic (Russia),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?q=Altai%20Republic%20Russia&format=json&limit=1,50.7114101,86.8572186,"[49.0708578, 52.660268, 83.9328028, 89.8656495]",21.295420460016356
Amur,Amur Oblast (Russia),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?q=Amur%20Oblast%20Russia&format=json&limit=1,52.8032368,128.437295,"[48.8531005, 57.0605084, 119.6553908, 134.9209128]",125.29036586042382
Argentina Northeast,Northeastern Argentina,place=region,https://nominatim.openstreetmap.org/search?q=Northeastern%20Argentina&format=json&limit=1,-28.833396,-59.358107,"[-35.542023, -22.124769, -64.051196, -54.665018]",125.928
Argentina Northwest,Northwestern Argentina,place=region,https://nominatim.openstreetmap.org/search?q=Northwestern%20Argentina&format=json&limit=1,-29.537130,-65.742956,"[-35.938439, -23.135821, -68.423619, -63.062292]",68.597
Argentina South,Southern Argentina,place=region,https://nominatim.openstreetmap.org/search?q=Southern%20Argentina&format=json&limit=1,-44.424314,-63.589635,"[-54.709077, -34.139550, -70.796666, -56.382604]",296.447
Arizona,State of Arizona (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Arizona&format=json&limit=1,34.395342,-111.763275,"[31.3322135, 37.0038722, -114.8183584, -109.045131]",32.74377541028837
Arkansas,State of Arkansas (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Arkansas&format=json&limit=1,35.2048883,-92.4479108,"[33.0042455, 36.4996, -94.6178753, -89.644395]",17.38407674726631
Austria,Republic of Austria,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Austria&format=json&limit=1,47.59397,14.12456,"[46.3722987, 49.0205249, 9.5307487, 17.1607728]",20.20602972825139
Azores,Autonomous Region of the Azores (Portugal),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=Portugal&state=Azores&format=json&limit=1,37.8085564,-25.4731374,"[36.9276305, 39.726184, -31.2688154, -25.0131792]",17.50673258223673
Baleares,Balearic Islands (Spain),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=Spain&state=Balearic%20Islands&format=json&limit=1,39.613432,2.8829185,"[38.6404498, 40.0945867, 1.1572738, 4.328026]",4.610707774776186
Baltic States,"Estonia, Latvia, Lithuania",place=region,https://nominatim.openstreetmap.org/search?q=Baltic%20States&format=json&limit=1,56.917329,24.2258006,"[53.8967893, 59.9383333, 20.6009852, 28.2414937]",46.160468285123955
Belarus,Republic of Belarus,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Belarus&format=json&limit=1,53.4250605,27.6971358,"[51.2626864, 56.1722484, 23.1783313, 32.7627809]",47.05544954707523
Belgium,Kingdom of Belgium,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Belgium&format=json&limit=1,50.6402809,4.6667145,"[49.4969821, 51.550781, 2.3889137, 6.408097]",8.254594240438385
Bolivia,Plurinational State of Bolivia,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Bolivia&format=json&limit=1,-17.0568696,-64.9912286,"[-22.8982742, -9.6689438, -69.6450073, -57.453]",161.29209281091192
Brazil South,Southern Region of Brazil,place=region,https://nominatim.openstreetmap.org/search?q=Southern+Brazil&format=json&limit=1,-25.429722,-49.271944,"[-33.795067,-22.439534,-57.647478,-48.068355]",108.725
British Columbia,Province of British Columbia (Canada),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=Canada&state=British+Columbia&format=json&limit=1,55.001251,-125.002441,"[48.2245556, 60.0020692, -139.0613278, -114.0541379]",294.52251914503245
