Species,plant_name_id,introduced,native
lythrum acutangulum,2353976,[],"['France', 'Spain', 'Algeria', 'Morocco']"
lythrum alatum,2353973,[],"['Ontario', 'Colorado', 'Wyoming', 'Illinois', 'Iowa', 'Kansas', 'Minnesota', 'Missouri', 'North Dakota', 'Nebraska', 'Oklahoma', 'South Dakota', 'Wisconsin', 'Connecticut', 'Indiana', 'Maine', 'Massachusetts', 'Michigan', 'New Hampshire', 'New Jersey', 'New York', 'Ohio', 'Pennsylvania', 'Rhode I.', 'Vermont', 'West Virginia', 'Texas', 'Alabama', 'Arkansas', 'Florida', 'Georgia', 'Kentucky', 'Louisiana', 'Maryland', 'Mississippi', 'North Carolina', 'South Carolina', 'Tennessee', 'Virginia', 'District of Columbia', 'Mexico Central', 'Mexico Northeast', 'Mexico Gulf', 'Mexico Southwest', 'Mexico Southeast', 'Cuba', 'Dominican Republic', 'Haiti']"
lythrum album,2353969,[],"['Mexico Central', 'Mexico Northeast', 'Mexico Southwest']"
lythrum americanum,2353966,[],['Mexico Gulf']
lythrum anatolicum,2353965,[],['Türkey']
lythrum baeticum,2353968,[],"['Spain', 'Morocco']"
lythrum borysthenicum,2898190,['Azores'],"['Hungary', 'Corse', 'France', 'Portugal', 'Sardegna', 'Spain', 'Bulgaria', 'Greece', 'Italy', 'Kriti', 'Türkey-in-Europe', 'Central European Russia', 'East European Russia', 'South European Russia', 'Ukraine', 'Algeria', 'Morocco', 'Tunisia', 'West Siberia', 'Kazakhstan', 'Palestine', 'Türkey']"
lythrum bryantii,2353990,[],['Mexico Northwest']
lythrum californicum,2353987,[],"['Kansas', 'Oklahoma', 'Arizona', 'California', 'Nevada', 'Utah', 'New Mexico', 'Texas', 'Mexico Northeast', 'Mexico Northwest', 'Mexico Southwest']"
lythrum curtissii,2353922,[],"['Florida', 'Georgia']"
lythrum flagellare,2607788,[],['Florida']
lythrum flexuosum,2353950,[],"['Spain', 'Lebanon-Syria']"
lythrum gracile,2353956,[],"['Mexico Central', 'Mexico Northeast', 'Mexico Gulf', 'Mexico Northwest', 'Mexico Southwest', 'Mexico Southeast', 'Guatemala']"
lythrum hyrcanicum,3231554,[],['Transcaucasus']
lythrum hyssopifolia,2354167,"['Denmark', 'Great Britain', 'Ireland', 'Norway', 'Sweden', 'Baltic States', 'Cape Provinces', 'Primorye', 'Norfolk Is.', 'New Zealand North', 'British Columbia', 'Ontario', 'Oregon', 'Washington', 'Illinois', 'Maine', 'Massachusetts', 'Michigan', 'New Hampshire', 'New Jersey', 'New York', 'Ohio', 'Pennsylvania', 'Rhode I.', 'California', 'Maryland', 'Mexico Northwest', 'Ecuador', 'Brazil South', 'Argentina Northeast', 'Argentina South', 'Argentina Northwest', 'Chile Central', 'Chile North', 'Chile South', 'Juan Fernández Is.', 'Uruguay']","['Austria', 'Belgium', 'Czechia-Slovakia', 'Germany', 'Hungary', 'Poland', 'Switzerland', 'Baleares', 'Corse', 'France', 'Portugal', 'Sardegna', 'Spain', 'Albania', 'Bulgaria', 'Greece', 'Italy', 'Kriti', 'Romania', 'Sicilia', 'Türkey-in-Europe', 'NW. Balkan Pen.', 'Belarus', 'Krym', 'Central European Russia', 'East European Russia', 'South European Russia', 'Ukraine', 'Algeria', 'Egypt', 'Libya', 'Morocco', 'Tunisia', 'Azores', 'Canary Is.', 'Madeira', 'Senegal', 'Chad', 'Ethiopia', 'Socotra', 'Somalia', 'Kazakhstan', 'Kirgizstan', 'Turkmenistan', 'Tadzhikistan', 'Uzbekistan', 'North Caucasus', 'Transcaucasus', 'Cyprus', 'East Aegean Is.', 'Iran', 'Iraq', 'Palestine', 'Türkey', 'Saudi Arabia', 'Yemen', 'New South Wales', 'Queensland', 'South Australia', 'Tasmania', 'Victoria']"
lythrum intermedium,2354149,[],"['East European Russia', 'Altay', 'Buryatiya', 'Chita', 'Primorye', 'Kazakhstan', 'Kirgizstan', 'Uzbekistan', 'North Caucasus', 'Mongolia']"
lythrum junceum,2354160,"['Great Britain', 'Belgium', 'Czechia-Slovakia', 'Germany', 'California', 'Brazil South']","['Baleares', 'Corse', 'France', 'Portugal', 'Sardegna', 'Spain', 'Albania', 'Greece', 'Italy', 'Kriti', 'Sicilia', 'Türkey-in-Europe', 'Algeria', 'Egypt', 'Libya', 'Morocco', 'Tunisia', 'Azores', 'Canary Is.', 'Madeira', 'Cyprus', 'East Aegean Is.', 'Iran', 'Palestine', 'Sinai', 'Türkey', 'South Australia', 'Victoria']"
lythrum komarovii,2354158,[],['Kazakhstan']
lythrum lineare,2354156,[],"['Connecticut', 'New Jersey', 'New York', 'Texas', 'Alabama', 'Delaware', 'Florida', 'Georgia', 'Louisiana', 'Maryland', 'Mississippi', 'North Carolina', 'South Carolina', 'Virginia', 'Cuba']"
lythrum linifolium,2354151,[],"['Kazakhstan', 'Tadzhikistan', 'Uzbekistan']"
lythrum lydiae,2354193,[],['East European Russia']
lythrum maritimum,2354189,[],"['Hawaii', 'Venezuela', 'Bolivia', 'Colombia', 'Ecuador', 'Peru', 'Brazil South', 'Argentina Northeast', 'Argentina Northwest', 'Chile Central', 'Chile North', 'Juan Fernández Is.', 'Uruguay']"
lythrum nanum,2354184,[],"['Kazakhstan', 'Uzbekistan', 'Afghanistan']"
lythrum netofa,3244689,[],['Palestine']
lythrum nieuwlandii,3306155,[],['Florida']
lythrum ovalifolium,2607789,[],"['Texas', 'Mexico Northeast']"
lythrum paradoxum,2354121,[],"['New South Wales', 'Northern Territory', 'Queensland', 'South Australia', 'Victoria', 'Western Australia']"
lythrum portula,2354126,"['British Columbia', 'Oregon', 'Washington', 'Connecticut', 'Massachusetts', 'California', 'Chile Central', 'Chile South']","['Denmark', 'Finland', 'Great Britain', 'Ireland', 'Norway', 'Sweden', 'Austria', 'Belgium', 'Czechia-Slovakia', 'Germany', 'Hungary', 'Netherlands', 'Poland', 'Switzerland', 'Baleares', 'Corse', 'France', 'Portugal', 'Sardegna', 'Spain', 'Albania', 'Bulgaria', 'Greece', 'Italy', 'Kriti', 'Romania', 'Sicilia', 'Türkey-in-Europe', 'NW. Balkan Pen.', 'Belarus', 'Baltic States', 'Central European Russia', 'East European Russia', 'North European Russia', 'South European Russia', 'Northwest European Russia', 'Ukraine', 'Algeria', 'Morocco', 'Tunisia', 'Azores', 'Kazakhstan', 'Türkey']"
lythrum rotundifolium,2354141,[],"['Rwanda', 'DR Congo', 'Ethiopia', 'Sudan-South Sudan', 'Kenya', 'Tanzania', 'Uganda', 'Malawi']"
lythrum salicaria,2354139,"['Cape Provinces', 'Alaska', 'Alberta', 'British Columbia', 'Manitoba', 'Saskatchewan', 'New Brunswick', 'Newfoundland', 'Nova Scotia', 'Ontario', 'Prince Edward I.', 'Québec', 'Colorado', 'Idaho', 'Montana', 'Oregon', 'Washington', 'Wyoming', 'Illinois', 'Iowa', 'Kansas', 'Minnesota', 'Missouri', 'North Dakota', 'Nebraska', 'Oklahoma', 'South Dakota', 'Wisconsin', 'Connecticut', 'Indiana', 'Maine', 'Massachusetts', 'Michigan', 'New Hampshire', 'New Jersey', 'New York', 'Ohio', 'Pennsylvania', 'Rhode I.', 'Vermont', 'West Virginia', 'California', 'Nevada', 'Utah', 'New Mexico', 'Texas', 'Alabama', 'Arkansas', 'Delaware', 'Kentucky', 'Louisiana', 'Maryland', 'Mississippi', 'North Carolina', 'Tennessee', 'Virginia', 'District of Columbia', 'Peru', 'Chile Central', 'Chile South']","['Denmark', 'Finland', 'Great Britain', 'Ireland', 'Norway', 'Sweden', 'Austria', 'Belgium', 'Czechia-Slovakia', 'Germany', 'Hungary', 'Netherlands', 'Poland', 'Switzerland', 'Corse', 'France', 'Portugal', 'Sardegna', 'Spain', 'Albania', 'Bulgaria', 'Greece', 'Italy', 'Romania', 'Sicilia', 'Türkey-in-Europe', 'NW. Balkan Pen.', 'Belarus', 'Baltic States', 'Krym', 'Central European Russia', 'East European Russia', 'North European Russia', 'South European Russia', 'Northwest European Russia', 'Ukraine', 'Algeria', 'Morocco', 'Tunisia', 'Ethiopia', 'Altay', 'Irkutsk', 'West Siberia', 'Amur', 'Khabarovsk', 'Kuril Is.', 'Primorye', 'Sakhalin', 'Kazakhstan', 'Kirgizstan', 'Turkmenistan', 'Tadzhikistan', 'Uzbekistan', 'North Caucasus', 'Transcaucasus', 'Afghanistan', 'Iran', 'Iraq', 'Lebanon-Syria', 'Palestine', 'Türkey', 'China South-Central', 'Inner Mongolia', 'Manchuria', 'China North-Central', 'Qinghai', 'Tibet', 'Xinjiang', 'Mongolia', 'Japan', 'Korea', 'Pakistan', 'West Himalaya', 'New South Wales', 'Queensland', 'South Australia', 'Tasmania', 'Victoria']"
lythrum schelkovnikovii,2354129,[],['Transcaucasus']
lythrum silenoides,2354195,[],"['Turkmenistan', 'Tadzhikistan', 'Uzbekistan', 'Afghanistan', 'Iran', 'Iraq', 'Palestine']"
lythrum theodori,2354210,[],"['Turkmenistan', 'North Caucasus', 'Transcaucasus']"
lythrum thesioides,2354209,[],"['Hungary', 'France', 'Italy', 'South European Russia', 'Kazakhstan', 'North Caucasus', 'Afghanistan', 'Iran', 'Palestine']"
lythrum thymifolia,2354208,['Alabama'],"['Baleares', 'France', 'Portugal', 'Sardegna', 'Spain', 'Bulgaria', 'Greece', 'Italy', 'NW. Balkan Pen.', 'Krym', 'East European Russia', 'South European Russia', 'Ukraine', 'Algeria', 'Egypt', 'Libya', 'Morocco', 'Tunisia', 'Kazakhstan', 'Uzbekistan', 'North Caucasus', 'East Aegean Is.', 'Iran', 'Palestine', 'Türkey']"
lythrum tribracteatum,2354199,"['Idaho', 'Oregon', 'California', 'Nevada', 'Utah']","['Hungary', 'France', 'Portugal', 'Sardegna', 'Spain', 'Albania', 'Bulgaria', 'Greece', 'Italy', 'Romania', 'Sicilia', 'Türkey-in-Europe', 'Krym', 'East European Russia', 'South European Russia', 'Ukraine', 'Algeria', 'Egypt', 'Libya', 'Morocco', 'Tunisia', 'Kazakhstan', 'Turkmenistan', 'Tadzhikistan', 'Uzbekistan', 'North Caucasus', 'Afghanistan', 'Cyprus', 'Iran', 'Iraq', 'Palestine', 'Türkey', 'West Himalaya']"
