Species,inat_id
lythrum acutangulum,1562194
lythrum alatum,128998
lythrum album,278053
lythrum anatolicum,439864
lythrum baeticum,439865
lythrum borysthenicum,338714
lythrum bryantii,569721
lythrum californicum,60212
lythrum curtissii,165020
lythrum flagellare,130809
lythrum flexuosum,439866
lythrum gracile,285380
lythrum hyssopifolia,58934
lythrum intermedium,1535198
lythrum junceum,82891
lythrum komarovii,1535194
lythrum lineare,153430
lythrum linifolium,1535195
lythrum maritimum,165021
lythrum nanum,1535191
lythrum netofa,1520733
lythrum ovalifolium,165022
lythrum paradoxum,1448759
lythrum portula,77918
lythrum rotundifolium,1046703
lythrum salicaria,61321
lythrum silenoides,844126
lythrum thesioides,203009
lythrum thymifolia,165023
lythrum tribracteatum,77919
lythrum virgatum,165024
lythrum volgense,844122
lythrum vulneraria,278055
lythrum wilsonii,844120
