id,observed_on,quality_grade,taxon_id,taxon_name,common_name,latitude,longitude,place_guess,Plant Phenology
18820496,2015-05-22,research,447812,Fragaria viridis,green strawberry,55.4962457225,46.338057318,"Шумерлинский р-н, Чувашская Респ., Россия",
19232794,2015-05-17,research,447812,Fragaria viridis,green strawberry,53.4776239566,84.0675065896,"Первомайский р-н, Алтайский край, Россия",
29196864,2015-05-10,research,447812,Fragaria viridis,green strawberry,49.9330557008,35.3494893662,"Краснокутский район, Харьковская область, Украина",
29529948,2015-05-13,research,447812,Fragaria viridis,green strawberry,49.3359516586,35.3962570609,"Красноградский район, Харьковская область, Украина",
106676955,2015-05-19,research,447812,Fragaria viridis,green strawberry,50.3540566433,30.5710812269,"Голосеевский район, Киев, Украина, 02000",
196647266,2015-05-04,research,447812,Fragaria viridis,green strawberry,53.9160929543,36.7835057112,"Одоевский р-н, Тульская обл., Россия",
207385845,2015-05-10,research,447812,Fragaria viridis,green strawberry,52.1728586789,33.3107265619,"Novhorod-Sivers'kyi district, Chernihiv Oblast, Ukraine",
245048711,2015-05-24,research,447812,Fragaria viridis,green strawberry,53.2796321086,44.5497144987,"Мокшанский р-н, Пензенская обл., Россия",
17615622,2015-06-19,research,447812,Fragaria viridis,green strawberry,54.8837683579,99.0332351076,"Нижнеудинск, Иркутская обл., Россия",
19250683,2015-06-02,research,447812,Fragaria viridis,green strawberry,53.4762607096,84.0692183803,"Первомайский р-н, Алтайский край, Россия",
20186078,2015-06-09,research,447812,Fragaria viridis,green strawberry,55.4966249682,46.3383914727,"Шумерлинский р-н, Чувашская Респ., Россия",
20248710,2015-06-21,research,447812,Fragaria viridis,green strawberry,55.5058380888,46.3295520182,"Шумерлинский р-н, Чувашская Респ., Россия",
37089385,2015-06-21,research,447812,Fragaria viridis,green strawberry,52.2148944444,46.5772833333,"Базарно-Карабулакский р-н, Саратовская обл., Россия",
39197290,2015-06-14,research,447812,Fragaria viridis,green strawberry,52.3413467086,35.278965077,"Железногорский р-н, Курская обл., Россия",
41196588,2015-06-12,research,447812,Fragaria viridis,green strawberry,56.8068965903,39.5751669355,"Yuryev-Polsky District, Vladimir Oblast, Russia",Flowering
42220178,2015-06-27,research,447812,Fragaria viridis,green strawberry,58.1333255289,52.875262832,"Глазовский р-н, республика Удмуртия, Россия",
68714567,2015-06-22,research,447812,Fragaria viridis,green strawberry,51.5791968893,36.1024800044,"Курский р-н, Курская обл., Россия",Fruiting
104168391,2015-05-30,research,447812,Fragaria viridis,green strawberry,56.166220097,43.9774535136,"Нижегородский р-н, Нижний Новгород, Нижегородская обл., Россия",
105022780,2015-06-11,research,447812,Fragaria viridis,green strawberry,55.084119,38.915332,"Коломенский р-н, Московская обл., Россия",
107160314,2015-05-30,research,447812,Fragaria viridis,green strawberry,52.2367013889,104.397225,"Иркутский р-н, Иркутская обл., Россия",
107460918,2015-06-12,research,447812,Fragaria viridis,green strawberry,52.2359018,104.4172311,"Молодежный, Иркутская обл., Россия, 664038",
196435965,2015-05-30,research,447812,Fragaria viridis,green strawberry,54.3918465911,40.8802801743,"Рязанская обл., Россия, 391528",
209697262,2015-06-07,research,447812,Fragaria viridis,green strawberry,53.9727483,37.1887207,"Щекинский р-н, Тульская обл., Россия",
237809342,2015-06-09,research,447812,Fragaria viridis,green strawberry,49.837977323,27.0370588602,"Вербівочка, Хмельницька область, Україна, 31112",
245066096,2015-05-30,research,447812,Fragaria viridis,green strawberry,53.2766318737,44.556358749,"Мокшанский р-н, Пензенская обл., Россия",
245209419,2015-06-22,research,447812,Fragaria viridis,green strawberry,53.281456827,44.5523496259,"Мокшанский р-н, Пензенская обл., Россия",
20205444,2015-07-05,research,447812,Fragaria viridis,green strawberry,55.4854283196,42.0528228274,"Меленковский р-н, Владимирская обл., Россия",
