observation_id,species,term,value,date,latitude,longitude
1427623,Achillea millefolium,Plant Phenology,Flower Budding,2015-04-26,37.467934,-122.276485
1463899,Achillea millefolium,Plant Phenology,Flowering,2015-05-07,47.62652267,-122.33884634
1471148,Achillea millefolium,Plant Phenology,Flowering,2015-05-09,48.183973,-123.105107
1529650,Achillea millefolium,Plant Phenology,Flowering,2015-05-19,48.3084916667,-120.6569283333
1539328,Achillea millefolium,Plant Phenology,Flowering,2015-05-24,37.935061,-122.217565
1543526,Achillea millefolium,Plant Phenology,Flowering,2015-05-25,38.980534,-77.829388
1601817,Achillea millefolium,Plant Phenology,Flowering,2015-06-05,48.204723,-122.705478
1619231,Achillea millefolium,Plant Phenology,Flowering,2015-06-10,36.08964483,-81.8356839
1622400,Achillea millefolium,Plant Phenology,Flowering,2015-06-12,44.51269,-73.173086
1635349,Achillea millefolium,Plant Phenology,Flowering,2015-06-14,44.73862,-91.863681
1645021,Achillea millefolium,Plant Phenology,Flowering,2015-06-16,42.3835633333,-71.1473611667
1677543,Achillea millefolium,Plant Phenology,Flowering,2015-06-13,33.340054,-116.901411
1700372,Achillea millefolium,Plant Phenology,Flowering,2015-06-25,41.80489,-72.330861
1713611,Achillea millefolium,Plant Phenology,Flowering,2015-06-15,44.367797,-72.511431
1717126,Achillea millefolium,Plant Phenology,Flowering,2015-06-29,44.862477,-91.91771
1724914,Achillea millefolium,Plant Phenology,Flowering,2015-07-04,19.2570197222,-97.9279247222
1737142,Achillea millefolium,Plant Phenology,Flowering,2015-07-08,44.73158,-91.86632
1742582,Achillea millefolium,Plant Phenology,Flowering,2015-07-10,60.4647333333,-151.072505
1772257,Achillea millefolium,Plant Phenology,Flowering,2015-07-15,43.161233,-88.888857
1781742,Achillea millefolium,Plant Phenology,Flowering,2015-07-18,43.700062,-73.222493
1907550,Achillea millefolium,Plant Phenology,Flowering,2015-07-15,44.36789,-72.4373166667
2655825,Achillea millefolium,Plant Phenology,Flowering,2015-05-15,37.2059364167,-121.9850921389
6622355,Achillea millefolium,Plant Phenology,Flowering,2015-07-19,46.2910281765,-85.9455299907
8828794,Achillea millefolium,Plant Phenology,Flowering,2015-06-05,47.368202,-122.441568
9981088,Achillea millefolium,Plant Phenology,Flowering,2015-06-15,44.4646245989,-77.2339412155
18669029,Achillea millefolium,Plant Phenology,Flowering,2015-06-09,41.6078009671,-87.6895146888
19648289,Achillea millefolium,Plant Phenology,Flowering,2015-07-07,52.208159997,-81.6960884218
21012661,Achillea millefolium,Plant Phenology,Flowering,2015-06-18,45.4081585865,-75.7458818258
25192583,Achillea millefolium,Plant Phenology,Flowering,2015-07-03,43.997842,-77.701786
38284522,Achillea millefolium,Plant Phenology,Flowering,2015-07-10,46.512547,-84.295265
38350852,Achillea millefolium,Plant Phenology,Flowering,2015-07-15,46.5370210181,-84.2962570523
38649555,Achillea millefolium,Plant Phenology,Flowering,2015-07-11,46.517887,-84.283614
136089998,Achillea millefolium,Plant Phenology,Flowering,2015-06-09,47.3731432096,-120.4731493491
150698676,Achillea millefolium,Plant Phenology,Flower Budding,2015-06-27,44.2650319967,-124.1104817898
200820048,Achillea millefolium,Plant Phenology,Flowering,2015-06-19,44.6136092812,-73.1013147246
244823748,Achillea millefolium,Plant Phenology,Flowering,2015-07-18,46.8772557,-96.5788187
259469087,Achillea millefolium,Plant Phenology,Flowering,2015-07-05,44.3252,-89.2020366667
1815453,Achillea millefolium,Plant Phenology,Flowering,2015-07-29,47.34436,-122.009859
1816270,Achillea millefolium,Plant Phenology,Flowering,2015-07-23,44.473854,-73.187139
1820983,Achillea millefolium,Plant Phenology,Flowering,2015-07-31,46.793151,-121.727252
1850068,Achillea millefolium,Plant Phenology,Flowering,2015-08-09,46.20307222,-61.37060766
1972089,Achillea millefolium,Plant Phenology,Flowering,2015-09-08,48.927746,-122.742879
1975885,Achillea millefolium,Plant Phenology,Flowering,2015-09-10,48.6833,-121.000671
2003018,Achillea millefolium,Plant Phenology,Flowering,2015-09-04,44.3827616667,-72.4893233333
2018844,Achillea millefolium,Plant Phenology,Fruiting,2015-09-23,44.5642566667,-73.3104616667
18687009,Achillea millefolium borealis,Plant Phenology,Flowering,2015-07-23,44.8727258,-79.8695976
79732434,Achillea millefolium,Plant Phenology,Flowering,2015-07-20,47.5505182219,-122.1241664786
117410407,Achillea millefolium,Plant Phenology,Flowering,2015-08-23,44.2778383333,-122.144695
260514117,Achillea millefolium,Plant Phenology,Flower Budding,2015-07-21,38.8734989565,-78.1488347368
2343236,Achillea millefolium,Plant Phenology,Flowering,2015-11-02,43.618933,-72.994912
2369706,Achillea millefolium,Plant Phenology,Flowering,2015-11-10,47.655692,-122.293139
2400432,Achillea millefolium,Plant Phenology,Flowering,2015-11-19,47.170809,-122.528907
2880210,Achillea millefolium,Plant Phenology,Flower Budding,2016-04-03,37.46344,-122.278392
2880935,Achillea millefolium,Plant Phenology,Flower Budding,2016-04-04,37.4695783333,-122.27652
2903652,Achillea millefolium,Plant Phenology,Flowering,2016-02-26,37.2063522222,-121.9860381944
2982926,Achillea millefolium,Plant Phenology,Flowering,2016-04-20,39.3369827466,-123.0915110653
2984609,Achillea millefolium,Plant Phenology,Flowering,2016-04-20,37.4727466667,-122.27993
3043077,Achillea millefolium,Plant Phenology,Flower Budding,2016-04-27,37.4732812029,-122.2788554617
3115407,Achillea millefolium,Plant Phenology,Flowering,2016-05-06,45.62086473,-122.66596371
3115946,Achillea millefolium,Plant Phenology,Flowering,2016-05-06,48.3154633333,-120.6610333333
3181027,Achillea millefolium,Plant Phenology,Flowering,2016-05-13,39.20208,-121.19622
3204880,Achillea millefolium,Plant Phenology,No Evidence of Flowering,2016-05-18,43.6133376277,-72.5423245412
3216851,Achillea millefolium,Plant Phenology,Flowering,2016-05-17,45.6307417811,-121.354668662
3216857,Achillea millefolium,Plant Phenology,Flowering,2016-05-19,45.684177,-121.303954
3216895,Achillea millefolium,Plant Phenology,Flowering,2016-05-19,45.684477,-121.303525
3216906,Achillea millefolium,Plant Phenology,Flowering,2016-05-19,45.684162,-121.302527
3217050,Achillea millefolium,Plant Phenology,Flowering,2016-05-18,45.688122,-121.304897
3217059,Achillea millefolium,Plant Phenology,No Evidence of Flowering,2016-05-19,45.688122,-121.304897
3217449,Achillea millefolium,Plant Phenology,Flowering,2016-05-19,45.683278,-121.300392
3217473,Achillea millefolium,Plant Phenology,Flowering,2016-05-19,45.682918,-121.302452
3232990,Achillea millefolium,Plant Phenology,Flower Budding,2016-05-20,48.0996054132,-123.4253662919
3238231,Achillea millefolium,Plant Phenology,Flowering,2016-05-20,48.32510532,-120.68470302
3251117,Achillea millefolium,Plant Phenology,Flowering,2016-05-20,48.2047127188,-122.7055411042
3255987,Achillea millefolium,Plant Phenology,Flowering,2016-05-21,48.33608725,-120.70051218
3255990,Achillea millefolium,Plant Phenology,Flowering,2016-05-21,48.33647662,-120.70009607
3256193,Achillea millefolium,Plant Phenology,Flowering,2016-05-21,48.1971030822,-122.7192341165
3282079,Achillea millefolium,Plant Phenology,Flowering,2016-05-21,45.620964,-122.665902
3299810,Achillea millefolium,Plant Phenology,Flowering,2016-05-18,45.684477,-121.301744
3299893,Achillea millefolium,Plant Phenology,Flowering,2016-05-19,45.67908,-121.300907
3299952,Achillea millefolium,Plant Phenology,Flowering,2016-05-19,45.683758,-121.302538
