observation_id,species,term,value,date,latitude,longitude
1463354,Trifolium pratense,Plant Phenology,Flowering,2015-05-07,47.6251815,-122.34258649
1506778,Trifolium pratense,Plant Phenology,Flowering,2015-05-18,39.22512544,-76.74280884
1516022,Trifolium pratense,Plant Phenology,Flowering,2015-05-20,39.225498,-76.746717
1520118,Trifolium pratense,Plant Phenology,Flowering,2015-05-21,39.1887651,-76.7052722
1526040,Trifolium pratense,Plant Phenology,Flowering,2015-05-22,38.921175,-77.03613
1549194,Trifolium pratense,Plant Phenology,Flowering,2015-05-26,41.0559998,-73.5464872
1571230,Trifolium pratense,Plant Phenology,Flowering,2015-05-31,47.672462,-122.308037
1575480,Trifolium pratense,Plant Phenology,Flowering,2015-06-01,44.519287,-73.210631
1611079,Trifolium pratense,Plant Phenology,Flowering,2015-05-20,47.530413,-122.396599
1611854,Trifolium pratense,Plant Phenology,Flowering,2015-06-09,47.65584,-122.293065
1622398,Trifolium pratense,Plant Phenology,Flowering,2015-06-12,44.512659,-73.173423
1642489,Trifolium pratense,Plant Phenology,Flowering,2015-06-16,42.408095,-71.325027
1680833,Trifolium pratense,Plant Phenology,Flowering,2015-06-08,41.31935242,-73.10952969
1736981,Trifolium pratense,Plant Phenology,Flowering,2015-07-05,42.983076,-72.521919
1751023,Trifolium pratense,Plant Phenology,Flowering,2015-07-12,42.664656,-73.258166
1893030,Trifolium pratense,Plant Phenology,Flowering,2015-07-03,44.317635,-72.4782866667
1893033,Trifolium pratense,Plant Phenology,Flowering,2015-07-03,44.3171266667,-72.4783683333
8912327,Trifolium pratense,Plant Phenology,Flowering,2015-07-04,44.887149,-72.692194
15981547,Trifolium pratense,Plant Phenology,Flowering,2015-07-02,43.8999699902,-103.775088831
20842242,Trifolium pratense,Plant Phenology,Flowering,2015-06-19,45.19826325,-75.8226862035
38234550,Trifolium pratense,Plant Phenology,Flowering,2015-06-22,46.522067,-84.279767
38272702,Trifolium pratense,Plant Phenology,Flowering,2015-07-01,46.5201607442,-84.2829914306
38296181,Trifolium pratense,Plant Phenology,Flowering,2015-07-07,46.529763,-83.687241
38296183,Trifolium pratense,Plant Phenology,Flowering,2015-07-07,46.529763,-83.687241
38296219,Trifolium pratense,Plant Phenology,Flowering,2015-07-08,46.295439,-84.081618
38343256,Trifolium pratense,Plant Phenology,Flowering,2015-07-12,46.5342417805,-84.294321975
38343631,Trifolium pratense,Plant Phenology,Flowering,2015-07-14,46.509303,-84.318957
38360907,Trifolium pratense,Plant Phenology,Flowering,2015-07-19,46.5202920724,-84.2829460745
38541347,Trifolium pratense,Plant Phenology,Flowering,2015-06-21,46.521184,-84.280841
38544717,Trifolium pratense,Plant Phenology,Flowering,2015-06-19,46.52054,-84.283341
38545742,Trifolium pratense,Plant Phenology,Flowering,2015-06-18,46.5058974475,-84.3277282669
40195984,Trifolium pratense,Plant Phenology,Flowering,2015-05-30,40.4617678053,-79.843030029
40681262,Trifolium pratense,Plant Phenology,Flowering,2015-06-22,39.3730023812,-85.7192249873
41745276,Trifolium pratense,Plant Phenology,Flowering,2015-06-27,49.0364666667,-113.9122216667
41799765,Trifolium pratense,Plant Phenology,Flowering,2015-06-03,42.9585039081,-83.8161346972
148173403,Trifolium pratense,Plant Phenology,Flowering,2015-07-05,46.509923,-84.307586
200817692,Trifolium pratense,Plant Phenology,Flowering,2015-06-14,44.6110125,-73.1008963
257402120,Trifolium pratense,Plant Phenology,Flowering,2015-07-05,44.3259233333,-89.2018933333
