id,observed_on,quality_grade,taxon_id,taxon_name,common_name,latitude,longitude,place_guess,Plant Phenology
1463354,2015-05-07,research,51875,Trifolium pratense,Red Clover,47.6251815,-122.34258649,,Flowering
1506778,2015-05-18,research,51875,Trifolium pratense,Red Clover,39.22512544,-76.74280884,"Howard County, US-MD, US",Flowering
1516022,2015-05-20,research,51875,Trifolium pratense,Red Clover,39.225498,-76.746717,"6555 Belmont Woods Rd, Ilchester, MD, US",Flowering
1520118,2015-05-21,research,51875,Trifolium pratense,Red Clover,39.1887651,-76.7052722,"Anne Arundel County, US-MD, US",Flowering
1526040,2015-05-22,research,51875,Trifolium pratense,Red Clover,38.921175,-77.03613,"2401–2407 16th St NW, Washington, DC, US",Flowering
1549194,2015-05-26,research,51875,Trifolium pratense,Red Clover,41.0559998,-73.5464872,"Fairfield County, US-CT, US",Flowering
1571230,2015-05-31,research,51875,Trifolium pratense,Red Clover,47.672462,-122.308037,ravenna park,Flowering
1575480,2015-06-01,research,51875,Trifolium pratense,Red Clover,44.519287,-73.210631,Pine Island Road,Flowering
1611079,2015-05-20,research,51875,Trifolium pratense,Red Clover,47.530413,-122.396599,Lincoln Park Seattle,Flowering
1611854,2015-06-09,research,51875,Trifolium pratense,Red Clover,47.65584,-122.293065,union bay natural area,Flowering
1622398,2015-06-12,research,51875,Trifolium pratense,Red Clover,44.512659,-73.173423,Sunny Hollow Natural Area,Flowering
1642489,2015-06-16,research,51875,Trifolium pratense,Red Clover,42.408095,-71.325027,"208 S Great Rd, Lincoln, MA, US",Flowering
1680833,2015-06-08,research,51875,Trifolium pratense,Red Clover,41.31935242,-73.10952969,"Shelton Lakes Recreation Path, Shelton, CT",Flowering
1736981,2015-07-05,research,51875,Trifolium pratense,Red Clover,42.983076,-72.521919,"Sand Hill Road, Putney, Vermont",Flowering
1751023,2015-07-12,research,51875,Trifolium pratense,Red Clover,42.664656,-73.258166,"Berkshire County, US-MA, US",Flowering
1893030,2015-07-03,research,51875,Trifolium pratense,Red Clover,44.317635,-72.4782866667,"Washington, Vermont, United States",Flowering
1893033,2015-07-03,research,51875,Trifolium pratense,Red Clover,44.3171266667,-72.4783683333,"Washington, Vermont, United States",Flowering
8912327,2015-07-04,research,51875,Trifolium pratense,Red Clover,44.887149,-72.692194,"Enosburg Town Forest, Enosburg, VT, USA",Flowering
15981547,2015-07-02,research,51875,Trifolium pratense,Red Clover,43.8999699902,-103.775088831,"Pennington County, SD, USA",Flowering
20842242,2015-06-19,research,51875,Trifolium pratense,Red Clover,45.19826325,-75.8226862035,"Richmond Sewage Lagoons, Ottawa, ON, Canada",Flowering
38234550,2015-06-22,research,51875,Trifolium pratense,Red Clover,46.522067,-84.279767,"Sault Ste. Marie, ON, Canada",Flowering
38272702,2015-07-01,research,51875,Trifolium pratense,Red Clover,46.5201607442,-84.2829914306,"vacant lot (now snowdump for city) Shannon Road - Sault Ste. Marie, ON, Canada",Flowering
38296181,2015-07-07,research,51875,Trifolium pratense,Red Clover,46.529763,-83.687241,"Pine and Wellington Street area , ON, Canada",Flowering
38296183,2015-07-07,research,51875,Trifolium pratense,Red Clover,46.529763,-83.687241,"Petauguin Lake Road - Morin Township - Algoma District, ON, Canada",Flowering
38296219,2015-07-08,research,51875,Trifolium pratense,Red Clover,46.295439,-84.081618,"TO BE ADJUSTED - Boyles Side Road -- St Joseph Island - St. Joseph Township, Algoma District, ON, Canada",Flowering
38343256,2015-07-12,research,51875,Trifolium pratense,Red Clover,46.5342417805,-84.294321975,"Sault Ste. Marie, ON, Canada",Flowering
38343631,2015-07-14,research,51875,Trifolium pratense,Red Clover,46.509303,-84.318957,"railway corridor Church Street - Sault Ste. Marie, ON, Canada",Flowering
38360907,2015-07-19,research,51875,Trifolium pratense,Red Clover,46.5202920724,-84.2829460745,"vacant lot Shannon Road,Sault Ste. Marie, ON, Canada",Flowering
38541347,2015-06-21,research,51875,Trifolium pratense,Red Clover,46.521184,-84.280841,"vacant lot McNabb Street near railway tracks  - Sault Ste. Marie, ON, Canada",Flowering
38544717,2015-06-19,research,51875,Trifolium pratense,Red Clover,46.52054,-84.283341,"Shannon Road including vacant lot south of McNabb Street  - Sault Ste. Marie, ON, Canada",Flowering
38545742,2015-06-18,research,51875,Trifolium pratense,Red Clover,46.5058974475,-84.3277282669,"Bay Street - Sault Ste. Marie, ON, Canada",Flowering
40195984,2015-05-30,research,51875,Trifolium pratense,Red Clover,40.4617678053,-79.843030029,"Pennsylvania, US",Flowering
40681262,2015-06-22,research,51875,Trifolium pratense,Red Clover,39.3730023812,-85.7192249873,"S County Road 350 E, Flat Rock, IN, US",Flowering
41745276,2015-06-27,research,51875,Trifolium pratense,Red Clover,49.0364666667,-113.9122216667,"Division No. 3, AB, Canada",Flowering
41799765,2015-06-03,research,51875,Trifolium pratense,Red Clover,42.9585039081,-83.8161346972,"Michigan, US",Flowering
148173403,2015-07-05,research,51875,Trifolium pratense,Red Clover,46.509923,-84.307586,"Sault Ste. Marie, ON, Canada",Flowering
200817692,2015-06-14,research,51875,Trifolium pratense,Red Clover,44.6110125,-73.1008963,"431 E Rd, Milton, VT 05468, USA",Flowering
257402120,2015-07-05,research,51875,Trifolium pratense,Red Clover,44.3259233333,-89.2018933333,"Waupaca County, WI, USA",Flowering
1819748,2015-07-30,research,51875,Trifolium pratense,Red Clover,60.462693,-151.07669,"Soldotna, Headquarters Lake floatplane dock access road",Flowering
1850066,2015-08-09,research,51875,Trifolium pratense,Red Clover,46.20202046,-61.37000284,"inverness, ns",Flowering
1855848,2015-08-12,research,51875,Trifolium pratense,Red Clover,44.664407,-73.345943,"499 W Shore Rd, South Hero, VT, US",Flowering
1894728,2015-08-26,research,51875,Trifolium pratense,Red Clover,44.069676,-73.355978,"Dead Creek WMA, Addison, Vermont",Flowering
1915849,2015-08-31,research,51875,Trifolium pratense,Red Clover,43.583008,-110.756973,"Wyoming, United States",Flowering
1930342,2015-08-13,research,51875,Trifolium pratense,Red Clover,44.4604333333,-72.3263166667,"Washington, Vermont, United States",Flowering
1932936,2015-08-13,research,51875,Trifolium pratense,Red Clover,44.4626916667,-72.3444716667,"Washington, Vermont, United States",Flowering
1935009,2015-09-10,research,51875,Trifolium pratense,Red Clover,44.475871,-73.185222,Centennial Woods,Flowering
1940452,2015-09-12,research,51875,Trifolium pratense,Red Clover,42.7578764083,-70.9439298292,"Essex County, US-MA, US",Flowering
1946180,2015-09-13,research,51875,Trifolium pratense,Red Clover,36.225129,-81.64275,"250 Brookshire Rd, Boone, NC, US",Flowering
1950526,2015-08-22,research,51875,Trifolium pratense,Red Clover,43.1217016667,-71.6092266667,"Merrimack, New Hampshire, United States",Flowering
1956878,2015-09-13,research,51875,Trifolium pratense,Red Clover,44.498151,-73.170062,"Gilbrook Natural Area, Winooski, VT",Flowering
2003265,2015-09-04,research,51875,Trifolium pratense,Red Clover,44.3844866667,-72.488605,"Washington, Vermont, United States",Flowering
2005275,2015-09-26,research,51875,Trifolium pratense,Red Clover,44.335242,-69.177162,"Searsmont, Maine",Flowering
2006862,2015-09-06,research,51875,Trifolium pratense,Red Clover,44.329355,-72.5028916667,"Washington, Vermont, United States",Flowering
2098152,2015-10-11,research,51875,Trifolium pratense,Red Clover,44.665901,-73.339508,"19 Eagle Camp Rd, South Hero, VT, US",Flowering
2101472,2015-09-23,research,51875,Trifolium pratense,Red Clover,41.714154,-87.885647,"Maple Lake, Pulaski Woods, Illinois, USA",Flowering
2754514,2015-08-31,research,51875,Trifolium pratense,Red Clover,38.9916383333,-76.9610666667,"8401–8407 Rambler Dr, Adelphi, MD, US",Fruiting
11471256,2015-08-19,research,51875,Trifolium pratense,Red Clover,42.0404470671,-75.1912179085,"Delaware County, US-NY, US",Flowering
31082469,2015-09-21,research,51875,Trifolium pratense,Red Clover,44.4830093513,-72.9872473654,"Chittenden County, VT, USA",Flowering
39201379,2015-08-22,research,51875,Trifolium pratense,Red Clover,46.520982,-84.282624,"vancant lot McNabb Street - near railway corridor - Sault Ste. Marie, ON, Canada",Flowering
39201409,2015-08-03,research,51875,Trifolium pratense,Red Clover,46.521967,-84.279412,"vacant lot along McNabb Street, Sault Ste. Marie, ON, Canada",Flowering
58096786,2015-09-19,research,51875,Trifolium pratense,Red Clover,43.1970133333,-77.87358,"Gallup Rd, Spencerport, NY, US",Flowering
68421010,2015-07-22,research,51875,Trifolium pratense,Red Clover,50.9282222222,-100.0431111111,"Kippan's Mill Trail, Riding Mountain NP, MB, Canada",Flowering
69776685,2015-10-04,research,51875,Trifolium pratense,Red Clover,39.2727482733,-84.4834477659,"Ohio, US",Flowering
110976864,2015-08-27,research,51875,Trifolium pratense,Red Clover,47.019281,-91.67328,"Two Harbors, Minnesota, United States",Flowering
128071549,2015-10-08,research,51875,Trifolium pratense,Red Clover,36.8084718488,-81.4161933912,"Virginia, US",Flowering
2301989,2015-10-23,research,51875,Trifolium pratense,Red Clover,39.335519,-82.016302,"Strouds Run State Park, Athens, OH, US",Flowering
2349981,2015-10-22,research,51875,Trifolium pratense,Red Clover,36.5111716667,-75.9383466667,"Currituck, North Carolina, United States",Flowering
2394211,2015-11-08,research,51875,Trifolium pratense,Red Clover,43.2712783333,-72.4575216667,"Windsor, Vermont, United States",Flowering
2395228,2015-11-16,research,51875,Trifolium pratense,Red Clover,44.253985,-72.5718216667,"Washington, Vermont, United States",Flowering
2542754,2016-01-02,research,51875,Trifolium pratense,Red Clover,39.1643714486,-76.9567936566,"Schooley Mill Park, Highland, MD, US",No Evidence of Flowering
69829181,2015-10-30,research,51875,Trifolium pratense,Red Clover,39.2432807297,-84.4606703132,"Ohio, US",Flowering
3091338,2016-05-03,research,51875,Trifolium pratense,Red Clover,36.8540736345,-80.3340605715,"Virginia, US",Flowering
3091758,2016-05-02,research,51875,Trifolium pratense,Red Clover,45.5442466667,-122.5765533333,"8400–8498 NE Siskiyou St, Portland, OR, US",Flowering
3206728,2016-05-18,research,51875,Trifolium pratense,Red Clover,34.9472993321,-88.9074131535,"Commerce Ave, Walnut, MS, US",Flowering
3214655,2016-05-19,research,51875,Trifolium pratense,Red Clover,38.915550923,-77.0933636092,"St Patricks Episcopal School, Washington, DC, US",Flowering
3214753,2016-05-19,research,51875,Trifolium pratense,Red Clover,38.9155901922,-77.0930985735,"District of Columbia County, US-DC, US",Flowering
3214908,2016-05-19,research,51875,Trifolium pratense,Red Clover,38.9482623,-77.0180781,"District of Columbia County, US-DC, US",Flowering
3214909,2016-05-19,research,51875,Trifolium pratense,Red Clover,38.9482623,-77.0180781,"430 Decatur St NW Washington, DC 20011",Flowering
3214994,2016-05-19,research,51875,Trifolium pratense,Red Clover,38.9484421,-77.0175382,"District of Columbia County, US-DC, US",Flowering
3215298,2016-05-19,research,51875,Trifolium pratense,Red Clover,38.9483211888,-77.0176823997,"Barnard Elementary School, Washington, DC, US",Flowering
3220406,2016-05-19,research,51875,Trifolium pratense,Red Clover,38.9482831,-77.0181079,"430 Decatur St NW Washington, DC 20011",Flowering
3220407,2016-05-19,research,51875,Trifolium pratense,Red Clover,38.9482625,-77.0180705,"430 Decatur St NW Washington, DC 20011",Flowering
3223759,2016-05-20,research,51875,Trifolium pratense,Red Clover,39.9341798947,-77.5910334104,"659–921 Ragged Edge Rd, Greene, PA, US",Flowering
3258112,2016-05-21,research,51875,Trifolium pratense,Red Clover,45.6225602422,-122.6676269901,"Fort Vancouver National Historic Site, Vancouver, WA, US",Flowering
3261061,2016-05-21,research,51875,Trifolium pratense,Red Clover,39.7619815732,-75.6816653373,United States,Flowering
3306969,2016-05-26,research,51875,Trifolium pratense,Red Clover,41.1487551313,-73.9700365719,"151 Congers Rd, Clarkstown, NY, US",Flowering
3322936,2016-05-28,research,51875,Trifolium pratense,Red Clover,44.3297605589,-72.5754473918,"05602, Middlesex, VT, US",Flowering
3332512,2016-05-29,research,51875,Trifolium pratense,Red Clover,43.79549111,-72.24777399,"Thetford, VT",Flowering
3333733,2016-05-29,research,51875,Trifolium pratense,Red Clover,41.5639083333,-87.9792416667,"14735 W Bruce Rd, Homer Glen, IL, US",Flowering
3339928,2016-05-28,research,51875,Trifolium pratense,Red Clover,37.1293916667,-93.2384866667,"US-60 E, Springfield, MO, US",Flowering
3356719,2016-05-31,research,51875,Trifolium pratense,Red Clover,41.962809,-87.631781,"Cook County, US-IL, US",Flowering
3361998,2016-06-01,research,51875,Trifolium pratense,Red Clover,46.243962,-123.426504,Lower Elochoman Valley,Flowering
3363269,2016-06-01,research,51875,Trifolium pratense,Red Clover,42.9769444444,-73.8422222222,"Zim Smith Trail, Town of Ballston, NY",Flowering
3367402,2016-06-02,research,51875,Trifolium pratense,Red Clover,43.68975092,-72.32206166,"Dothan Brook Trails, Hartford, VT",Flowering
3387546,2016-06-05,research,51875,Trifolium pratense,Red Clover,43.32555845,-72.51365598,"Windsor County, US-VT, US",Flowering
3394496,2016-06-06,research,51875,Trifolium pratense,Red Clover,43.77820696,-72.21041,"Thetford, VT",Flowering
3411569,2016-06-08,research,51875,Trifolium pratense,Red Clover,43.82532245,-72.28683026,"Thetford, VT",Flowering
3415008,2016-05-28,research,51875,Trifolium pratense,Red Clover,41.815098,-88.090117,morton arboretum,Flowering
3423169,2016-06-09,research,51875,Trifolium pratense,Red Clover,43.68877547,-72.3261394,"Dothan Brook Trails, Hartford, VT",Flowering
3428204,2016-06-10,research,51875,Trifolium pratense,Red Clover,40.5861735251,-73.8869839814,"Floyd Bennett Field, New York, NY, US",Flowering
3455711,2016-06-14,research,51875,Trifolium pratense,Red Clover,43.82108847,-72.19169018,"Thetford, VT",Flowering
3456337,2016-06-12,research,51875,Trifolium pratense,Red Clover,44.3531288761,-68.3458194793,"1–99 Farnhams Way, Mount Desert, ME, US",Flowering
3476937,2016-06-18,research,51875,Trifolium pratense,Red Clover,40.791592,-73.916449,"New York County, US-NY, US",Flowering
3480948,2016-06-10,research,51875,Trifolium pratense,Red Clover,41.960083,-88.054942,"Spring Creek Reservoir, Bloomingdale",Flowering
3482569,2016-06-19,research,51875,Trifolium pratense,Red Clover,44.3246348156,-72.510551177,"Washington County, US-VT, US",Flowering
3489400,2016-06-20,research,51875,Trifolium pratense,Red Clover,41.69567444,-69.98912851,"Chatham, MA",Flowering
3495287,2016-06-20,research,51875,Trifolium pratense,Red Clover,41.3721,-88.1316305,"Midewin National Tallgrass Prairie, Wilmington, IL, US",Flowering
3496636,2016-06-21,research,51875,Trifolium pratense,Red Clover,43.83879257,-72.20388322,"Thetford, VT",Flowering
3502647,2016-06-22,research,51875,Trifolium pratense,Red Clover,43.8685993,-72.18227894,"Thetford, VT",Flowering
3508214,2016-06-23,research,51875,Trifolium pratense,Red Clover,43.85858006,-72.18873457,"Thetford, VT",Flowering
3511274,2016-06-23,research,51875,Trifolium pratense,Red Clover,39.3131916667,-77.2818533333,"2900–2994 Averley Rd, Ijamsville, MD, US",Flowering
3526578,2016-06-26,research,51875,Trifolium pratense,Red Clover,43.8046599,-72.19145581,"Thetford, VT",Flowering
3532758,2016-06-27,research,51875,Trifolium pratense,Red Clover,43.82210472,-72.27161698,"Thetford, VT",Flowering
3580963,2016-06-30,research,51875,Trifolium pratense,Red Clover,41.7192733333,-88.2974388889,"Kendall, Illinois, United States",Flowering
3598213,2016-07-02,research,51875,Trifolium pratense,Red Clover,41.8829783333,-89.3435833333,"61031, Franklin Grove, IL, US",Flowering
3626786,2016-06-29,research,51875,Trifolium pratense,Red Clover,35.745807,-82.277223,Mt. Mitchell State Park,Flowering
3626882,2016-07-05,research,51875,Trifolium pratense,Red Clover,43.78047377,-72.21013877,"Thetford, VT",Flowering
