observation_id,species,term,value,date,latitude,longitude
18820496,Fragaria viridis,Plant Phenology,,2015-05-22,55.4962457225,46.338057318
19232794,Fragaria viridis,Plant Phenology,,2015-05-17,53.4776239566,84.0675065896
29196864,Fragaria viridis,Plant Phenology,,2015-05-10,49.9330557008,35.3494893662
29529948,Fragaria viridis,Plant Phenology,,2015-05-13,49.3359516586,35.3962570609
106676955,Fragaria viridis,Plant Phenology,,2015-05-19,50.3540566433,30.5710812269
196647266,Fragaria viridis,Plant Phenology,,2015-05-04,53.9160929543,36.7835057112
207385845,Fragaria viridis,Plant Phenology,,2015-05-10,52.1728586789,33.3107265619
245048711,Fragaria viridis,Plant Phenology,,2015-05-24,53.2796321086,44.5497144987
17615622,Fragaria viridis,Plant Phenology,,2015-06-19,54.8837683579,99.0332351076
19250683,Fragaria viridis,Plant Phenology,,2015-06-02,53.4762607096,84.0692183803
20186078,Fragaria viridis,Plant Phenology,,2015-06-09,55.4966249682,46.3383914727
20248710,Fragaria viridis,Plant Phenology,,2015-06-21,55.5058380888,46.3295520182
37089385,Fragaria viridis,Plant Phenology,,2015-06-21,52.2148944444,46.5772833333
39197290,Fragaria viridis,Plant Phenology,,2015-06-14,52.3413467086,35.278965077
41196588,Fragaria viridis,Plant Phenology,Flowering,2015-06-12,56.8068965903,39.5751669355
42220178,Fragaria viridis,Plant Phenology,,2015-06-27,58.1333255289,52.875262832
68714567,Fragaria viridis,Plant Phenology,Fruiting,2015-06-22,51.5791968893,36.1024800044
104168391,Fragaria viridis,Plant Phenology,,2015-05-30,56.166220097,43.9774535136
105022780,Fragaria viridis,Plant Phenology,,2015-06-11,55.084119,38.915332
107160314,Fragaria viridis,Plant Phenology,,2015-05-30,52.2367013889,104.397225
107460918,Fragaria viridis,Plant Phenology,,2015-06-12,52.2359018,104.4172311
196435965,Fragaria viridis,Plant Phenology,,2015-05-30,54.3918465911,40.8802801743
209697262,Fragaria viridis,Plant Phenology,,2015-06-07,53.9727483,37.1887207
237809342,Fragaria viridis,Plant Phenology,,2015-06-09,49.837977323,27.0370588602
245066096,Fragaria viridis,Plant Phenology,,2015-05-30,53.2766318737,44.556358749
245209419,Fragaria viridis,Plant Phenology,,2015-06-22,53.281456827,44.5523496259
