id,observed_on,quality_grade,taxon_id,taxon_name,common_name,latitude,longitude,place_guess,Plant Phenology
1427623,2015-04-26,research,52821,Achillea millefolium,common yarrow,37.467934,-122.276485,"Edgewood Park & Natural Preserve, Redwood City, CA, US",Flower Budding
1463899,2015-05-07,research,52821,Achillea millefolium,common yarrow,47.62652267,-122.33884634,,Flowering
1471148,2015-05-09,research,52821,Achillea millefolium,common yarrow,48.183973,-123.105107,"Dungeness spit, wa",Flowering
1529650,2015-05-19,research,52821,Achillea millefolium,common yarrow,48.3084916667,-120.6569283333,"Lake Chelan National Recreation Area, Stehekin, WA, US",Flowering
1539328,2015-05-24,research,52821,Achillea millefolium,common yarrow,37.935061,-122.217565,"94553, Martinez, CA, US",Flowering
1543526,2015-05-25,research,52821,Achillea millefolium,common yarrow,38.980534,-77.829388,"7605–7629 John S Mosby Hwy, Upperville, VA, US",Flowering
1601817,2015-06-05,research,52821,Achillea millefolium,common yarrow,48.204723,-122.705478,"Ebeys Landing Natl Hist Res, Coupeville, WA, US",Flowering
1619231,2015-06-10,research,52821,Achillea millefolium,common yarrow,36.08964483,-81.8356839,Butterfly Garden,Flowering
1622400,2015-06-12,research,52821,Achillea millefolium,common yarrow,44.51269,-73.173086,Sunny Hollow Natural Area,Flowering
1635349,2015-06-14,research,52821,Achillea millefolium,common yarrow,44.73862,-91.863681,Dunnville Barrens State Natural Area,Flowering
1645021,2015-06-16,research,52821,Achillea millefolium,common yarrow,42.3835633333,-71.1473611667,,Flowering
1677543,2015-06-13,research,52821,Achillea millefolium,common yarrow,33.340054,-116.901411,"Doane Pond, Palomar Mountain State Park, CA",Flowering
1700372,2015-06-25,research,52821,Achillea millefolium,common yarrow,41.80489,-72.330861,"Riley Mountain Rd, Coventry, CT",Flowering
1713611,2015-06-15,research,52821,Achillea millefolium,common yarrow,44.367797,-72.511431,robinsons hill rd calais vt,Flowering
1717126,2015-06-29,research,52821,Achillea millefolium,common yarrow,44.862477,-91.91771,Phelan Park,Flowering
1724914,2015-07-04,research,52821,Achillea millefolium,common yarrow,19.2570197222,-97.9279247222,"Huamantla, Tlaxcala, Mxico",Flowering
1737142,2015-07-08,research,52821,Achillea millefolium,common yarrow,44.73158,-91.86632,Dunnville Barrens State Natural Area,Flowering
1742582,2015-07-10,research,52821,Achillea millefolium,common yarrow,60.4647333333,-151.072505,"Kenai Peninsula, Alaska, United States",Flowering
