observation_id,species,term,value,date,latitude,longitude
1506446,Dactylis glomerata,Plant Phenology,Flowering,2015-05-18,39.225095,-76.745472
1527939,Dactylis glomerata,Plant Phenology,Flower Budding,2015-05-22,48.432468,-123.452959
1607881,Dactylis glomerata,Plant Phenology,Flowering,2015-06-01,47.65584,-122.293065
1625105,Dactylis glomerata,Plant Phenology,Flower Budding,2015-05-27,41.685594,-87.879787
20271777,Dactylis glomerata,Plant Phenology,Flowering,2015-06-01,45.4097832881,-75.7326272228
82385405,Dactylis glomerata,Plant Phenology,Flowering,2015-06-13,44.5199205437,-72.7699545947
2452987,Dactylis glomerata,Plant Phenology,No Evidence of Flowering,2015-12-04,41.478387,-81.463729
2475850,Dactylis glomerata,Plant Phenology,Fruiting,2015-12-12,44.2605539086,-72.5601151307
2477998,Dactylis glomerata,Plant Phenology,Fruiting,2015-12-14,44.2274339917,-72.5509863999
2508590,Dactylis glomerata,Plant Phenology,Fruiting,2015-12-27,41.9990222622,-72.12323986
2533771,Dactylis glomerata,Plant Phenology,Fruiting,2016-01-01,44.2820070126,-72.5040904899
2627768,Dactylis glomerata,Plant Phenology,Fruiting,2016-01-29,42.42803,-88.97001911
2698053,Dactylis glomerata,Plant Phenology,Fruiting,2016-02-18,40.605278,-74.49827
2746793,Dactylis glomerata,Plant Phenology,Fruiting,2016-03-01,40.523263,-74.501602
2758519,Dactylis glomerata,Plant Phenology,Fruiting,2016-03-08,42.25583,-83.04822
2806853,Dactylis glomerata,Plant Phenology,Fruiting,2016-03-19,48.4605816667,-123.3119583333
3215272,Dactylis glomerata,Plant Phenology,Flowering,2016-05-19,37.7804647107,-90.4381491524
3223778,Dactylis glomerata,Plant Phenology,Flowering,2016-05-20,38.77829394,-77.04931865
3257908,Dactylis glomerata,Plant Phenology,Flowering,2016-05-21,39.7108974043,-75.6871085038
3288708,Dactylis glomerata,Plant Phenology,Flower Budding,2016-05-24,41.180167906,-82.2205389944
3297734,Dactylis glomerata,Plant Phenology,Flowering,2016-05-24,36.1016666667,-86.5305033333
3306195,Dactylis glomerata,Plant Phenology,Flowering,2016-05-26,38.9400697081,-77.2694914509
3382019,Dactylis glomerata,Plant Phenology,Flowering,2016-06-04,41.7824004122,-72.6397068008
3411617,Dactylis glomerata,Plant Phenology,Flowering,2016-06-08,40.4426312121,-111.7117572763
3427504,Dactylis glomerata,Plant Phenology,Flowering,2016-06-06,46.518957,-124.030173
3482926,Dactylis glomerata,Plant Phenology,Flowering,2016-06-19,43.6228633333,-72.50802
16470012,Dactylis glomerata,Plant Phenology,Fruiting,2016-07-04,41.2150001526,-80.556388855
17529581,Dactylis glomerata,Plant Phenology,Fruiting,2016-07-09,41.1433334351,-80.5477752686
32603634,Dactylis glomerata,Plant Phenology,Flowering,2016-05-29,36.3476078368,-81.4145268772
41110620,Dactylis glomerata,Plant Phenology,Flowering,2016-05-03,34.4515065501,-93.1741946311
3903487,Dactylis glomerata,Plant Phenology,Fruiting,2016-08-16,38.0482013896,-122.8786417377
3961936,Dactylis glomerata,Plant Phenology,Fruiting,2016-08-13,48.6404222222,-123.3298055556
4183736,Dactylis glomerata,Plant Phenology,Fruiting,2016-09-23,48.0682462827,-116.0447337573
18100898,Dactylis glomerata,Plant Phenology,Fruiting,2016-09-02,44.64050788,-123.1068096
23952470,Dactylis glomerata,Plant Phenology,Flowering,2016-08-24,35.3952772773,-80.7285475731
4584138,Dactylis glomerata,Plant Phenology,Fruiting,2016-11-16,47.6591928545,-122.4050261647
4616497,Dactylis glomerata,Plant Phenology,Flower Budding,2016-11-22,43.6827787199,-70.4532729742
4715906,Dactylis glomerata,Plant Phenology,Fruiting,2016-12-04,40.6206305129,-74.5583403111
4835676,Dactylis glomerata,Plant Phenology,Fruiting,2016-12-23,41.8216411164,-69.9636708387
4837201,Dactylis glomerata,Plant Phenology,Fruiting,2016-12-14,40.6265099178,-74.5122385007
4879886,Dactylis glomerata,Plant Phenology,Fruiting,2017-01-01,35.014401041,-85.5420820323
4915424,Dactylis glomerata,Plant Phenology,Fruiting,2017-01-01,39.5727484793,-76.502995491
13736366,Dactylis glomerata,Plant Phenology,Flower Budding,2016-12-06,42.3764852,-71.2356113
4994684,Dactylis glomerata,Plant Phenology,Fruiting,2017-01-17,40.6207933843,-74.6013307571
4999286,Dactylis glomerata,Plant Phenology,Fruiting,2017-01-19,40.6855196041,-74.3005800247
5001566,Dactylis glomerata,Plant Phenology,Fruiting,2017-01-20,40.6162654098,-74.4884204865
5048462,Dactylis glomerata,Plant Phenology,Fruiting,2017-02-03,41.86499395,-87.69893956
5082529,Dactylis glomerata,Plant Phenology,Fruiting,2017-02-04,40.626037633,-74.5738649368
5201177,Dactylis glomerata,Plant Phenology,Fruiting,2017-02-19,40.6330727484,-74.5080971718
5203929,Dactylis glomerata,Plant Phenology,Fruiting,2017-03-01,40.6234969925,-74.5569992065
5249292,Dactylis glomerata,Plant Phenology,Fruiting,2017-03-07,40.6340009375,-74.4633150101
5300640,Dactylis glomerata,Plant Phenology,Fruiting,2017-03-13,40.6236924298,-74.6055793762
5372815,Dactylis glomerata,Plant Phenology,Flowering,2017-03-15,38.1339971667,-122.5740333333
5414268,Dactylis glomerata,Plant Phenology,Fruiting,2017-03-20,44.142605,-72.6553316667
5414286,Dactylis glomerata,Plant Phenology,Fruiting,2017-03-20,44.1445333333,-72.657785
5445535,Dactylis glomerata,Plant Phenology,Fruiting,2017-03-24,44.3311466667,-72.4698983333
5454243,Dactylis glomerata,Plant Phenology,Fruiting,2017-03-25,44.3266083333,-72.5196883333
5468519,Dactylis glomerata,Plant Phenology,Fruiting,2017-03-26,44.311775,-72.4983716667
5517158,Dactylis glomerata,Plant Phenology,Fruiting,2017-03-29,40.5509910527,-74.5024967194
5571683,Dactylis glomerata,Plant Phenology,Fruiting,2017-04-04,44.2935466667,-72.4787483333
5624493,Dactylis glomerata,Plant Phenology,Fruiting,2017-04-09,44.3273299328,-72.5241596997
5783707,Dactylis glomerata,Plant Phenology,Fruiting,2017-04-14,38.133874,-122.573876
5783708,Dactylis glomerata,Plant Phenology,Flowering,2017-04-14,38.133874,-122.573876
5835944,Dactylis glomerata,Plant Phenology,No Evidence of Flowering,2017-04-18,37.79931993,-122.47626252
5941109,Dactylis glomerata,Plant Phenology,Flowering,2017-04-24,38.8061528374,-77.0626792219
