id,observed_on,quality_grade,taxon_id,taxon_name,common_name,latitude,longitude,place_guess,Plant Phenology
1506446,2015-05-18,research,52720,Dactylis glomerata,orchard grass,39.225095,-76.745472,"Howard County, US-MD, US",Flowering
1527939,2015-05-22,research,52720,Dactylis glomerata,orchard grass,48.432468,-123.452959,"690–698 Fort Rodd Hill Rd, Colwood, BC, CA",Flower Budding
1607881,2015-06-01,research,52720,Dactylis glomerata,orchard grass,47.65584,-122.293065,Union Bay Natural area,Flowering
1625105,2015-05-27,research,52720,Dactylis glomerata,orchard grass,41.685594,-87.879787,"Esker Trail, Palos Forest Preserves, Palos area, Cook County, IL",Flower Budding
20271777,2015-06-01,research,52720,Dactylis glomerata,orchard grass,45.4097832881,-75.7326272228,"Riverton Park, Ottawa, ON, Canada",Flowering
82385405,2015-06-13,research,52720,Dactylis glomerata,orchard grass,44.5199205437,-72.7699545947,"Stowe, VT 05672, USA",Flowering
2452987,2015-12-04,research,52720,Dactylis glomerata,orchard grass,41.478387,-81.463729,"Pepper Pike, OH",No Evidence of Flowering
2475850,2015-12-12,research,52720,Dactylis glomerata,orchard grass,44.2605539086,-72.5601151307,"Main St, Montpelier, VT, US",Fruiting
2477998,2015-12-14,research,52720,Dactylis glomerata,orchard grass,44.2274339917,-72.5509863999,"1310–1478 US Route 302, Berlin, VT, US",Fruiting
2508590,2015-12-27,research,52720,Dactylis glomerata,orchard grass,41.9990222622,-72.12323986,"Bigelow Br, Union, CT, US",Fruiting
2533771,2016-01-01,research,52720,Dactylis glomerata,orchard grass,44.2820070126,-72.5040904899,"100–498 Johnson Rd, East Montpelier, VT, US",Fruiting
2627768,2016-01-29,research,52720,Dactylis glomerata,orchard grass,42.42803,-88.97001911,"Winnebago County, US-IL, US",Fruiting
2698053,2016-02-18,research,52720,Dactylis glomerata,orchard grass,40.605278,-74.49827,Top of the World Park,Fruiting
2746793,2016-03-01,research,52720,Dactylis glomerata,orchard grass,40.523263,-74.501602,"Hollywood Avenue, Somerset",Fruiting
2758519,2016-03-08,research,52720,Dactylis glomerata,orchard grass,42.25583,-83.04822,"Spring Garden Windsor, Ontario",Fruiting
2806853,2016-03-19,research,52720,Dactylis glomerata,orchard grass,48.4605816667,-123.3119583333,"Capital, British Columbia, Canada",Fruiting
3215272,2016-05-19,research,52720,Dactylis glomerata,orchard grass,37.7804647107,-90.4381491524,"1100 W Liberty St, Farmington, MO, US",Flowering
3223778,2016-05-20,research,52720,Dactylis glomerata,orchard grass,38.77829394,-77.04931865,"Belle Haven, VA",Flowering
3257908,2016-05-21,research,52720,Dactylis glomerata,orchard grass,39.7108974043,-75.6871085038,United States,Flowering
3288708,2016-05-24,research,52720,Dactylis glomerata,orchard grass,41.180167906,-82.2205389944,"44090, Wellington, OH, US",Flower Budding
3297734,2016-05-24,research,52720,Dactylis glomerata,orchard grass,36.1016666667,-86.5305033333,"37076, Nashville, TN, US",Flowering
3306195,2016-05-26,research,52720,Dactylis glomerata,orchard grass,38.9400697081,-77.2694914509,"Wolf Trap Farm Park National Park, Fairfax County, US-VA, US",Flowering
3382019,2016-06-04,research,52720,Dactylis glomerata,orchard grass,41.7824004122,-72.6397068008,"East Hartford, CT, USA",Flowering
3411617,2016-06-08,research,52720,Dactylis glomerata,orchard grass,40.4426312121,-111.7117572763,"Timpanogos Cave National Monument, Utah County, US-UT, US",Flowering
3427504,2016-06-06,research,52720,Dactylis glomerata,orchard grass,46.518957,-124.030173,"Sandridge Rd, Pacific Co, WAe",Flowering
3482926,2016-06-19,research,52720,Dactylis glomerata,orchard grass,43.6228633333,-72.50802,"05091, Woodstock, VT, US",Flowering
16470012,2016-07-04,research,52720,Dactylis glomerata,orchard grass,41.2150001526,-80.556388855,"7247 Stewart Sharon Rd, Hubbard, OH 44425, USA",Fruiting
17529581,2016-07-09,research,52720,Dactylis glomerata,orchard grass,41.1433334351,-80.5477752686,"3691 Pothour Wheeler Rd SE, Hubbard, OH 44425, USA",Fruiting
32603634,2016-05-29,research,52720,Dactylis glomerata,orchard grass,36.3476078368,-81.4145268772,"North Carolina, US",Flowering
41110620,2016-05-03,research,52720,Dactylis glomerata,orchard grass,34.4515065501,-93.1741946311,"Garland County, AR, USA",Flowering
3903487,2016-08-16,research,52720,Dactylis glomerata,orchard grass,38.0482013896,-122.8786417377,"Point Reyes National Seashore, Marin County, US-CA, US",Fruiting
3961936,2016-08-13,research,52720,Dactylis glomerata,orchard grass,48.6404222222,-123.3298055556,"Gulf Islands National Park Reserve of Canada, Capital, British Columbia, Canada",Fruiting
4183736,2016-09-23,research,52720,Dactylis glomerata,orchard grass,48.0682462827,-116.0447337573,"Sanders County, US-MT, US",Fruiting
18100898,2016-09-02,research,52720,Dactylis glomerata,orchard grass,44.64050788,-123.1068096,"Albany, OR, USA",Fruiting
23952470,2016-08-24,research,52720,Dactylis glomerata,orchard grass,35.3952772773,-80.7285475731,"Cabarrus County, NC, USA",Flowering
4584138,2016-11-16,research,52720,Dactylis glomerata,orchard grass,47.6591928545,-122.4050261647,"Discovery Park, Seattle, WA, US",Fruiting
4616497,2016-11-22,research,52720,Dactylis glomerata,orchard grass,43.6827787199,-70.4532729742,"30–54 Husky Dr, Gorham, ME, US",Flower Budding
4715906,2016-12-04,research,52720,Dactylis glomerata,orchard grass,40.6206305129,-74.5583403111,"Warren, NJ, USA",Fruiting
4835676,2016-12-23,research,52720,Dactylis glomerata,orchard grass,41.8216411164,-69.9636708387,"Cape Cod National Seashore, Eastham, MA, US",Fruiting
4837201,2016-12-14,research,52720,Dactylis glomerata,orchard grass,40.6265099178,-74.5122385007,"Warren, NJ, USA",Fruiting
4879886,2017-01-01,research,52720,Dactylis glomerata,orchard grass,35.014401041,-85.5420820323,"Marion County, US-TN, US",Fruiting
4915424,2017-01-01,research,52720,Dactylis glomerata,orchard grass,39.5727484793,-76.502995491,"Harford County, MD, USA",Fruiting
13736366,2016-12-06,research,52720,Dactylis glomerata,orchard grass,42.3764852,-71.2356113,"Massachusetts, USA",Flower Budding
4994684,2017-01-17,research,52720,Dactylis glomerata,orchard grass,40.6207933843,-74.6013307571,"Martinsville, Bridgewater, NJ, USA",Fruiting
4999286,2017-01-19,research,52720,Dactylis glomerata,orchard grass,40.6855196041,-74.3005800247,"Union, NJ, USA",Fruiting
5001566,2017-01-20,research,52720,Dactylis glomerata,orchard grass,40.6162654098,-74.4884204865,"Warren, NJ, USA",Fruiting
5048462,2017-02-03,research,52720,Dactylis glomerata,orchard grass,41.86499395,-87.69893956,"South Thompson Drive Chicago, IL 60623",Fruiting
5082529,2017-02-04,research,52720,Dactylis glomerata,orchard grass,40.626037633,-74.5738649368,"Liberty Corner, Bernards, NJ 07920, USA",Fruiting
5201177,2017-02-19,research,52720,Dactylis glomerata,orchard grass,40.6330727484,-74.5080971718,"Warren, NJ, USA",Fruiting
5203929,2017-03-01,research,52720,Dactylis glomerata,orchard grass,40.6234969925,-74.5569992065,"Warren, NJ, USA",Fruiting
5249292,2017-03-07,research,52720,Dactylis glomerata,orchard grass,40.6340009375,-74.4633150101,"Watchung, NJ, USA",Fruiting
5300640,2017-03-13,research,52720,Dactylis glomerata,orchard grass,40.6236924298,-74.6055793762,"Martinsville, Bridgewater, NJ, USA",Fruiting
5372815,2017-03-15,research,52720,Dactylis glomerata,orchard grass,38.1339971667,-122.5740333333,"8001 Redwood Blvd, Novato, CA, US",Flowering
5414268,2017-03-20,research,52720,Dactylis glomerata,orchard grass,44.142605,-72.6553316667,"Washington, Vermont, United States",Fruiting
5414286,2017-03-20,research,52720,Dactylis glomerata,orchard grass,44.1445333333,-72.657785,"Washington, Vermont, United States",Fruiting
5445535,2017-03-24,research,52720,Dactylis glomerata,orchard grass,44.3311466667,-72.4698983333,"Washington, Vermont, United States",Fruiting
5454243,2017-03-25,research,52720,Dactylis glomerata,orchard grass,44.3266083333,-72.5196883333,"Washington, Vermont, United States",Fruiting
5468519,2017-03-26,research,52720,Dactylis glomerata,orchard grass,44.311775,-72.4983716667,"Washington, Vermont, United States",Fruiting
5517158,2017-03-29,research,52720,Dactylis glomerata,orchard grass,40.5509910527,-74.5024967194,"Piscataway Township, NJ 08854, USA",Fruiting
5571683,2017-04-04,research,52720,Dactylis glomerata,orchard grass,44.2935466667,-72.4787483333,"Washington, Vermont, United States",Fruiting
5624493,2017-04-09,research,52720,Dactylis glomerata,orchard grass,44.3273299328,-72.5241596997,"05602, East Montpelier, VT, US",Fruiting
5783707,2017-04-14,research,52720,Dactylis glomerata,orchard grass,38.133874,-122.573876,buck institute for research on aging,Fruiting
5783708,2017-04-14,research,52720,Dactylis glomerata,orchard grass,38.133874,-122.573876,buck institute for research on aging,Flowering
5835944,2017-04-18,research,52720,Dactylis glomerata,orchard grass,37.79931993,-122.47626252,"Kobbe Avenue, Presidio of San Francisco",No Evidence of Flowering
5941109,2017-04-24,research,52720,Dactylis glomerata,orchard grass,38.8061528374,-77.0626792219,"110 Callahan Dr, Alexandria, VA, US",Flowering
5974941,2017-04-24,research,52720,Dactylis glomerata,orchard grass,33.7658461604,-83.2343990351,"Georgia, US",Flowering
6198199,2017-05-13,research,52720,Dactylis glomerata,orchard grass,39.0829471667,-76.756455,"208–250 Wildlife Loop, Fort George G Meade, MD, US",Flower Budding
6326927,2017-05-22,research,52720,Dactylis glomerata,orchard grass,42.4673821707,-83.980299532,"Livingston County, MI, USA",Flower Budding
6388676,2017-05-27,research,52720,Dactylis glomerata,orchard grass,44.2842733333,-72.5718,"Washington, Vermont, United States",Flowering
6410198,2017-05-28,research,52720,Dactylis glomerata,orchard grass,43.0713136029,-89.4441748784,"410 Palomino Ln, Madison, WI, US",Flowering
6431507,2017-05-30,research,52720,Dactylis glomerata,orchard grass,40.86613,-73.8776083333,"The New York Botanical Garden, New York, NY, US",Flowering
6436528,2017-05-30,research,52720,Dactylis glomerata,orchard grass,47.9625714798,-122.1301174164,"Snohomish County, WA, USA",Flowering
6437105,2017-05-30,research,52720,Dactylis glomerata,orchard grass,47.4633565173,-122.0682046564,"20322 SE 156th St, Renton, WA, US",Flowering
6438335,2017-05-30,research,52720,Dactylis glomerata,orchard grass,44.302885,-72.4689633333,"Washington, Vermont, United States",Flowering
6456051,2017-06-01,research,52720,Dactylis glomerata,orchard grass,42.3121026066,-71.0772274621,"47 Lawrence Ave, Boston, MA, US",Flowering
6462916,2017-06-01,research,52720,Dactylis glomerata,orchard grass,43.036989,-88.981978,"Jefferson County, WI, USA",Flowering
6478272,2017-06-02,research,52720,Dactylis glomerata,orchard grass,43.1275371583,-88.9160227776,"Jefferson County, WI, USA",Flowering
6508414,2017-06-03,research,52720,Dactylis glomerata,orchard grass,44.3290016667,-72.50217,"Washington, Vermont, United States",Flowering
6514970,2017-06-05,research,52720,Dactylis glomerata,orchard grass,44.4069116667,-72.411395,"Washington, Vermont, United States",Flowering
6528550,2017-06-06,research,52720,Dactylis glomerata,orchard grass,44.35931,-72.3753016667,"Washington, Vermont, United States",Flowering
6528770,2017-06-03,research,52720,Dactylis glomerata,orchard grass,39.984794,-75.486035,"Chester County, PA, USA",Flowering
6529322,2017-06-06,research,52720,Dactylis glomerata,orchard grass,47.6690262929,-122.3068241962,"5508 20th Ave NE, Seattle, WA, US",Flowering
