observation_id,species,term,value,date,latitude,longitude
1538775,Achillea millefolium,Plant Phenology,,2015-05-24,32.7676977357,-97.6765395329
1539328,Achillea millefolium,Plant Phenology,Flowering,2015-05-24,37.935061,-122.217565
1543526,Achillea millefolium,Plant Phenology,Flowering,2015-05-25,38.980534,-77.829388
1546282,Achillea millefolium,Plant Phenology,,2015-05-25,49.075439,-123.911165
1553598,Achillea millefolium,Plant Phenology,,2015-05-27,46.78832,-100.91587
1557677,Achillea millefolium,Plant Phenology,,2015-05-28,39.431751,-120.240176
1557921,Achillea millefolium,Plant Phenology,,2015-05-28,40.622723,-89.014624
1558116,Achillea millefolium,Plant Phenology,,2015-05-28,39.7624166667,-89.7594133333
1558947,Achillea millefolium,Plant Phenology,,2015-05-25,38.18997,-122.964626
1561778,Achillea millefolium,Plant Phenology,,2015-05-27,38.174378,-98.49123
1563881,Achillea millefolium,Plant Phenology,,2015-05-28,40.767082,-111.82279
1564384,Achillea millefolium,Plant Phenology,,2015-05-30,32.880284,-97.344801
1565599,Achillea millefolium,Plant Phenology,,2015-05-30,58.37857,-135.6172166667
1566631,Achillea millefolium,Plant Phenology,,2015-05-29,37.489105,-84.4417416667
1568534,Achillea millefolium,Plant Phenology,,2015-05-31,39.6185916667,-84.0910638333
1569959,Achillea millefolium,Plant Phenology,,2015-05-30,40.71583,-122.59648
1570184,Achillea millefolium,Plant Phenology,,2015-05-31,42.142047,-87.788841
1570432,Achillea millefolium,Plant Phenology,,2015-05-31,34.196966,-118.021386
1571045,Achillea millefolium,Plant Phenology,,2015-05-31,37.817553,-122.062568
1571422,Achillea millefolium,Plant Phenology,,2015-05-30,40.71583,-122.59648
1572824,Achillea millefolium,Plant Phenology,,2015-06-01,41.77181,-87.863944
1574735,Achillea millefolium,Plant Phenology,,2015-06-01,33.642637,-97.683433
1574874,Achillea millefolium,Plant Phenology,,2015-06-01,36.2007300833,-78.8886987
1576179,Achillea millefolium,Plant Phenology,,2015-05-30,32.863035,-116.462129
1578905,Achillea millefolium,Plant Phenology,,2015-06-02,38.2453069,-122.6048338
1585110,Achillea millefolium,Plant Phenology,,2015-06-03,30.81379,-94.024011
1588325,Achillea millefolium,Plant Phenology,,2015-06-04,40.797551,-73.916112
1589552,Achillea millefolium,Plant Phenology,,2015-06-01,44.550891,-73.139811
1589889,Achillea millefolium,Plant Phenology,,2015-06-04,36.1888466667,-97.9982
1589927,Achillea millefolium,Plant Phenology,,2015-06-04,36.188873291,-97.9995574951
1589935,Achillea millefolium,Plant Phenology,,2015-06-04,36.188873291,-97.9995574951
1591774,Achillea millefolium,Plant Phenology,,2015-06-04,33.3059585906,-98.3506588612
1593562,Achillea millefolium,Plant Phenology,,2015-05-30,32.863917,-116.462476
1595871,Achillea millefolium,Plant Phenology,,2015-06-04,37.7652033333,-122.4397716667
1599950,Achillea millefolium,Plant Phenology,,2015-06-06,41.5128245,-72.8118586
1601220,Achillea millefolium,Plant Phenology,,2015-06-05,37.4902777778,-84.4413888889
1601559,Achillea millefolium,Plant Phenology,,2015-06-01,38.447539,-96.578407
1601817,Achillea millefolium,Plant Phenology,Flowering,2015-06-05,48.204723,-122.705478
1607334,Achillea millefolium,Plant Phenology,,2015-06-04,49.075062,-121.968995
1608012,Achillea millefolium,Plant Phenology,,2015-06-08,38.609606,-122.869045
1608314,Achillea millefolium,Plant Phenology,,2015-06-06,38.1190445,-122.948945
1614930,Achillea millefolium,Plant Phenology,,2015-05-30,32.863917,-116.462476
1614946,Achillea millefolium,Plant Phenology,,2015-06-04,40.7964116565,-73.9161269367
1616786,Achillea millefolium,Plant Phenology,,2015-06-09,37.981821,-76.840383
1619231,Achillea millefolium,Plant Phenology,Flowering,2015-06-10,36.08964483,-81.8356839
1620625,Achillea millefolium,Plant Phenology,,2015-06-09,37.644963,-77.308297
1622333,Achillea millefolium,Plant Phenology,,2015-06-12,37.73533594,-122.39537582
1622400,Achillea millefolium,Plant Phenology,Flowering,2015-06-12,44.51269,-73.173086
1626568,Achillea millefolium,Plant Phenology,,2015-06-12,44.313594,-100.169275
1629296,Achillea millefolium,Plant Phenology,,2015-06-13,37.31958476,-122.20008112
1632437,Achillea millefolium,Plant Phenology,,2015-06-13,36.174072,-79.772409
1632752,Achillea millefolium,Plant Phenology,,2015-06-14,41.0517661,-76.2692563
1633066,Achillea millefolium,Plant Phenology,,2015-06-13,41.158839,-79.765098
1633563,Achillea millefolium,Plant Phenology,,2015-06-07,41.14574,-81.827773
1635349,Achillea millefolium,Plant Phenology,Flowering,2015-06-14,44.73862,-91.863681
1638666,Achillea millefolium,Plant Phenology,,2015-06-16,37.736009,-122.395376
1638912,Achillea millefolium,Plant Phenology,,2015-06-16,37.7421033333,-122.4298116667
1638961,Achillea millefolium,Plant Phenology,,2015-06-16,37.735588,-122.395164
1638983,Achillea millefolium,Plant Phenology,,2015-06-16,37.735475,-122.395105
1639580,Achillea millefolium,Plant Phenology,,2015-06-16,40.748815,-111.842471
1639839,Achillea millefolium,Plant Phenology,,2015-06-16,37.7354916667,-122.3953166667
1639888,Achillea millefolium,Plant Phenology,,2015-06-16,37.735755,-122.3953333333
1639891,Achillea millefolium,Plant Phenology,,2015-06-16,37.7357166667,-122.395325
1639998,Achillea millefolium,Plant Phenology,,2015-06-16,40.748928,-111.842525
1641235,Achillea millefolium,Plant Phenology,,2015-06-16,34.176147,-117.927572
1644481,Achillea millefolium,Plant Phenology,,2015-06-17,45.1067185,-95.9019599
1644813,Achillea millefolium,Plant Phenology,,2015-06-18,41.820474,-72.239529
1645021,Achillea millefolium,Plant Phenology,Flowering,2015-06-16,42.3835633333,-71.1473611667
1645107,Achillea millefolium,Plant Phenology,,2015-06-18,34.017787,-118.288306
1646384,Achillea millefolium,Plant Phenology,,2015-06-18,37.7713088,-122.463032
1647950,Achillea millefolium,Plant Phenology,,2015-06-18,38.3147083333,-123.0443888333
1649097,Achillea millefolium,Plant Phenology,,2015-06-18,37.416076,-78.437376
1649350,Achillea millefolium,Plant Phenology,,2015-06-14,39.9244,-120.536789
1650679,Achillea millefolium,Plant Phenology,,2015-06-20,39.431545,-120.241464
1650693,Achillea millefolium,Plant Phenology,,2015-06-20,39.4317529,-120.2405615
1651151,Achillea millefolium,Plant Phenology,,2015-05-31,37.8206444444,-122.1277
1657239,Achillea millefolium,Plant Phenology,,2015-06-19,42.996199,-88.078627
1660218,Achillea millefolium,Plant Phenology,,2015-06-21,37.7415416667,-122.43267
1673692,Achillea millefolium,Plant Phenology,,2015-06-19,37.008944,-118.897798
1677543,Achillea millefolium,Plant Phenology,Flowering,2015-06-13,33.340054,-116.901411
1681926,Achillea millefolium,Plant Phenology,,2015-06-21,39.225207,-96.401509
1692397,Achillea millefolium,Plant Phenology,,2015-06-22,39.373784,-120.284128
1712004,Achillea millefolium,Plant Phenology,,2015-06-20,37.560055,-96.6408616667
1713611,Achillea millefolium,Plant Phenology,Flowering,2015-06-15,44.367797,-72.511431
1722069,Achillea millefolium,Plant Phenology,,2015-06-06,43.287718,-73.825668
1754938,Achillea millefolium,Plant Phenology,,2015-06-12,37.575176239,-97.270904541
1889183,Achillea millefolium,Plant Phenology,,2015-06-21,43.1137583333,-71.6415583333
2621438,Achillea millefolium,Plant Phenology,,2015-05-28,48.926842,-123.469505
2839725,Achillea millefolium,Plant Phenology,,2015-06-10,36.97177,-94.362903
6721071,Achillea millefolium,Plant Phenology,,2015-06-18,42.1662028924,-84.4186020904
7124974,Achillea millefolium,Plant Phenology,,2015-06-11,43.7382916667,-71.6369083333
7616852,Achillea millefolium,Plant Phenology,,2015-06-13,43.6045811,-103.4213433
8828794,Achillea millefolium,Plant Phenology,Flowering,2015-06-05,47.368202,-122.441568
9322734,Achillea millefolium,Plant Phenology,,2015-06-19,37.4315734,-78.6568942
9870664,Achillea millefolium,Plant Phenology,,2015-06-18,42.4757522706,-70.9016746342
9981088,Achillea millefolium,Plant Phenology,Flowering,2015-06-15,44.4646245989,-77.2339412155
18669029,Achillea millefolium,Plant Phenology,Flowering,2015-06-09,41.6078009671,-87.6895146888
20718030,Achillea millefolium,Plant Phenology,,2015-06-12,38.9285804467,-77.3720038796
21012661,Achillea millefolium,Plant Phenology,Flowering,2015-06-18,45.4081585865,-75.7458818258
21871553,Achillea millefolium,Plant Phenology,,2015-06-05,35.2546513889,-85.0096630556
41182754,Achillea millefolium,Plant Phenology,,2015-06-02,53.0553626944,-111.5591278056
44919754,Achillea millefolium,Plant Phenology,,2015-06-22,40.82903667,-75.99244667
65490419,Achillea millefolium,Plant Phenology,,2015-06-15,38.7388196431,-76.5592296509
67987578,Achillea millefolium,Plant Phenology,,2015-06-21,49.0906560361,-120.6796948808
75427205,Achillea millefolium,Plant Phenology,,2015-06-22,47.5505182219,-122.1241664786
87253373,Achillea millefolium,Plant Phenology,,2015-06-09,47.8021067,-123.6043524
87291518,Achillea millefolium,Plant Phenology,,2015-06-09,47.9691753,-123.4984784
107099308,Achillea millefolium,Plant Phenology,,2015-06-20,19.253539,-99.244842
136089998,Achillea millefolium,Plant Phenology,Flowering,2015-06-09,47.3731432096,-120.4731493491
146254831,Achillea millefolium,Plant Phenology,,2015-06-22,58.2968408809,-134.3869041145
154049083,Achillea millefolium,Plant Phenology,,2015-05-29,35.5641381,-121.0807468
174017152,Achillea millefolium,Plant Phenology,,2015-06-19,38.7473325386,-119.937900044
188949328,Achillea millefolium,Plant Phenology,,2015-06-12,44.5607995709,-92.3096253723
196895565,Achillea millefolium,Plant Phenology,,2015-06-06,49.3358861643,-123.4213756577
197041409,Achillea millefolium,Plant Phenology,,2015-06-13,49.3830212726,-123.2339875667
200820048,Achillea millefolium,Plant Phenology,Flowering,2015-06-19,44.6136092812,-73.1013147246
1681930,Achillea millefolium,Plant Phenology,,2015-06-24,39.034473,-77.154718
1682498,Achillea millefolium,Plant Phenology,,2015-06-24,41.815254,-72.269318
1686939,Achillea millefolium,Plant Phenology,,2015-06-24,37.227279,-78.259386
1691157,Achillea millefolium,Plant Phenology,,2015-06-25,39.337743,-120.221022
1691369,Achillea millefolium,Plant Phenology,,2015-06-24,38.163391,-119.95816
1691915,Achillea millefolium,Plant Phenology,,2015-06-25,41.823624,-72.312975
1693220,Achillea millefolium,Plant Phenology,,2015-06-23,41.283032,-73.669904
1694499,Achillea millefolium,Plant Phenology,,2015-06-25,44.82563,-85.905794
1694485,Achillea millefolium,Plant Phenology,,2015-06-25,44.835882,-85.964108
1695403,Achillea millefolium,Plant Phenology,,2015-06-25,40.3187166667,-79.84742
1696936,Achillea millefolium,Plant Phenology,,2015-06-26,45.2597236633,-86.9855575562
1697654,Achillea millefolium,Plant Phenology,,2015-06-27,38.1202451667,-122.8265621
1698249,Achillea millefolium,Plant Phenology,,2015-06-27,38.120402,-122.826567
1698301,Achillea millefolium,Plant Phenology,,2015-06-27,38.119279,-122.826066
1698303,Achillea millefolium,Plant Phenology,,2015-06-27,38.120445,-122.826297
1698453,Achillea millefolium,Plant Phenology,,2015-06-27,38.120381,-122.826508
1698422,Achillea millefolium,Plant Phenology,,2015-06-27,38.1204721667,-122.82635
1698883,Achillea millefolium,Plant Phenology,,2015-06-27,38.120389,-122.826565
1698985,Achillea millefolium,Plant Phenology,,2015-06-27,38.124319,-122.827935
1699334,Achillea millefolium,Plant Phenology,,2015-06-27,38.119239,-122.831273
1699529,Achillea millefolium,Plant Phenology,,2015-06-27,39.430814,-120.239921
1699671,Achillea millefolium,Plant Phenology,,2015-06-27,39.4304416667,-120.241105
1699825,Achillea millefolium,Plant Phenology,,2015-06-27,38.122534,-122.939281
1699991,Achillea millefolium,Plant Phenology,,2015-06-27,32.5757973315,-97.2247026489
1700372,Achillea millefolium,Plant Phenology,Flowering,2015-06-25,41.80489,-72.330861
1701009,Achillea millefolium,Plant Phenology,,2015-06-27,38.120046,-122.825823
1704063,Achillea millefolium,Plant Phenology,,2015-06-27,43.588567,-72.909265
1704587,Achillea millefolium,Plant Phenology,,2015-06-28,36.784185,-103.968705
1709765,Achillea millefolium,Plant Phenology,,2015-06-30,34.130521,-118.8219321
1710223,Achillea millefolium,Plant Phenology,,2015-06-23,44.9549133333,-110.591155
1713561,Achillea millefolium,Plant Phenology,,2015-07-01,39.3173179626,-104.7308883667
1715347,Achillea millefolium,Plant Phenology,,2015-06-30,19.937645,-98.12601
1716264,Achillea millefolium,Plant Phenology,,2015-07-01,48.7608133333,-113.80178
1717126,Achillea millefolium,Plant Phenology,Flowering,2015-06-29,44.862477,-91.91771
1720392,Achillea millefolium,Plant Phenology,,2015-07-03,42.448056,-71.342588
1721008,Achillea millefolium,Plant Phenology,,2015-07-03,19.2900547222,-98.0484580556
1721353,Achillea millefolium,Plant Phenology,,2015-07-03,38.240562,-122.995087
1722100,Achillea millefolium,Plant Phenology,,2015-07-03,43.449804,-73.036847
1722715,Achillea millefolium,Plant Phenology,,2015-07-01,40.165997,-74.022693
1723345,Achillea millefolium,Plant Phenology,,2015-06-26,36.966026,-118.914986
1724914,Achillea millefolium,Plant Phenology,Flowering,2015-07-04,19.2570197222,-97.9279247222
1726505,Achillea millefolium,Plant Phenology,,2015-07-05,44.4242966667,-73.6297
1727564,Achillea millefolium,Plant Phenology,,2015-07-05,40.477372,-121.456895
1729648,Achillea millefolium,Plant Phenology,,2015-07-01,35.2661,-111.6371
1730032,Achillea millefolium,Plant Phenology,,2015-07-06,45.445903,-75.650557
1731787,Achillea millefolium,Plant Phenology,,2015-07-06,37.721722,-119.632893
1734468,Achillea millefolium,Plant Phenology,,2015-07-07,37.87214,-119.373795
1734512,Achillea millefolium,Plant Phenology,,2015-07-07,37.880833,-119.33902
1737142,Achillea millefolium,Plant Phenology,Flowering,2015-07-08,44.73158,-91.86632
1738061,Achillea millefolium,Plant Phenology,,2015-07-09,47.2605,-91.2936666667
1738747,Achillea millefolium,Plant Phenology,,2015-07-07,38.5746,-122.7132
1739229,Achillea millefolium,Plant Phenology,,2015-07-08,44.294895,-124.107925
1741421,Achillea millefolium,Plant Phenology,,2015-07-07,44.76464,-116.19759
1741485,Achillea millefolium,Plant Phenology,,2015-07-03,45.00968,-116.13263
1742582,Achillea millefolium,Plant Phenology,Flowering,2015-07-10,60.4647333333,-151.072505
1742684,Achillea millefolium,Plant Phenology,,2015-07-10,45.442005,-95.276118
1744306,Achillea millefolium,Plant Phenology,,2015-07-10,45.438678,-95.281256
1746070,Achillea millefolium,Plant Phenology,,2015-07-11,39.429581,-120.241068
1746075,Achillea millefolium,Plant Phenology,,2015-07-11,39.429759,-120.241045
1746062,Achillea millefolium,Plant Phenology,,2015-07-11,39.429574,-120.24092
1746239,Achillea millefolium,Plant Phenology,,2015-07-11,39.43307,-120.247965
1746248,Achillea millefolium,Plant Phenology,,2015-07-11,39.433698,-120.247543
1746247,Achillea millefolium,Plant Phenology,,2015-07-11,39.433669,-120.247687
1748169,Achillea millefolium,Plant Phenology,,2015-07-11,19.3006963889,-98.0592080556
1749703,Achillea millefolium,Plant Phenology,,2015-07-11,39.4330633333,-120.24755
1750290,Achillea millefolium,Plant Phenology,,2015-07-12,39.429914,-120.2405
1750291,Achillea millefolium,Plant Phenology,,2015-07-12,39.429914,-120.2405
1750287,Achillea millefolium,Plant Phenology,,2015-07-12,39.430339,-120.240655
1750775,Achillea millefolium,Plant Phenology,,2015-07-11,33.6468283333,-116.5971133333
1750896,Achillea millefolium,Plant Phenology,,2015-07-12,36.379897,-121.902041
1750922,Achillea millefolium,Plant Phenology,,2015-07-12,35.569256,-121.110711
1751353,Achillea millefolium,Plant Phenology,,2015-07-12,37.9111099243,-122.4919433594
1753132,Achillea millefolium,Plant Phenology,,2015-07-13,45.5839916667,-94.3892166667
1753322,Achillea millefolium,Plant Phenology,,2015-07-13,45.446855,-75.651169
1753435,Achillea millefolium,Plant Phenology,,2015-07-13,44.913133,-85.922092
1753966,Achillea millefolium,Plant Phenology,,2015-07-13,43.674416,-72.800108
1765710,Achillea millefolium,Plant Phenology,,2015-07-14,43.487057,-73.027432
1769422,Achillea millefolium,Plant Phenology,,2015-07-10,45.440639,-95.281018
1769481,Achillea millefolium,Plant Phenology,,2015-07-12,19.24535,-99.580226
1770262,Achillea millefolium,Plant Phenology,,2015-07-14,38.5688,-122.68807
1772257,Achillea millefolium,Plant Phenology,Flowering,2015-07-15,43.161233,-88.888857
1774420,Achillea millefolium,Plant Phenology,,2015-07-17,48.811118,-123.187738
1774706,Achillea millefolium,Plant Phenology,,2015-07-17,44.496364,-73.242567
1774841,Achillea millefolium,Plant Phenology,,2015-07-18,48.810328,-123.187709
1775123,Achillea millefolium,Plant Phenology,,2015-07-17,48.811561,-123.182519
1776671,Achillea millefolium,Plant Phenology,,2015-07-18,48.780585,-123.152812
1777496,Achillea millefolium,Plant Phenology,,2015-07-10,46.36162,-79.4926916667
1779594,Achillea millefolium,Plant Phenology,,2015-07-18,47.3483333333,-91.1838333333
1780373,Achillea millefolium,Plant Phenology,,2015-07-19,44.357464,-72.543729
1781137,Achillea millefolium,Plant Phenology,,2015-07-18,34.265356,-118.644184
