observation_id,species,term,value,date,latitude,longitude
1542802,Dactylis glomerata,Plant Phenology,,2015-05-25,36.01312375,-78.97336806
1575728,Dactylis glomerata,Plant Phenology,,2015-05-30,40.71584,-122.63162
1578791,Dactylis glomerata,Plant Phenology,,2015-06-02,37.489306,-84.441251
1582765,Dactylis glomerata,Plant Phenology,,2015-06-03,41.844516,-87.871721
1584734,Dactylis glomerata,Plant Phenology,,2015-06-03,39.559309,-89.790142
1602923,Dactylis glomerata,Plant Phenology,,2015-05-26,47.67012,-122.301955
1607881,Dactylis glomerata,Plant Phenology,Flowering,2015-06-01,47.65584,-122.293065
1625105,Dactylis glomerata,Plant Phenology,Flower Budding,2015-05-27,41.685594,-87.879787
1627161,Dactylis glomerata,Plant Phenology,,2015-06-13,43.58985,-79.5489116667
1687314,Dactylis glomerata,Plant Phenology,,2015-06-22,44.5744866667,-73.43483
2561534,Dactylis glomerata,Plant Phenology,,2015-06-04,48.868716,-123.346961
2625019,Dactylis glomerata,Plant Phenology,,2015-05-28,48.923825,-123.460064
14251803,Dactylis glomerata,Plant Phenology,,2015-05-24,38.642787806,-90.2794654911
20271777,Dactylis glomerata,Plant Phenology,Flowering,2015-06-01,45.4097832881,-75.7326272228
46180469,Dactylis glomerata,Plant Phenology,,2015-06-13,45.7899046179,-72.0147052067
51095141,Dactylis glomerata,Plant Phenology,,2015-06-16,41.2554490818,-72.0289195659
65729502,Dactylis glomerata,Plant Phenology,,2015-06-20,43.2939480761,-79.8818925816
69439671,Dactylis glomerata,Plant Phenology,,2015-06-11,41.3822909725,-81.5621402797
82385405,Dactylis glomerata,Plant Phenology,Flowering,2015-06-13,44.5199205437,-72.7699545947
1682632,Dactylis glomerata,Plant Phenology,,2015-06-24,45.046772,-85.747148
1691718,Dactylis glomerata,Plant Phenology,,2015-06-25,36.8918583333,-82.318275
1718656,Dactylis glomerata,Plant Phenology,,2015-07-02,45.167017,-85.606603
1718692,Dactylis glomerata,Plant Phenology,,2015-07-02,45.16792,-85.607834
1734280,Dactylis glomerata,Plant Phenology,,2015-07-07,45.44609,-75.65189
1739771,Dactylis glomerata,Plant Phenology,,2015-07-08,35.580296,-83.47805
1773241,Dactylis glomerata,Plant Phenology,,2015-07-17,44.915345,-85.928104
1774062,Dactylis glomerata,Plant Phenology,,2015-07-17,48.80974731,-123.18862502
