id,observed_on,quality_grade,taxon_id,taxon_name,common_name,latitude,longitude,place_guess,Plant Phenology
1542802,2015-05-25,research,52720,Dactylis glomerata,orchard grass,36.01312375,-78.97336806,,
1575728,2015-05-30,research,52720,Dactylis glomerata,orchard grass,40.71584,-122.63162,"French Gulch, California, USA",
1578791,2015-06-02,research,52720,Dactylis glomerata,orchard grass,37.489306,-84.441251,Maywoods,
1582765,2015-06-03,research,52720,Dactylis glomerata,orchard grass,41.844516,-87.871721,Brezina Woods,
1584734,2015-06-03,research,52720,Dactylis glomerata,orchard grass,39.559309,-89.790142,"7627–7999 Ackerman Rd, Auburn, IL, US",
1602923,2015-05-26,research,52720,Dactylis glomerata,orchard grass,47.67012,-122.301955,"Ravenna Park, Seattle, WA, US",
1607881,2015-06-01,research,52720,Dactylis glomerata,orchard grass,47.65584,-122.293065,Union Bay Natural area,Flowering
1625105,2015-05-27,research,52720,Dactylis glomerata,orchard grass,41.685594,-87.879787,"Esker Trail, Palos Forest Preserves, Palos area, Cook County, IL",Flower Budding
1627161,2015-06-13,research,52720,Dactylis glomerata,orchard grass,43.58985,-79.5489116667,"Peel, CA-ON, CA",
1687314,2015-06-22,research,52720,Dactylis glomerata,orchard grass,44.5744866667,-73.43483,"Adirondack Park Preserve, Peru, NY, US",
2561534,2015-06-04,research,52720,Dactylis glomerata,orchard grass,48.868716,-123.346961,Galiano Island,
2625019,2015-05-28,research,52720,Dactylis glomerata,orchard grass,48.923825,-123.460064,Galiano Island,
14251803,2015-05-24,research,52720,Dactylis glomerata,orchard grass,38.642787806,-90.2794654911,"St. Louis, MO, USA",
20271777,2015-06-01,research,52720,Dactylis glomerata,orchard grass,45.4097832881,-75.7326272228,"Riverton Park, Ottawa, ON, Canada",Flowering
46180469,2015-06-13,research,52720,Dactylis glomerata,orchard grass,45.7899046179,-72.0147052067,"Danville, QC J0A, Canada",
51095141,2015-06-16,research,52720,Dactylis glomerata,orchard grass,41.2554490818,-72.0289195659,"Fishers Island, NY 06390, USA",
65729502,2015-06-20,research,52720,Dactylis glomerata,orchard grass,43.2939480761,-79.8818925816,"Aldershot, Burlington, ON, Canada",
69439671,2015-06-11,research,52720,Dactylis glomerata,orchard grass,41.3822909725,-81.5621402797,"Bedford Reservation, Cleveland Metroparks, Circle Emerald Stables site, Bedford, OH 44146, USA",
82385405,2015-06-13,research,52720,Dactylis glomerata,orchard grass,44.5199205437,-72.7699545947,"Stowe, VT 05672, USA",Flowering
1682632,2015-06-24,research,52720,Dactylis glomerata,orchard grass,45.046772,-85.747148,"4281 N High Bluffs Dr, Leland, MI, US",
1691718,2015-06-25,research,52720,Dactylis glomerata,orchard grass,36.8918583333,-82.318275,"Wise County, US-VA, US",
1718656,2015-07-02,research,52720,Dactylis glomerata,orchard grass,45.167017,-85.606603,"49670, Leelanau, MI, US",
1718692,2015-07-02,research,52720,Dactylis glomerata,orchard grass,45.16792,-85.607834,"Leelanau County, US-MI, US",
1734280,2015-07-07,research,52720,Dactylis glomerata,orchard grass,45.44609,-75.65189,"Macoun Marsh, Ottawa",
1739771,2015-07-08,research,52720,Dactylis glomerata,orchard grass,35.580296,-83.47805,Clingmans Dome Road,
1773241,2015-07-17,research,52720,Dactylis glomerata,orchard grass,44.915345,-85.928104,,
1774062,2015-07-17,research,52720,Dactylis glomerata,orchard grass,48.80974731,-123.18862502,"Gulf Islands National Park Reserve of Canada, Capital, British Columbia, CA",
1777109,2015-07-18,research,52720,Dactylis glomerata,orchard grass,48.809911,-123.188787,"Gulf Islands National Park Reserve of Canada, CA-BC-CP, CA-BC, CA",
1794893,2015-06-26,research,52720,Dactylis glomerata,orchard grass,39.6613366667,-105.2007616667,"Red Rocks Park, Morrison, CO, US",
35151991,2015-07-03,research,52720,Dactylis glomerata,orchard grass,42.8556480188,-70.9566065104,"Amesbury, MA, USA",
35181007,2015-06-27,research,52720,Dactylis glomerata,orchard grass,55.4889654628,-114.9023633008,"Division No. 17, AB, Canada",
41745281,2015-06-27,research,52720,Dactylis glomerata,orchard grass,49.0469083333,-113.9164183333,"Waterton Lakes, Division No. 3, Alberta, Canada",
59538662,2015-06-27,research,52720,Dactylis glomerata,orchard grass,45.3041214749,-109.3671332334,"Carbon County, MT, USA",
1843275,2015-08-06,research,52720,Dactylis glomerata,orchard grass,45.574161,-64.970145,"Fundy National Park, Alma, NB, CA",
1858200,2015-08-12,research,52720,Dactylis glomerata,orchard grass,45.057259,-85.706077,"5401–5549 N Manitou Trl, Leland, MI, US",
1902429,2015-08-27,research,52720,Dactylis glomerata,orchard grass,57.05088213,-135.3314385,,
2450481,2015-09-03,research,52720,Dactylis glomerata,orchard grass,40.00946,-105.27419,University of Colorado Campus. West facing slope on east side of Varsity Pond.,
2001500,2015-09-26,research,52720,Dactylis glomerata,orchard grass,45.68165375,-122.74095716,"Clark County, US-WA, US",
2092525,2015-10-10,research,52720,Dactylis glomerata,orchard grass,41.6337503263,-87.6468820847,"Cook County, US-IL, US",
2354619,2015-11-06,research,52720,Dactylis glomerata,orchard grass,44.3877475647,-72.4686375369,"Washington County, US-VT, US",
2368427,2015-11-10,research,52720,Dactylis glomerata,orchard grass,44.2534059892,-72.5741872565,"89 Prospect St, Montpelier, VT, US",
2404967,2015-11-04,research,52720,Dactylis glomerata,orchard grass,40.775023,-74.432304,"Fairleigh Dickinson University, 285 Madison Ave., Madison, NJ",
2430964,2015-11-27,research,52720,Dactylis glomerata,orchard grass,44.2854410783,-72.5753047318,"713 Elm St, Montpelier, VT, US",
2452793,2015-12-05,research,52720,Dactylis glomerata,orchard grass,44.2247110885,-72.5490848814,"101–299 Ames Dr, Berlin, VT, US",
2452987,2015-12-04,research,52720,Dactylis glomerata,orchard grass,41.478387,-81.463729,"Pepper Pike, OH",No Evidence of Flowering
2456037,2015-12-06,research,52720,Dactylis glomerata,orchard grass,47.6729969984,-122.3113036963,"Ravenna Park, Seattle, WA, US",
2471276,2015-12-12,research,52720,Dactylis glomerata,orchard grass,47.672462,-122.308037,ravenna Park,
2475844,2015-12-12,research,52720,Dactylis glomerata,orchard grass,44.2614244111,-72.5639553834,"5 Lincoln Ave, Montpelier, VT, US",
2475850,2015-12-12,research,52720,Dactylis glomerata,orchard grass,44.2605539086,-72.5601151307,"Main St, Montpelier, VT, US",Fruiting
2477998,2015-12-14,research,52720,Dactylis glomerata,orchard grass,44.2274339917,-72.5509863999,"1310–1478 US Route 302, Berlin, VT, US",Fruiting
2503446,2015-12-24,research,52720,Dactylis glomerata,orchard grass,47.0951588902,-122.4379560471,"Pierce County, US-WA, US",
2508590,2015-12-27,research,52720,Dactylis glomerata,orchard grass,41.9990222622,-72.12323986,"Bigelow Br, Union, CT, US",Fruiting
2533771,2016-01-01,research,52720,Dactylis glomerata,orchard grass,44.2820070126,-72.5040904899,"100–498 Johnson Rd, East Montpelier, VT, US",Fruiting
2627768,2016-01-29,research,52720,Dactylis glomerata,orchard grass,42.42803,-88.97001911,"Winnebago County, US-IL, US",Fruiting
2651080,2016-02-06,research,52720,Dactylis glomerata,orchard grass,41.821005,-88.171943,Warrenville,
2698053,2016-02-18,research,52720,Dactylis glomerata,orchard grass,40.605278,-74.49827,Top of the World Park,Fruiting
2746793,2016-03-01,research,52720,Dactylis glomerata,orchard grass,40.523263,-74.501602,"Hollywood Avenue, Somerset",Fruiting
2758519,2016-03-08,research,52720,Dactylis glomerata,orchard grass,42.25583,-83.04822,"Spring Garden Windsor, Ontario",Fruiting
2806853,2016-03-19,research,52720,Dactylis glomerata,orchard grass,48.4605816667,-123.3119583333,"Capital, British Columbia, Canada",Fruiting
2909140,2016-04-09,research,52720,Dactylis glomerata,orchard grass,39.01273837,-123.05875003,"Mendocino County, US-CA, US",
2978309,2016-04-19,research,52720,Dactylis glomerata,orchard grass,40.0929312554,-88.2416611805,"University of Illinois, Champaign, IL, US",
2979214,2016-04-19,research,52720,Dactylis glomerata,orchard grass,37.0021290835,-122.0547560602,"E Rd Santa Cruz, CA 95064",
3014071,2016-04-23,research,52720,Dactylis glomerata,orchard grass,35.9207457444,-78.9838761371,"340 Leigh Farm Rd, Chapel Hill, NC, US",
3043192,2016-04-27,research,52720,Dactylis glomerata,orchard grass,40.7317866667,-74.7074966667,"170 Longview Rd, Chester township, NJ, US",
3081894,2016-04-28,research,52720,Dactylis glomerata,orchard grass,36.004726,-93.197086,Jasper AR,
3111301,2016-05-04,research,52720,Dactylis glomerata,orchard grass,40.1237885491,-75.4481947989,"Montgomery, Pennsylvania, United States",
3137045,2016-05-08,research,52720,Dactylis glomerata,orchard grass,39.8917286564,-75.2578131483,"John Heinz National Wildlife Refuge at Tinicum, Philadelphia, PA, US",
3164694,2016-05-13,research,52720,Dactylis glomerata,orchard grass,40.6217062567,-89.0141329543,"13900–15298 E 2300 North Rd, Hudson, IL, US",
3165486,2016-05-10,research,52720,Dactylis glomerata,orchard grass,46.434625,-124.022822,"Sandridge Rd, Pacific Co, WA",
3169710,2016-05-12,research,52720,Dactylis glomerata,orchard grass,41.20583,-81.55092,"Cuyahoga Valley National Park, Cuyahoga Falls, OH, US",
3184916,2016-05-15,research,52720,Dactylis glomerata,orchard grass,40.4002423947,-74.4439875398,"New Jersey, US",
3187244,2016-05-16,research,52720,Dactylis glomerata,orchard grass,39.2260493,-76.7449562,"6555 Belmont Woods Rd Elkridge, MD 21075",
3187664,2016-05-16,research,52720,Dactylis glomerata,orchard grass,39.2054224,-76.7233038,"6024 Hanover Rd Hanover, MD 21076",
3190621,2016-05-14,research,52720,Dactylis glomerata,orchard grass,48.916442,-123.425903,"Galiano Island, Tapovan",
3251413,2016-05-14,research,52720,Dactylis glomerata,orchard grass,40.597792,-74.575914,"Washington Valley Park, Martinsville, NJ",
3281212,2016-05-14,research,52720,Dactylis glomerata,orchard grass,40.523263,-74.501602,"Hollywood Avenue, Somerset NJ",
3311013,2016-05-10,research,52720,Dactylis glomerata,orchard grass,48.89695,-123.406677,"Galiano Island, Montague Harbour Marine Provincial Park",
3347847,2016-05-15,research,52720,Dactylis glomerata,orchard grass,40.726226,-74.699044,"Willowwood Arboretum, Bedminster, NJ",
3649879,2016-05-09,research,52720,Dactylis glomerata,orchard grass,48.8665598847,-123.3352446556,"Galiano Island, Bluffs Park",
3649881,2016-05-09,research,52720,Dactylis glomerata,orchard grass,48.8665598847,-123.3352446556,"Galiano Island, Bluffs Park",
4052433,2016-05-15,research,52720,Dactylis glomerata,orchard grass,40.071938,-88.291153,pine valley dr champaign,
13579938,2016-05-01,research,52720,Dactylis glomerata,orchard grass,34.9168717795,-80.826896412,"South Carolina, US",
41110620,2016-05-03,research,52720,Dactylis glomerata,orchard grass,34.4515065501,-93.1741946311,"Garland County, AR, USA",Flowering
67025715,2016-05-08,research,52720,Dactylis glomerata,orchard grass,38.828591,-76.1764523,"Voit Rd, Easton, MD 21601, USA",
132778326,2016-05-12,research,52720,Dactylis glomerata,orchard grass,33.6260639602,-83.7991340831,Georgia Wildlife Federation,
182810340,2016-05-12,research,52720,Dactylis glomerata,orchard grass,33.6229787511,-83.8106840104,"Covington, GA 30014, USA",
3210750,2016-05-18,research,52720,Dactylis glomerata,orchard grass,57.04845509,-135.33876318,"Sitka County, US-AK, US",
3215272,2016-05-19,research,52720,Dactylis glomerata,orchard grass,37.7804647107,-90.4381491524,"1100 W Liberty St, Farmington, MO, US",Flowering
3222110,2016-05-20,research,52720,Dactylis glomerata,orchard grass,38.7075049,-77.0224417,"13308 Warburton Dr Fort Washington, MD 20744",
3222138,2016-05-20,research,52720,Dactylis glomerata,orchard grass,38.9162179147,-77.062694152,"3200 Whitehaven St NW Washington, DC 20008",
3222255,2016-05-20,research,52720,Dactylis glomerata,orchard grass,38.6943271,-77.06838827,"Accokeek, MD",
3222320,2016-05-20,research,52720,Dactylis glomerata,orchard grass,39.9345827708,-77.5920907036,"17202, Greene, PA, US",
3223778,2016-05-20,research,52720,Dactylis glomerata,orchard grass,38.77829394,-77.04931865,"Belle Haven, VA",Flowering
3223973,2016-05-20,research,52720,Dactylis glomerata,orchard grass,38.7782957917,-77.0494096634,"George Washington Memorial Parkway, Alexandria, VA, US",
3228396,2016-05-20,research,52720,Dactylis glomerata,orchard grass,38.9999763435,-77.2486555484,"Chesapeake and Ohio Canal NHP, Potomac, MD, US",
3228495,2016-05-20,research,52720,Dactylis glomerata,orchard grass,44.4740590873,-73.2045677305,"216 S Willard St, Burlington, VT, US",
3235525,2016-05-20,research,52720,Dactylis glomerata,orchard grass,35.78544136,-106.28062177,"Bandelier National Monument, Sandoval County, US-NM, US",
3235781,2016-05-20,research,52720,Dactylis glomerata,orchard grass,35.647389,-82.297892,"Montreat College, Montreat, North Carolina",
3235991,2016-05-20,research,52720,Dactylis glomerata,orchard grass,37.9896624294,-122.132496033,"John Muir National Historic Site, Martinez, CA, US",
3237572,2016-05-20,research,52720,Dactylis glomerata,orchard grass,40.20664,-75.772769,"Hopewell Furnace National Historic Site, Berks County, US-PA, US",
3238272,2016-05-20,research,52720,Dactylis glomerata,orchard grass,39.3317194525,-77.7545061707,"546 Old Furnace Rd Harpers Ferry, WV 25425",
3238618,2016-05-20,research,52720,Dactylis glomerata,orchard grass,38.9522754652,-76.9859004021,"Northeast Washington, Washington, DC, USA",
3243198,2016-05-21,research,52720,Dactylis glomerata,orchard grass,41.38862749,-81.62970299,"Independence, OH",
3243533,2016-05-21,research,52720,Dactylis glomerata,orchard grass,41.2128457188,-81.5429623771,"Ohio, US",
3245481,2016-05-21,research,52720,Dactylis glomerata,orchard grass,36.9873237284,-94.355227165,"George Washington Carver NM, Neosho, MO, US",
3245818,2016-05-21,research,52720,Dactylis glomerata,orchard grass,38.8024215075,-77.5527664182,"Manassas National Battle Park, Manassas, VA, US",
3246346,2016-05-21,research,52720,Dactylis glomerata,orchard grass,38.801985,-77.553038,"Manassas National Battle Park, Manassas, VA, US",
3248536,2016-05-21,research,52720,Dactylis glomerata,orchard grass,41.2185289851,-81.5254544188,"Cuyahoga Valley National Park, Peninsula, OH, US",
3248668,2016-05-21,research,52720,Dactylis glomerata,orchard grass,47.3811814702,-93.6882418302,"39249 E Thorpe Ave, Deer Lake, MN, US",
3248686,2016-05-21,research,52720,Dactylis glomerata,orchard grass,39.3314345554,-77.7537631151,"Williams St, Harpers Ferry, WV, US",
3248987,2016-05-21,research,52720,Dactylis glomerata,orchard grass,41.6969939,-87.609854,"Cook County, US-IL, US",
3252675,2016-05-21,research,52720,Dactylis glomerata,orchard grass,48.1008233,-123.419456,"1144 Highland St Port Angeles, WA 98362",
3253292,2016-05-21,research,52720,Dactylis glomerata,orchard grass,44.6764470963,-124.0755635129,"Lincoln County, US-OR, US",
3254053,2016-05-21,research,52720,Dactylis glomerata,orchard grass,41.2573614493,-73.4567302465,"Wilton, CT, USA",
3254237,2016-05-21,research,52720,Dactylis glomerata,orchard grass,38.6953823408,-77.0666125976,"Piscataway Park, Piscataway, Prince George's County, US-MD, US",
3255346,2016-05-21,research,52720,Dactylis glomerata,orchard grass,38.039570502,-122.8024013714,"Point Reyes Natl Seashore, Point Reyes Station, CA, US",
3255715,2016-05-21,research,52720,Dactylis glomerata,orchard grass,39.0537350625,-77.2888616939,"12201–12321 Pennyfield Lock Rd, Potomac, MD, US",
3256577,2016-05-21,research,52720,Dactylis glomerata,orchard grass,42.00265415,-87.78033902,"Forest Glen Chicago, IL",
3256666,2016-05-21,research,52720,Dactylis glomerata,orchard grass,48.1976,-122.7217783333,"Pacific Northwest National Scenic Trl, Coupeville, WA, US",
3257908,2016-05-21,research,52720,Dactylis glomerata,orchard grass,39.7108974043,-75.6871085038,United States,Flowering
3258880,2016-05-21,research,52720,Dactylis glomerata,orchard grass,40.6243900163,-89.0240525176,"61748, Hudson, IL, US",
3264421,2016-05-21,research,52720,Dactylis glomerata,orchard grass,48.5888157786,-123.1486782432,"Friday Harbor, WA 98250",
3270322,2016-05-21,research,52720,Dactylis glomerata,orchard grass,37.7161416667,-122.3788833333,"Candlestick Point State Recreation Area, San Francisco, California, United States",
3273087,2016-05-22,research,52720,Dactylis glomerata,orchard grass,41.555577,-72.764887,"Giuffrida Park, Meriden, CT",
3274489,2016-05-21,research,52720,Dactylis glomerata,orchard grass,46.117201,-123.875291,Lewis and Clark National Park,
