TRY Data Explorer Output	 2025-4-15
Species Trait Table
Specieslist: 909, 54991, 16700, 27988, 5512, 41658, 7173, 26336, 5522, 14244, 18628, 9768, 
Trait	TraitID	.Achillea millefolium.	.Trifolium pratense.	.Dactylis glomerata.	.Hedera helix.	.Asclepias syriaca.	.Phragmites australis.	.Bellis perennis.	.Glechoma hederacea.	.Asimina triloba.	.Convolvulus arvensis.	.Diospyros virginiana.	.Caltha palustris.	
Bark persistence (deciduous, persistent)	833	2	0	0	0	0	6	0	0	0	3	0	1	
Bark sclereids arrangement	834	1	3	0	1	4	0	0	0	0	1	0	0	
Bark secondary compounds: oil, tannins, latex, slime	835	2	0	0	1	3	0	0	0	0	1	0	0	
Bark sieve tubes grouping	836	3	1	0	2	3	0	1	0	0	2	0	0	
Bark structure 	837	1	0	0	1	4	0	0	0	0	0	0	1	
Belowground plant organ length per belowground plant organ dry mass (specific belowground plant orga	2574	2	1	0	0	0	0	0	0	0	0	0	0	
Belowground plant organ nitrogen (N) content per belowground plant organ dry mass	2547	2	1	0	0	0	9	0	0	0	0	0	0	
Belowground plant organ respiration rate per belowground plant organ dry mass	2559	2	0	0	0	0	0	0	0	0	0	0	0	
Budbank height distribution	153	90	83	99	12	34	216	48	120	0	128	0	87	
Budbank seasonality	865	55	55	65	5	24	152	18	43	0	97	0	50	
Coarse root carbon/nitrogen (C/N) ) ratio	166	1	0	0	0	0	0	0	0	0	0	0	0	
Crown (canopy) length: diameter along the longest axis	324	22	20	29	0	20	0	0	1	0	0	0	1	
Crown (canopy) width	325	22	21	24	0	20	0	0	1	0	0	0	1	
Dispersal syndrome	28	140	3895	292	76	33	678	186	50	16	59	19	81	
Dispersal unit appendages	892	5	5	10	5	0	5	5	6	0	5	0	5	
Dispersal unit dry mass	233	13	1	10	4	0	7	7	7	0	1	0	1	
Dispersal unit exposure 	893	1	1	2	1	0	1	1	1	0	1	0	1	
Dispersal unit floating capacity	1263	41	2111	109	26	0	404	37	19	0	1	0	37	
Dispersal unit length	237	22	15	28	10	0	3	13	5	0	7	0	10	
Dispersal unit shape	232	11	5	15	3	0	3	7	5	0	3	0	3	
Dispersal unit surface structure	894	1	1	2	1	0	1	1	1	0	1	0	1	
Dispersal unit thickness 	235	16	5	24	8	0	2	6	3	0	4	0	5	
Dispersal unit type	231	93	2142	163	33	9	404	41	20	1	24	1	57	
Dispersal unit width	236	20	13	27	9	0	3	11	3	0	5	0	6	
Fine root (absorptive) carbon (C) content per absorptive fine root dry mass	2039	1	0	0	0	0	0	0	0	3	0	3	0	
Fine root (absorptive) carbon/nitrogen (C/N) ratio	2057	1	0	0	0	1	0	0	0	3	0	3	0	
Fine root (absorptive) diameter	2038	1	1	1	0	0	0	0	0	4	0	4	0	
Fine root (absorptive) length per absorptive fine root dry mass (specific absorptive fine root lengt	2062	5	1	1	0	1	0	0	0	4	0	4	0	
Fine root (absorptive) nitrogen (N) content per absorptive fine root dry mass	2035	1	0	0	0	1	0	0	0	4	0	4	0	
Fine root (absorptive) persistence (lifespan, longevity)	2065	2	0	0	0	2	0	0	0	0	0	0	0	
Fine root (absorptive) respiration rate per absorptive fine root dry mass	2047	1	0	0	0	1	0	0	0	0	0	0	0	
Fine root (absorptive) respiration rate per absorptive fine root length	2253	1	0	0	0	1	0	0	0	0	0	0	0	
Fine root (absorptive) surface area per absorptive fine root dry mass (specific absorptive fine root	2069	1	1	1	0	0	0	0	0	4	0	4	0	
Fine root (absorptive) tissue density (absorptive fine root dry mass per absorptive fine root volume	2037	1	1	1	0	0	0	0	0	4	0	4	0	
Fine root carbon/nitrogen (C/N) ratio	167	1	0	3	0	0	0	0	0	0	0	0	2	
Fine root debris decomposition rate constant 	2031	2	0	0	0	0	0	0	0	0	0	0	1	
Fine root diameter	896	35	7	17	3	2	0	1	2	1	0	1	0	
Fine root length per fine root dry mass (specific fine root length, SRL)	614	33	9	42	1	2	0	0	2	1	3	1	0	
Fine root nitrogen (N) content per fine root dry mass	475	4	0	42	0	1	0	0	0	1	0	1	2	
Fine root nitrogen/phosphorus (N/P) ratio	3011	2	0	0	0	0	0	0	0	0	0	0	0	
Fine root phosphorus (P) content per fine root dry mass	698	2	0	10	0	0	0	0	0	0	0	0	2	
Fine root tissue density (fine root dry mass per fine root volume)	1781	5	3	5	1	2	0	1	0	1	0	1	0	
Flower color	207	11	4	1	3	2	1	2	2	1	3	1	3	
Flower conspicuous	581	2	1	1	1	0	1	0	0	1	0	1	1	
Flower corolla type	2936	1	0	0	0	0	0	0	0	0	0	0	0	
Flower depth from constricting part to the bottom (floral depth)	3574	21	61	0	0	0	0	24	0	0	0	0	7	
Flower inclination	3583	29	62	0	0	0	0	24	0	0	0	0	7	
Flower insemination autogamous or xenogamous	204	2	1	2	1	1	1	1	1	0	1	0	1	
Flower morphology type	3822	1	1	0	1	0	0	0	0	0	1	0	0	
Flower nectar availablity	3821	1	1	0	1	0	0	0	0	0	1	0	0	
Flower nectar tube depth	3579	21	61	0	0	0	0	24	0	0	0	0	7	
Flower nectar tube width	3580	21	61	0	0	0	0	24	0	0	0	0	7	
Flower number of stigma	3824	1	1	0	1	0	0	0	0	0	1	0	0	
Flower number per plant	2999	42	0	142	0	0	0	28	0	0	0	0	0	
Flower onset of flowering (first flowering date, flowering beginning)	2956	1	2	3	0	0	0	0	0	0	0	0	0	
Flower petal length	3576	21	61	0	0	0	0	24	0	0	0	0	7	
Flower petal number	2937	3	1	0	1	0	0	0	0	0	1	0	0	
Flower petal size: radius	3823	1	1	0	1	0	0	0	0	0	1	0	0	
Flower petal width	3575	21	61	0	0	0	0	24	0	0	0	0	7	
Flower pollinator and type of reward	205	5	3	4	3	3	2	3	3	0	3	0	3	
Flower sex	213	3	1	2	1	1	1	1	4	0	1	0	3	
Flower sex timing	212	2	1	2	1	1	0	1	1	0	0	0	1	
Flower sexual self-incompatibility mechanism	211	5	4	6	2	3	2	1	2	0	2	0	4	
Flower sexual syndrome (dichogamy, cleistogamy, dioecious, monoecious)	915	2	2	5	4	0	4	1	3	0	3	0	6	
Flower size	3568	42	122	0	0	0	0	48	0	0	0	0	14	
Flower stamen / filament position relative to flower surface	3582	21	61	0	0	0	0	24	0	0	0	0	7	
Flower stamen length	3578	21	61	0	0	0	0	24	0	0	0	0	7	
Flower stamen number	2938	2	1	0	1	0	0	0	0	0	1	0	0	
Flower stylus length	3577	21	61	0	0	0	0	24	0	0	0	0	7	
Flower stylus position relative to flower surface	3581	21	61	0	0	0	0	24	0	0	0	0	7	
Flower symmetry type (flower shape)	2935	2	0	0	0	0	0	0	0	0	0	0	0	
Flower UV light reflectance	215	3	3	0	3	3	0	3	3	0	3	0	3	
Flowering requirement (requirement for fertility)	597	2	1	1	1	0	1	0	0	1	0	1	1	
Fruit dehiscence type	2940	1	0	0	0	0	0	0	0	1	0	0	0	
Fruit type	99	5	3	5	3	1	2	3	2	1	3	0	2	
Fruit/seed abundance	605	2	1	1	0	0	1	0	0	1	0	1	1	
Fruit/seed color	585	2	1	1	0	0	1	0	0	4	0	1	1	
Fruit/seed conspicuous	586	2	1	1	1	0	1	0	0	1	0	1	1	
Inflorescence type	2934	3	0	0	0	0	0	0	0	0	0	0	0	
Inflorescence: number of flowers per inflorescence	2947	21	61	0	0	0	0	24	0	0	0	0	7	
Leaf angle (inclination, orientation)	3	45	68	8	9	0	21	24	0	0	13	0	8	
Leaf area (in case of compound leaves undefined if leaf or leaflet, undefined if petiole is in- or e	3114	313	79	133	67	22	82	64	30	0	11	3	6	
Leaf area (in case of compound leaves: leaf, petiole excluded)	3108	39	31	135	2	6	5	0	1	0	14	1	7	
Leaf area (in case of compound leaves: leaf, petiole included)	3110	347	182	241	120	270	10	10	7	20	26	6	12	
Leaf area (in case of compound leaves: leaf, undefined if petiole in- or excluded)	3112	3	4	13	2	11	4	11	11	4	26	2	3	
Leaf area (in case of compound leaves: leaflet, petiole excluded)	3109	8	21	7	140	6	13	4	4	0	9	0	3	
Leaf area (in case of compound leaves: leaflet, undefined if petiole is in- or excluded)	3113	29	10	7	5	2	6	0	2	4	0	2	4	
Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded	3115	70	77	195	161	13	40	9	19	0	38	2	22	
Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included	3116	428	232	292	134	272	23	15	21	99	34	59	22	
Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or exclu	3117	716	454	678	329	138	120	169	159	87	74	84	21	
Leaf area per leaf fresh mass (specific leaf area (SLA or 1/LMA) based on leaf fresh mass)	125	11	21	91	123	0	0	0	0	0	0	0	0	
Leaf area per plant	410	39	10	10	0	0	0	4	5	0	0	0	0	
Leaf area per plant dry mass (leaf area ratio; LAR)	109	109	6	143	9	0	0	49	5	0	1	0	0	
Leaf aromatic	929	4	0	0	0	0	14	0	0	0	10	0	0	
Leaf calcium (Ca) content per leaf dry mass	252	28	0	77	0	0	1	18	4	0	0	0	0	
Leaf carbon (C) content per leaf area	570	106	61	253	0	5	66	11	13	0	2	21	9	
Leaf carbon (C) content per leaf dry mass	13	232	159	402	23	17	74	67	37	0	20	22	9	
Leaf carbon (C) isotope fractionation ('big' Delta 13C)	3478	7	0	0	0	0	1	0	0	0	0	0	1	
Leaf carbon isotope signature (delta 13C)	89	57	35	28	0	2	9	29	27	0	2	20	1	
Leaf carbon/nitrogen (C/N) ratio	146	90	58	136	13	7	27	10	15	1	9	1	5	
Leaf carotenoid content per leaf dry mass	809	2	23	1	0	0	3	0	3	0	1	0	3	
Leaf cellulose content per leaf dry mass	92	1	1	8	0	0	0	1	1	0	0	0	0	
Leaf chlorophyll content per leaf area	413	1	29	67	0	4	27	0	3	80	0	54	1	
Leaf chlorophyll content per leaf dry mass	164	4	25	1	0	4	5	0	3	0	1	0	3	
Leaf color	582	8	2	2	44	0	20	0	0	2	31	2	4	
Leaf compoundness	17	16	15	18	15	7	18	2	4	8	5	9	10	
Leaf density (leaf tissue density, leaf dry mass per leaf volume)	48	42	46	20	27	2	5	2	23	4	4	3	2	
Leaf display type	931	2	0	0	0	0	10	0	0	0	7	0	0	
Leaf distribution along the shoot axis (arrangement type)	16	27	11	20	8	7	46	11	16	1	30	1	14	
Leaf dry mass (single leaf)	55	651	281	371	190	277	20	45	46	19	45	5	25	
Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	47	769	488	1077	750	426	132	95	27	160	70	113	25	
Leaf emergences (pubescence, pruinescence, hairs, spines, thorns)	677	11	0	0	7	0	77	0	0	3	54	4	0	
Leaf fresh mass	163	296	215	326	155	265	0	37	11	19	16	5	8	
Leaf hemi-cellulose content per leaf dry mass	94	1	1	8	0	0	0	1	1	0	0	0	0	
Leaf herbivore species	935	28	28	28	0	0	0	28	28	0	0	0	0	
Leaf inrolling of lamina	62	5	2	3	3	0	10	0	0	0	8	0	0	
Leaf length	144	373	66	186	20	0	6	28	25	0	19	0	7	
Leaf lifespan (longevity)	12	5	0	10	2	1	6	1	0	0	4	0	3	
Leaf lignin content per leaf dry mass	87	5	5	12	0	0	0	3	1	0	0	0	1	
Leaf lobation	3584	29	61	0	0	0	0	14	0	0	0	0	0	
Leaf magnesium (Mg) content per leaf dry mass	257	29	0	79	0	0	1	18	4	0	0	0	0	
Leaf margin type	963	3	0	0	1	0	39	0	0	3	25	2	1	
Leaf nitrate (NO3-) content per leaf dry mass	661	8	0	0	0	0	1	0	0	0	0	0	0	
Leaf nitrogen (N) content organic per leaf dry mass	660	8	0	0	0	0	0	0	0	0	0	0	0	
Leaf nitrogen (N) content per leaf	57	1	2	2	1	0	0	0	1	0	0	0	2	
Leaf nitrogen (N) content per leaf area	50	151	81	313	26	36	90	11	18	2	10	26	19	
Leaf nitrogen (N) content per leaf dry mass	14	349	183	504	75	52	142	67	54	2	28	28	22	
Leaf nitrogen (N) isotope signature (delta 15N)	78	80	35	35	0	2	8	29	27	0	2	20	0	
Leaf nitrogen (N) uptake rate	3046	5	5	5	0	0	0	4	5	0	0	0	0	
Leaf nitrogen/phosphorus (N/P) ratio	56	13	2	23	8	1	22	0	11	0	0	1	2	
Leaf non-structural carbon (TNC) content per leaf dry mass 	507	8	0	0	0	0	1	0	0	0	0	0	0	
Leaf palatability	152	7	5	6	3	0	3	4	11	0	3	0	10	
Leaf perimeter	142	170	10	0	0	0	0	0	0	0	0	0	0	
Leaf pH	615	1	2	2	0	0	7	0	2	0	0	0	1	
Leaf phenology type	37	28	13	24	62	3	46	5	5	23	20	22	8	
Leaf phosphorus (P) content per leaf area	51	22	38	75	21	0	43	8	10	0	2	23	3	
Leaf phosphorus (P) content per leaf dry mass	15	65	81	147	46	1	110	13	23	0	17	24	5	
Leaf phosphorus (P) retranslocation prior to leaf senescence	3026	4	0	1	0	2	1	0	0	0	1	0	0	
Leaf porosity	583	4	2	2	2	0	2	0	2	2	0	2	2	
Leaf potassium (K) content per leaf area	52	2	0	36	1	0	7	0	4	0	0	0	0	
Leaf potassium (K) content per leaf dry mass	44	41	30	108	10	0	7	23	5	0	9	0	0	
Leaf presence	2818	2	0	0	0	0	7	0	0	0	3	0	1	
Leaf protein content per leaf dry mass	503	7	0	0	0	0	0	0	0	0	0	0	0	
Leaf respiration rate in the dark per leaf area	54	26	0	0	0	12	0	0	0	0	0	0	0	
Leaf respiration rate in the dark per leaf dry mass	41	46	2	1	0	17	0	0	0	0	0	0	1	
Leaf secondary compound types	976	22	22	22	0	0	0	22	22	0	0	0	0	
Leaf shape	154	362	56	53	11	20	32	6	7	2	61	1	15	
Leaf shape: circularity - leaf area per leaf perimeter	3037	5	5	3	0	0	0	3	5	0	0	0	0	
Leaf shape: roundness - leaf blade width per leaf blade length (or length per width)	3038	4	5	4	0	0	0	4	5	0	0	0	0	
Leaf soluble components content per leaf dry mass	85	1	1	8	0	0	0	1	1	0	0	0	0	
Leaf starch content per leaf dry mass	505	8	0	0	0	0	1	0	0	0	0	0	0	
Leaf structural dry matter per leaf dry mass	118	1	1	0	0	0	0	0	0	0	0	0	0	
