	AccSpeciesName	ObservationID	TraitID	TraitName	DataName	StdValue	UnitName
161	Achillea millefolium	28738	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	12.7762069	mg/g
168	Achillea millefolium	28739	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	13.04973505	mg/g
175	Achillea millefolium	28740	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	13.89798633	mg/g
182	Achillea millefolium	28741	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	15.9678526	mg/g
189	Achillea millefolium	28742	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	16.17059554	mg/g
196	Achillea millefolium	29080	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	14.7	mg/g
203	Achillea millefolium	29081	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	16.1	mg/g
210	Achillea millefolium	29082	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	16.2	mg/g
217	Achillea millefolium	29083	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	16.6	mg/g
224	Achillea millefolium	29084	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	20.2	mg/g
231	Achillea millefolium	29085	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	20.5	mg/g
238	Achillea millefolium	29086	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	22.2	mg/g
245	Achillea millefolium	29087	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	23.0	mg/g
252	Achillea millefolium	29088	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	24.0	mg/g
259	Achillea millefolium	29089	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	27.1	mg/g
266	Achillea millefolium	29090	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	29.6	mg/g
273	Achillea millefolium	29091	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	30.5	mg/g
280	Achillea millefolium	29092	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	33.1	mg/g
282	Achillea millefolium	93134	42	Plant growth form	Plant growth form	herb	
