AccSpeciesName	ObservationID	TraitID	TraitName	DataName	StdValue	UnitName
Dactylis glomerata	19150	13	Leaf carbon (C) content per leaf dry mass	Leaf carbon content per dry mass	458.5	mg/g
Dactylis glomerata	19194	13	Leaf carbon (C) content per leaf dry mass	Leaf carbon content per dry mass	416.2	mg/g
Dactylis glomerata	19216	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	27.8	mg/g
Dactylis glomerata	19514	42	Plant growth form	Plant growth form	Herbaceous Monocot	
Dactylis glomerata	19514	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	15.91335	mg/g
Dactylis glomerata	19519	42	Plant growth form	Plant growth form	Herbaceous Monocot	
Dactylis glomerata	19519	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	33.45606	mg/g
Dactylis glomerata	21962	42	Plant growth form	Plant growth form	Herbaceous Monocot	
Dactylis glomerata	21962	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	21.59506	mg/g
Dactylis glomerata	23537	42	Plant growth form	Plant growth form	Herbaceous Monocot	
Dactylis glomerata	23537	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	26.70591	mg/g
Dactylis glomerata	23662	42	Plant growth form	Plant growth form	Herbaceous Monocot	
Dactylis glomerata	23662	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	16.87117	mg/g
Dactylis glomerata	23672	42	Plant growth form	Plant growth form	Herbaceous Monocot	
Dactylis glomerata	23672	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	15.40894	mg/g
Dactylis glomerata	25163	42	Plant growth form	Plant growth form	Herbaceous Monocot	
Dactylis glomerata	25163	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	29.57447	mg/g
Achillea millefolium	28738	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	12.7762069	mg/g
Achillea millefolium	28739	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	13.04973505	mg/g
Achillea millefolium	28740	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	13.89798633	mg/g
Achillea millefolium	28741	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	15.9678526	mg/g
Achillea millefolium	28742	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	16.17059554	mg/g
Achillea millefolium	29080	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	14.7	mg/g
Achillea millefolium	29081	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	16.1	mg/g
Achillea millefolium	29082	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	16.2	mg/g
Achillea millefolium	29083	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	16.6	mg/g
Achillea millefolium	29084	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	20.2	mg/g
Achillea millefolium	29085	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	20.5	mg/g
Achillea millefolium	29086	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	22.2	mg/g
Achillea millefolium	29087	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	23.0	mg/g
Achillea millefolium	29088	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	24.0	mg/g
Achillea millefolium	29089	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	27.1	mg/g
Achillea millefolium	29090	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	29.6	mg/g
Achillea millefolium	29091	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	30.5	mg/g
Achillea millefolium	29092	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	33.1	mg/g
Achillea millefolium	93134	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.21	g/g
Achillea millefolium	93134	42	Plant growth form	Plant growth form	herb	
Trifolium pratense	93150	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.21	g/g
Trifolium pratense	93150	42	Plant growth form	Plant growth form	herb	
Trifolium pratense	93261	42	Plant growth form	Plant growth form	herb	
Trifolium pratense	93261	55	Leaf dry mass (single leaf)	Leaf dry mass	9.5	mg
Trifolium pratense	93261	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf water content per leaf water-saturated mass (LWC, 1-LDMC)	0.287878787878788	g/g
Trifolium pratense	93262	42	Plant growth form	Plant growth form	herb	
Trifolium pratense	93262	55	Leaf dry mass (single leaf)	Leaf dry mass	12.6	mg
