	AccSpeciesName	ObservationID	TraitID	TraitName	DataName	StdValue	UnitName
9	Dactylis glomerata	19150	13	Leaf carbon (C) content per leaf dry mass	Leaf carbon content per dry mass	458.5	mg/g
15	Dactylis glomerata	19194	13	Leaf carbon (C) content per leaf dry mass	Leaf carbon content per dry mass	416.2	mg/g
20	Dactylis glomerata	19216	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	27.8	mg/g
29	Dactylis glomerata	19514	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	15.91335	mg/g
28	Dactylis glomerata	19514	42	Plant growth form	Plant growth form	Herbaceous Monocot	
38	Dactylis glomerata	19519	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	33.45606	mg/g
37	Dactylis glomerata	19519	42	Plant growth form	Plant growth form	Herbaceous Monocot	
47	Dactylis glomerata	21962	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	21.59506	mg/g
46	Dactylis glomerata	21962	42	Plant growth form	Plant growth form	Herbaceous Monocot	
56	Dactylis glomerata	23537	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	26.70591	mg/g
55	Dactylis glomerata	23537	42	Plant growth form	Plant growth form	Herbaceous Monocot	
65	Dactylis glomerata	23662	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	16.87117	mg/g
64	Dactylis glomerata	23662	42	Plant growth form	Plant growth form	Herbaceous Monocot	
74	Dactylis glomerata	23672	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	15.40894	mg/g
73	Dactylis glomerata	23672	42	Plant growth form	Plant growth form	Herbaceous Monocot	
83	Dactylis glomerata	25163	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	29.57447	mg/g
82	Dactylis glomerata	25163	42	Plant growth form	Plant growth form	Herbaceous Monocot	
455	Dactylis glomerata	93595	42	Plant growth form	Plant growth form	herbaceous monocotyl	
465	Dactylis glomerata	93612	42	Plant growth form	Plant growth form	herbaceous monocotyl	
476	Dactylis glomerata	93746	42	Plant growth form	Plant growth form	herbaceous monocotyl	
486	Dactylis glomerata	93937	42	Plant growth form	Plant growth form	herbaceous monocotyl	
494	Dactylis glomerata	93993	42	Plant growth form	Plant growth form	herbaceous monocotyl	
502	Dactylis glomerata	93994	42	Plant growth form	Plant growth form	herbaceous monocotyl	
509	Dactylis glomerata	94039	42	Plant growth form	Plant growth form	herbaceous monocotyl	
579	Dactylis glomerata	94694	55	Leaf dry mass (single leaf)	Leaf dry mass	65.0	mg
605	Dactylis glomerata	94725	13	Leaf carbon (C) content per leaf dry mass	Leaf carbon content per dry mass	452.0	mg/g
604	Dactylis glomerata	94725	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	28.1	mg/g
603	Dactylis glomerata	94725	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.294	g/g
611	Dactylis glomerata	94808	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Whole plant aboveground vegetative dry mass per individual plant	3.17	g
612	Dactylis glomerata	94808	3106	Plant height vegetative	Plant height vegetative	0.526	m
631	Dactylis glomerata	96309	42	Plant growth form	Shoot growth form, shoot architecture	Stem erect	
635	Dactylis glomerata	96310	42	Plant growth form	Shoot growth form, shoot architecture	Stem erect	
639	Dactylis glomerata	96311	42	Plant growth form	Shoot growth form, shoot architecture	Stem ascending to prostrate	
644	Dactylis glomerata	96312	42	Plant growth form	Shoot growth form, shoot architecture	Stem erect	
692	Dactylis glomerata	155939	42	Plant growth form	Plant growth form	Grass	
716	Dactylis glomerata	158158	3106	Plant height vegetative	Plant height vegetative	0.4892	m
748	Dactylis glomerata	158310	3106	Plant height vegetative	Plant height vegetative	0.55	m
781	Dactylis glomerata	158424	3106	Plant height vegetative	Plant height vegetative	0.6	m
1018	Dactylis glomerata	172801	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	24.3	mg/g
1017	Dactylis glomerata	172801	42	Plant growth form	Plant growth form	G	
116142	Dactylis glomerata	172801	50	Leaf nitrogen (N) content per leaf area	Leaf nitrogen content per area (Narea)	0.821223386279148	g m-2
1019	Dactylis glomerata	172801	3106	Plant height vegetative	Plant height vegetative	0.6	m
1040	Dactylis glomerata	172997	42	Plant growth form	Plant growth form	G	
1078	Dactylis glomerata	174602	3106	Plant height vegetative	Plant height vegetative	1.1	m
1081	Dactylis glomerata	174603	3106	Plant height vegetative	Plant height vegetative	0.133	m
1264	Dactylis glomerata	183075	55	Leaf dry mass (single leaf)	Leaf dry mass	71.71276685	mg
1272	Dactylis glomerata	183076	55	Leaf dry mass (single leaf)	Leaf dry mass	78.89628205	mg
1369	Dactylis glomerata	208531	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	18.3	mm2 mg-1
1419	Dactylis glomerata	296007	42	Plant growth form	Plant growth form	grass	
1421	Dactylis glomerata	296008	42	Plant growth form	Plant growth form	grass	
1423	Dactylis glomerata	296009	42	Plant growth form	Plant growth form	grass	
1425	Dactylis glomerata	296010	42	Plant growth form	Plant growth form	grass	
1427	Dactylis glomerata	296011	42	Plant growth form	Plant growth form	grass	
1429	Dactylis glomerata	296012	42	Plant growth form	Plant growth form	grass	
1431	Dactylis glomerata	296013	42	Plant growth form	Plant growth form	grass	
1433	Dactylis glomerata	296014	42	Plant growth form	Plant growth form	grass	
1435	Dactylis glomerata	296015	42	Plant growth form	Plant growth form	grass	
1438	Dactylis glomerata	676286	42	Plant growth form	Plant growth form	grass	
1461	Dactylis glomerata	753423	42	Plant growth form	Plant growth form	grass	
1443	Dactylis glomerata	753423	3106	Plant height vegetative	Plant height vegetative	1.3	m
1480	Dactylis glomerata	754005	42	Plant growth form	Plant growth form	grass	
1462	Dactylis glomerata	754005	3106	Plant height vegetative	Plant height vegetative	0.4	m
1560	Dactylis glomerata	758308	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.29279181184669	g/g
1559	Dactylis glomerata	758308	55	Leaf dry mass (single leaf)	Leaf dry mass	268.9	mg
1558	Dactylis glomerata	758308	163	Leaf fresh mass	Leaf fresh mass	0.9184	g
1568	Dactylis glomerata	758309	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.276228602981778	g/g
1567	Dactylis glomerata	758309	55	Leaf dry mass (single leaf)	Leaf dry mass	200.1	mg
1566	Dactylis glomerata	758309	163	Leaf fresh mass	Leaf fresh mass	0.7244	g
1576	Dactylis glomerata	758310	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.283662267896765	g/g
1575	Dactylis glomerata	758310	55	Leaf dry mass (single leaf)	Leaf dry mass	242.9	mg
1574	Dactylis glomerata	758310	163	Leaf fresh mass	Leaf fresh mass	0.8563	g
1584	Dactylis glomerata	758311	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.300089206066012	g/g
1583	Dactylis glomerata	758311	55	Leaf dry mass (single leaf)	Leaf dry mass	168.2	mg
1582	Dactylis glomerata	758311	163	Leaf fresh mass	Leaf fresh mass	0.5605	g
1592	Dactylis glomerata	758312	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.290286771507863	g/g
1591	Dactylis glomerata	758312	55	Leaf dry mass (single leaf)	Leaf dry mass	156.9	mg
1590	Dactylis glomerata	758312	163	Leaf fresh mass	Leaf fresh mass	0.5405	g
1600	Dactylis glomerata	758313	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.269767441860465	g/g
1599	Dactylis glomerata	758313	55	Leaf dry mass (single leaf)	Leaf dry mass	179.8	mg
1598	Dactylis glomerata	758313	163	Leaf fresh mass	Leaf fresh mass	0.6665	g
1608	Dactylis glomerata	758314	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.270827200471004	g/g
1607	Dactylis glomerata	758314	55	Leaf dry mass (single leaf)	Leaf dry mass	276.0	mg
1616	Dactylis glomerata	758315	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.259137931034483	g/g
1615	Dactylis glomerata	758315	55	Leaf dry mass (single leaf)	Leaf dry mass	150.3	mg
1614	Dactylis glomerata	758315	163	Leaf fresh mass	Leaf fresh mass	0.58	g
1624	Dactylis glomerata	758316	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.26168404789494	g/g
1623	Dactylis glomerata	758316	55	Leaf dry mass (single leaf)	Leaf dry mass	135.5	mg
1622	Dactylis glomerata	758316	163	Leaf fresh mass	Leaf fresh mass	0.5178	g
1631	Dactylis glomerata	758317	55	Leaf dry mass (single leaf)	Leaf dry mass	61.0	mg
1630	Dactylis glomerata	758317	163	Leaf fresh mass	Leaf fresh mass	0.221	g
1640	Dactylis glomerata	758318	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.263537906137184	g/g
1639	Dactylis glomerata	758318	55	Leaf dry mass (single leaf)	Leaf dry mass	73.0	mg
1638	Dactylis glomerata	758318	163	Leaf fresh mass	Leaf fresh mass	0.277	g
1648	Dactylis glomerata	758319	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.245338748384715	g/g
1647	Dactylis glomerata	758319	55	Leaf dry mass (single leaf)	Leaf dry mass	132.9	mg
1646	Dactylis glomerata	758319	163	Leaf fresh mass	Leaf fresh mass	0.5417	g
1656	Dactylis glomerata	758320	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.288644322161081	g/g
1655	Dactylis glomerata	758320	55	Leaf dry mass (single leaf)	Leaf dry mass	115.4	mg
1654	Dactylis glomerata	758320	163	Leaf fresh mass	Leaf fresh mass	0.3998	g
1664	Dactylis glomerata	758321	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.232465813850904	g/g
1663	Dactylis glomerata	758321	55	Leaf dry mass (single leaf)	Leaf dry mass	158.1	mg
1662	Dactylis glomerata	758321	163	Leaf fresh mass	Leaf fresh mass	0.6801	g
1672	Dactylis glomerata	758322	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.295454545454545	g/g
1671	Dactylis glomerata	758322	55	Leaf dry mass (single leaf)	Leaf dry mass	52.0	mg
1670	Dactylis glomerata	758322	163	Leaf fresh mass	Leaf fresh mass	0.176	g
1680	Dactylis glomerata	758323	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.311679336558397	g/g
1679	Dactylis glomerata	758323	55	Leaf dry mass (single leaf)	Leaf dry mass	45.1	mg
1678	Dactylis glomerata	758323	163	Leaf fresh mass	Leaf fresh mass	0.1447	g
1688	Dactylis glomerata	758324	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.236607142857143	g/g
1687	Dactylis glomerata	758324	55	Leaf dry mass (single leaf)	Leaf dry mass	53.0	mg
1686	Dactylis glomerata	758324	163	Leaf fresh mass	Leaf fresh mass	0.224	g
1695	Dactylis glomerata	758325	55	Leaf dry mass (single leaf)	Leaf dry mass	38.0	mg
1694	Dactylis glomerata	758325	163	Leaf fresh mass	Leaf fresh mass	0.131	g
1704	Dactylis glomerata	758326	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.191663565314477	g/g
1703	Dactylis glomerata	758326	55	Leaf dry mass (single leaf)	Leaf dry mass	103.0	mg
1702	Dactylis glomerata	758326	163	Leaf fresh mass	Leaf fresh mass	0.5374	g
1712	Dactylis glomerata	758327	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.219919786096257	g/g
1711	Dactylis glomerata	758327	55	Leaf dry mass (single leaf)	Leaf dry mass	98.7	mg
1710	Dactylis glomerata	758327	163	Leaf fresh mass	Leaf fresh mass	0.4488	g
1720	Dactylis glomerata	758328	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.306122448979592	g/g
1719	Dactylis glomerata	758328	55	Leaf dry mass (single leaf)	Leaf dry mass	30.0	mg
1718	Dactylis glomerata	758328	163	Leaf fresh mass	Leaf fresh mass	0.098	g
1728	Dactylis glomerata	758329	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.272151898734177	g/g
1727	Dactylis glomerata	758329	55	Leaf dry mass (single leaf)	Leaf dry mass	43.0	mg
1726	Dactylis glomerata	758329	163	Leaf fresh mass	Leaf fresh mass	0.158	g
1735	Dactylis glomerata	758330	55	Leaf dry mass (single leaf)	Leaf dry mass	41.0	mg
1734	Dactylis glomerata	758330	163	Leaf fresh mass	Leaf fresh mass	0.152	g
1744	Dactylis glomerata	758331	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.262295081967213	g/g
1743	Dactylis glomerata	758331	55	Leaf dry mass (single leaf)	Leaf dry mass	32.0	mg
1742	Dactylis glomerata	758331	163	Leaf fresh mass	Leaf fresh mass	0.122	g
1752	Dactylis glomerata	758332	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.230702136938509	g/g
1751	Dactylis glomerata	758332	55	Leaf dry mass (single leaf)	Leaf dry mass	52.9	mg
1750	Dactylis glomerata	758332	163	Leaf fresh mass	Leaf fresh mass	0.2293	g
1760	Dactylis glomerata	758333	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.272727272727273	g/g
1759	Dactylis glomerata	758333	55	Leaf dry mass (single leaf)	Leaf dry mass	27.0	mg
1758	Dactylis glomerata	758333	163	Leaf fresh mass	Leaf fresh mass	0.099	g
1768	Dactylis glomerata	758334	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.198620689655172	g/g
1767	Dactylis glomerata	758334	55	Leaf dry mass (single leaf)	Leaf dry mass	28.8	mg
1766	Dactylis glomerata	758334	163	Leaf fresh mass	Leaf fresh mass	0.145	g
1776	Dactylis glomerata	758335	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.238790406673618	g/g
1775	Dactylis glomerata	758335	55	Leaf dry mass (single leaf)	Leaf dry mass	22.9	mg
1774	Dactylis glomerata	758335	163	Leaf fresh mass	Leaf fresh mass	0.0959	g
1784	Dactylis glomerata	758336	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.24632254613533	g/g
1783	Dactylis glomerata	758336	55	Leaf dry mass (single leaf)	Leaf dry mass	92.1	mg
1782	Dactylis glomerata	758336	163	Leaf fresh mass	Leaf fresh mass	0.3739	g
1792	Dactylis glomerata	758337	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.253630203291384	g/g
1791	Dactylis glomerata	758337	55	Leaf dry mass (single leaf)	Leaf dry mass	104.8	mg
1790	Dactylis glomerata	758337	163	Leaf fresh mass	Leaf fresh mass	0.4132	g
1800	Dactylis glomerata	758338	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.258194364577343	g/g
1799	Dactylis glomerata	758338	55	Leaf dry mass (single leaf)	Leaf dry mass	224.5	mg
1798	Dactylis glomerata	758338	163	Leaf fresh mass	Leaf fresh mass	0.8695	g
1808	Dactylis glomerata	758339	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.239080459770115	g/g
1807	Dactylis glomerata	758339	55	Leaf dry mass (single leaf)	Leaf dry mass	176.8	mg
1806	Dactylis glomerata	758339	163	Leaf fresh mass	Leaf fresh mass	0.7395	g
2102	Dactylis glomerata	759780	3106	Plant height vegetative	Plant height vegetative	0.82	m
2104	Dactylis glomerata	759782	3106	Plant height vegetative	Plant height vegetative	0.85	m
2105	Dactylis glomerata	759783	3106	Plant height vegetative	Plant height vegetative	0.86	m
2107	Dactylis glomerata	759785	3106	Plant height vegetative	Plant height vegetative	0.87	m
2110	Dactylis glomerata	759788	3106	Plant height vegetative	Plant height vegetative	0.93	m
2111	Dactylis glomerata	759789	3106	Plant height vegetative	Plant height vegetative	0.94	m
2114	Dactylis glomerata	759792	3106	Plant height vegetative	Plant height vegetative	1.02	m
2115	Dactylis glomerata	759793	3106	Plant height vegetative	Plant height vegetative	1.06	m
2117	Dactylis glomerata	759795	3106	Plant height vegetative	Plant height vegetative	1.18	m
2118	Dactylis glomerata	759796	3106	Plant height vegetative	Plant height vegetative	1.24	m
2119	Dactylis glomerata	759797	3106	Plant height vegetative	Plant height vegetative	1.32	m
2210	Dactylis glomerata	770950	42	Plant growth form	Plant growth form	Grasses&Sedges	
2226	Dactylis glomerata	773600	42	Plant growth form	Plant growth form	Grasses&Sedges	
2230	Dactylis glomerata	773605	42	Plant growth form	Plant growth form	Grasses&Sedges	
2235	Dactylis glomerata	773610	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	16.9	mg/g
2234	Dactylis glomerata	773610	42	Plant growth form	Plant growth form	Grasses&Sedges	
2238	Dactylis glomerata	773615	42	Plant growth form	Plant growth form	Grasses&Sedges	
2243	Dactylis glomerata	773620	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	12.6	mg/g
2242	Dactylis glomerata	773620	42	Plant growth form	Plant growth form	Grasses&Sedges	
