AccSpeciesID,AccSpeciesName,ObsNum,ObsGRNum,MeasNum,MeasGRNum,TraitNum
909,Achillea millefolium,3706,1800.0,18278.0,12850.0,446.0
2496,Alliaria petiolata,651,79.0,1790.0,441.0,194.0
3289,Amphicarpaea bracteata,128,80.0,636.0,542.0,32.0
5512,Asclepias syriaca,793,560.0,3706.0,3072.0,181.0
5522,Asimina triloba,342,194.0,1874.0,1537.0,145.0
7173,Bellis perennis,1158,274.0,5330.0,2912.0,290.0
9768,Caltha palustris,1002,85.0,2690.0,765.0,273.0
14244,Convolvulus arvensis,1170,176.0,3780.0,1220.0,261.0
16549,Cypripedium acaule,53,34.0,120.0,93.0,51.0
16700,Dactylis glomerata,3579,1442.0,19628.0,12006.0,420.0
18628,Diospyros virginiana,306,154.0,1809.0,1343.0,182.0
21900,Erodium cicutarium,797,135.0,1904.0,671.0,213.0
83492,Ficaria verna,717,54.0,1813.0,283.0,186.0
26089,Geranium robertianum,712,78.0,1856.0,687.0,218.0
26336,Glechoma hederacea,1042,201.0,4020.0,1448.0,260.0
27988,Hedera helix,1425,660.0,6491.0,4696.0,339.0
32245,Lamium purpureum,1155,43.0,2760.0,420.0,181.0
33429,Ligustrum sinense,170,67.0,844.0,681.0,103.0
36717,Microstegium vimineum,57,10.0,768.0,96.0,54.0
36965,Mitchella repens,71,39.0,453.0,395.0,58.0
40511,Passiflora incarnata,9,,7.0,,4.0
41658,Phragmites australis,1758,350.0,7190.0,3122.0,356.0
41897,Phytolacca americana,207,51.0,784.0,405.0,149.0
46319,Rhus glabra,223,50.0,758.0,288.0,148.0
48228,Sanguinaria canadensis,86,43.0,349.0,270.0,47.0
50313,Silybum marianum,207,7.0,448.0,31.0,89.0
54991,Trifolium pratense,5040,1483.0,22086.0,9806.0,438.0
55076,Trillium erectum,28,10.0,322.0,293.0,41.0
55078,Trillium grandiflorum,88,42.0,333.0,245.0,50.0
55080,Trillium ovatum,32,,45.0,,11.0
