	AccSpeciesName	ObservationID	TraitID	TraitName	DataName	StdValue	UnitName
289	Trifolium pratense	93150	42	Plant growth form	Plant growth form	herb	
288	Trifolium pratense	93150	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.21	g/g
295	Trifolium pratense	93261	42	Plant growth form	Plant growth form	herb	
298	Trifolium pratense	93261	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf water content per leaf water-saturated mass (LWC, 1-LDMC)	0.287878787878788	g/g
297	Trifolium pratense	93261	55	Leaf dry mass (single leaf)	Leaf dry mass	9.5	mg
308	Trifolium pratense	93262	42	Plant growth form	Plant growth form	herb	
311	Trifolium pratense	93262	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf water content per leaf water-saturated mass (LWC, 1-LDMC)	0.278761061946903	g/g
310	Trifolium pratense	93262	55	Leaf dry mass (single leaf)	Leaf dry mass	12.6	mg
321	Trifolium pratense	93263	42	Plant growth form	Plant growth form	herb	
323	Trifolium pratense	93263	55	Leaf dry mass (single leaf)	Leaf dry mass	9.3	mg
334	Trifolium pratense	93264	42	Plant growth form	Plant growth form	herb	
337	Trifolium pratense	93264	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf water content per leaf water-saturated mass (LWC, 1-LDMC)	0.262569832402235	g/g
336	Trifolium pratense	93264	55	Leaf dry mass (single leaf)	Leaf dry mass	9.4	mg
347	Trifolium pratense	93265	42	Plant growth form	Plant growth form	herb	
350	Trifolium pratense	93265	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf water content per leaf water-saturated mass (LWC, 1-LDMC)	0.231651376146789	g/g
349	Trifolium pratense	93265	55	Leaf dry mass (single leaf)	Leaf dry mass	10.1	mg
360	Trifolium pratense	93266	42	Plant growth form	Plant growth form	herb	
363	Trifolium pratense	93266	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf water content per leaf water-saturated mass (LWC, 1-LDMC)	0.230932203389831	g/g
362	Trifolium pratense	93266	55	Leaf dry mass (single leaf)	Leaf dry mass	10.9	mg
373	Trifolium pratense	93267	42	Plant growth form	Plant growth form	herb	
376	Trifolium pratense	93267	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf water content per leaf water-saturated mass (LWC, 1-LDMC)	0.253918495297806	g/g
375	Trifolium pratense	93267	55	Leaf dry mass (single leaf)	Leaf dry mass	8.1	mg
386	Trifolium pratense	93268	42	Plant growth form	Plant growth form	herb	
389	Trifolium pratense	93268	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf water content per leaf water-saturated mass (LWC, 1-LDMC)	0.256	g/g
388	Trifolium pratense	93268	55	Leaf dry mass (single leaf)	Leaf dry mass	9.6	mg
399	Trifolium pratense	93269	42	Plant growth form	Plant growth form	herb	
402	Trifolium pratense	93269	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf water content per leaf water-saturated mass (LWC, 1-LDMC)	0.296153846153846	g/g
401	Trifolium pratense	93269	55	Leaf dry mass (single leaf)	Leaf dry mass	7.7	mg
412	Trifolium pratense	93270	42	Plant growth form	Plant growth form	herb	
415	Trifolium pratense	93270	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf water content per leaf water-saturated mass (LWC, 1-LDMC)	0.284132841328413	g/g
445	Trifolium pratense	93461	42	Plant growth form	Plant growth form	herbaceous dicotyl	
516	Trifolium pratense	94053	42	Plant growth form	Plant growth form	herbaceous dicotyl	
592	Trifolium pratense	94719	55	Leaf dry mass (single leaf)	Leaf dry mass	24.0	mg
649	Trifolium pratense	99876	42	Plant growth form	Shoot growth form, shoot architecture	Stem ascending to prostrate	
